r,e,y,AnnualEmissions
KENYA,CO2,2019,1.081
KENYA,CO2,2020,1.2289
KENYA,CO2,2021,1.2647
KENYA,CO2,2022,0.3736
KENYA,CO2,2023,0.3995
KENYA,CO2,2024,0.6419
KENYA,CO2,2025,0.4391
KENYA,CO2,2026,0.1041
KENYA,CO2,2027,0.1522
KENYA,CO2,2028,0.1928
KENYA,CO2,2029,0.1626
KENYA,CO2,2030,0.3393
KENYA,CO2,2031,0.3872
KENYA,CO2,2032,0.432
KENYA,CO2,2033,0.4574
KENYA,CO2,2034,0.3166
KENYA,CO2,2035,0.3435
KENYA,CO2,2036,0.3151
KENYA,CO2,2037,0.3713
KENYA,CO2,2038,0.3944
KENYA,CO2,2039,0.4015
KENYA,CO2,2040,0.3788
KENYA,CO2,2041,0.3835
KENYA,CO2,2042,0.3965
KENYA,CO2,2043,0.39
KENYA,CO2,2044,0.3871
KENYA,CO2,2045,0.392
KENYA,CO2,2046,0.3847
KENYA,CO2,2047,0.3808
KENYA,CO2,2048,0.5293
KENYA,CO2,2049,0.6476
KENYA,CO2,2050,0.6812
