r,t,e,m,y,AnnualTechnologyEmissionByMode
KENYA,PWRBIO001,CO2,1,2019,0.0052
KENYA,PWRBIO001,CO2,1,2020,0.0052
KENYA,PWRBIO001,CO2,1,2021,0.0052
KENYA,PWRBIO001,CO2,1,2022,0.0052
KENYA,PWRBIO001,CO2,1,2023,0.0089
KENYA,PWRBIO001,CO2,1,2024,0.0089
KENYA,PWRBIO001,CO2,1,2025,0.0089
KENYA,PWRBIO001,CO2,1,2026,0.0351
KENYA,PWRBIO001,CO2,1,2027,0.0351
KENYA,PWRBIO001,CO2,1,2028,0.056
KENYA,PWRBIO001,CO2,1,2029,0.056
KENYA,PWRBIO001,CO2,1,2030,0.1821
KENYA,PWRBIO001,CO2,1,2031,0.2345
KENYA,PWRBIO001,CO2,1,2032,0.2627
KENYA,PWRBIO001,CO2,1,2033,0.2706
KENYA,PWRBIO001,CO2,1,2034,0.2863
KENYA,PWRBIO001,CO2,1,2035,0.2871
KENYA,PWRBIO001,CO2,1,2036,0.2871
KENYA,PWRBIO001,CO2,1,2037,0.3337
KENYA,PWRBIO001,CO2,1,2038,0.357
KENYA,PWRBIO001,CO2,1,2039,0.357
KENYA,PWRBIO001,CO2,1,2040,0.357
KENYA,PWRBIO001,CO2,1,2041,0.357
KENYA,PWRBIO001,CO2,1,2042,0.357
KENYA,PWRBIO001,CO2,1,2043,0.3517
KENYA,PWRBIO001,CO2,1,2044,0.3517
KENYA,PWRBIO001,CO2,1,2045,0.3517
KENYA,PWRBIO001,CO2,1,2046,0.3517
KENYA,PWRBIO001,CO2,1,2047,0.3517
KENYA,PWRBIO001,CO2,1,2048,0.4993
KENYA,PWRBIO001,CO2,1,2049,0.6132
KENYA,PWRBIO001,CO2,1,2050,0.6364
KENYA,PWRHFO002,CO2,1,2020,0.0015
KENYA,PWRHFO002,CO2,1,2021,0.004
KENYA,PWRHFO002,CO2,1,2031,0.0086
KENYA,PWRHFO002,CO2,1,2032,0.0091
KENYA,PWRHFO002,CO2,1,2033,0.0114
KENYA,PWRHFO002,CO2,1,2034,0.0075
KENYA,PWRHFO003,CO2,1,2019,0.0993
KENYA,PWRHFO003,CO2,1,2020,0.1126
KENYA,PWRHFO003,CO2,1,2021,0.1023
KENYA,PWRHFO003,CO2,1,2022,0.0482
KENYA,PWRHFO003,CO2,1,2023,0.0529
KENYA,PWRHFO003,CO2,1,2024,0.0794
KENYA,PWRHFO004,CO2,1,2019,0.349
KENYA,PWRHFO004,CO2,1,2020,0.4371
KENYA,PWRHFO004,CO2,1,2021,0.4568
KENYA,PWRHFO004,CO2,1,2022,0.1404
KENYA,PWRHFO004,CO2,1,2023,0.1448
KENYA,PWRHFO004,CO2,1,2024,0.1773
KENYA,PWRHFO004,CO2,1,2025,0.1567
KENYA,PWRHFO004,CO2,1,2026,0.0101
KENYA,PWRHFO004,CO2,1,2027,0.0223
KENYA,PWRHFO004,CO2,1,2028,0.0341
KENYA,PWRHFO004,CO2,1,2029,0.0227
KENYA,PWRHFO004,CO2,1,2030,0.1274
KENYA,PWRHFO005,CO2,1,2019,0.0947
KENYA,PWRHFO005,CO2,1,2020,0.1072
KENYA,PWRHFO005,CO2,1,2021,0.1139
KENYA,PWRHFO005,CO2,1,2022,0.0309
KENYA,PWRHFO005,CO2,1,2023,0.04
KENYA,PWRHFO005,CO2,1,2024,0.0774
KENYA,PWRHFO005,CO2,1,2025,0.0916
KENYA,PWRHFO006,CO2,1,2019,0.435
KENYA,PWRHFO006,CO2,1,2020,0.435
KENYA,PWRHFO006,CO2,1,2021,0.435
KENYA,PWRHFO006,CO2,1,2022,0.1354
KENYA,PWRHFO006,CO2,1,2023,0.135
KENYA,PWRHFO006,CO2,1,2024,0.2308
KENYA,PWRHFO006,CO2,1,2025,0.1279
KENYA,PWRHFO006,CO2,1,2026,0.0589
KENYA,PWRHFO006,CO2,1,2027,0.0921
KENYA,PWRHFO006,CO2,1,2028,0.0982
KENYA,PWRHFO006,CO2,1,2029,0.0809
KENYA,PWRHFO007,CO2,1,2019,0.0226
KENYA,PWRHFO007,CO2,1,2020,0.0583
KENYA,PWRHFO007,CO2,1,2021,0.0582
KENYA,PWRHFO007,CO2,1,2022,0.0098
KENYA,PWRHFO007,CO2,1,2023,0.0075
KENYA,PWRHFO007,CO2,1,2024,0.0162
KENYA,PWRHFO007,CO2,1,2025,0.0184
KENYA,PWRHFO007,CO2,1,2027,0.0027
KENYA,PWRHFO007,CO2,1,2030,0.0111
KENYA,PWRHFO007,CO2,1,2031,0.0707
KENYA,PWRHFO007,CO2,1,2032,0.0663
KENYA,PWRHFO007,CO2,1,2033,0.0685
KENYA,PWRHFO008,CO2,1,2019,0.0072
KENYA,PWRHFO008,CO2,1,2020,0.0131
KENYA,PWRHFO008,CO2,1,2021,0.0145
KENYA,PWRHFO008,CO2,1,2024,0.0048
KENYA,PWRHFO008,CO2,1,2025,0.0048
KENYA,PWRHFO008,CO2,1,2030,0.0008
KENYA,PWRHFO008,CO2,1,2031,0.0164
KENYA,PWRHFO008,CO2,1,2032,0.0216
KENYA,PWRHFO008,CO2,1,2033,0.0301
KENYA,PWRHFO009,CO2,1,2019,0.0681
KENYA,PWRHFO009,CO2,1,2020,0.0588
KENYA,PWRHFO009,CO2,1,2021,0.0747
KENYA,PWRHFO009,CO2,1,2022,0.0036
KENYA,PWRHFO009,CO2,1,2023,0.0104
KENYA,PWRHFO009,CO2,1,2024,0.047
KENYA,PWRHFO009,CO2,1,2025,0.0308
KENYA,PWRHFO009,CO2,1,2028,0.0044
KENYA,PWRHFO009,CO2,1,2029,0.0031
KENYA,PWRHFO009,CO2,1,2030,0.0178
KENYA,PWRHFO009,CO2,1,2031,0.0563
KENYA,PWRHFO009,CO2,1,2032,0.07
KENYA,PWRHFO009,CO2,1,2033,0.073
KENYA,PWRHFO009,CO2,1,2034,0.0191
KENYA,PWRHFO009,CO2,1,2035,0.0336
KENYA,PWRNGS001,CO2,1,2034,0.0
KENYA,PWRNGS001,CO2,1,2035,0.0
KENYA,PWRNGS001,CO2,1,2038,0.0
KENYA,PWRNGS001,CO2,1,2039,0.0
KENYA,PWRNGS001,CO2,1,2040,0.0
KENYA,PWRNGS001,CO2,1,2041,0.0
KENYA,PWRNGS001,CO2,1,2042,0.0
KENYA,PWRNGS001,CO2,1,2043,0.0
KENYA,PWRNGS001,CO2,1,2044,0.0
KENYA,PWRNGS001,CO2,1,2045,0.0
KENYA,PWRNGS001,CO2,1,2046,0.0
KENYA,PWRNGS001,CO2,1,2047,0.0
KENYA,PWRNGS001,CO2,1,2048,0.0
KENYA,PWRNGS001,CO2,1,2050,0.0
KENYA,PWRNGS002,CO2,1,2038,0.0
KENYA,PWRNGS002,CO2,1,2039,0.0
