r,s,y,CapitalInvestmentStorage
KENYA,PHS001,2033,-0.0
KENYA,PHS001,2034,36.3016
KENYA,PHS001,2035,15.1525
KENYA,PHS001,2036,15.4727
KENYA,PHS001,2040,9.5674
KENYA,PHS001,2043,14.9077
KENYA,PHS001,2044,1.8903
KENYA,PHS001,2046,0.6191
KENYA,PHS001,2047,0.2226
KENYA,PHS001,2048,3.1754
KENYA,PHS001,2049,2.5867
KENYA,PHS001,2050,1.5745
KENYA,PHS002,2034,20.5656
KENYA,PHS002,2035,4.905
KENYA,PHS002,2036,18.1556
KENYA,PHS002,2037,3.6456
KENYA,PHS002,2038,6.5831
KENYA,PHS002,2039,15.003
KENYA,PHS002,2040,30.5317
KENYA,PHS002,2050,0.4223
