r,s,y,DiscountedCapitalInvestmentStorage
KENYA,PHS001,2034,10.1043
KENYA,PHS001,2035,3.8729
KENYA,PHS001,2036,3.6316
KENYA,PHS001,2040,1.5966
KENYA,PHS001,2043,1.9264
KENYA,PHS001,2044,0.2243
KENYA,PHS001,2046,0.0619
KENYA,PHS001,2047,0.0205
KENYA,PHS001,2048,0.2679
KENYA,PHS001,2049,0.2004
KENYA,PHS001,2050,0.112
KENYA,PHS002,2034,5.7243
KENYA,PHS002,2035,1.2537
KENYA,PHS002,2036,4.2612
KENYA,PHS002,2037,0.7857
KENYA,PHS002,2038,1.3029
KENYA,PHS002,2039,2.7266
KENYA,PHS002,2040,5.0952
KENYA,PHS002,2050,0.03
