r,s,y,DiscountedSalvageValueStorage
KENYA,PHS001,2034,2.1074
KENYA,PHS001,2035,0.8914
KENYA,PHS001,2036,0.9213
KENYA,PHS001,2040,0.5918
KENYA,PHS001,2043,0.9414
KENYA,PHS001,2044,0.1201
KENYA,PHS001,2046,0.0397
KENYA,PHS001,2047,0.0143
KENYA,PHS001,2048,0.2054
KENYA,PHS001,2049,0.1679
KENYA,PHS001,2050,0.1026
KENYA,PHS002,2034,1.1939
KENYA,PHS002,2035,0.2886
KENYA,PHS002,2036,1.0811
KENYA,PHS002,2037,0.2195
KENYA,PHS002,2038,0.4003
KENYA,PHS002,2039,0.9205
KENYA,PHS002,2040,1.8887
KENYA,PHS002,2050,0.0275
