r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,1,1,1,2025,-0.0227
KENYA,BESS001,1,1,1,2026,-0.0004
KENYA,BESS001,1,1,1,2027,-0.0625
KENYA,BESS001,1,1,1,2028,-0.1062
KENYA,BESS001,1,1,1,2029,-0.0384
KENYA,BESS001,1,1,1,2034,-0.057
KENYA,BESS001,1,1,1,2035,-0.0
KENYA,BESS001,1,1,1,2037,0.0
KENYA,BESS001,1,1,1,2038,0.0
KENYA,BESS001,1,1,1,2039,-0.0
KENYA,BESS001,1,1,1,2040,-0.0
KENYA,BESS001,1,1,1,2041,-0.0
KENYA,BESS001,1,1,1,2042,-0.0
KENYA,BESS001,1,1,1,2044,-0.0591
KENYA,BESS001,1,1,1,2045,-0.1236
KENYA,BESS001,1,1,1,2046,-0.2122
KENYA,BESS001,1,1,1,2049,-0.3861
KENYA,BESS001,1,1,1,2050,-0.5127
KENYA,BESS001,1,1,2,2024,-0.0001
KENYA,BESS001,1,1,2,2025,-0.0074
KENYA,BESS001,1,1,2,2029,-0.0488
KENYA,BESS001,1,1,2,2030,-0.041
KENYA,BESS001,1,1,2,2032,0.0001
KENYA,BESS001,1,1,2,2033,-0.0103
KENYA,BESS001,1,1,2,2035,0.0
KENYA,BESS001,1,1,2,2041,-0.0
KENYA,BESS001,1,1,2,2042,-0.0
KENYA,BESS001,1,1,2,2046,-0.0031
KENYA,BESS001,1,1,2,2048,-0.0054
KENYA,BESS001,1,1,3,2024,-0.009
KENYA,BESS001,1,1,3,2025,-0.0024
KENYA,BESS001,1,1,3,2030,-0.0806
KENYA,BESS001,1,1,3,2031,0.0126
KENYA,BESS001,1,1,3,2036,0.0
KENYA,BESS001,1,1,3,2037,0.0
KENYA,BESS001,1,1,3,2038,-0.0
KENYA,BESS001,1,1,3,2039,0.0
KENYA,BESS001,1,1,3,2041,-0.0
KENYA,BESS001,1,1,3,2042,-0.0
KENYA,BESS001,1,1,3,2044,-0.0009
KENYA,BESS001,1,1,3,2045,-0.0018
KENYA,BESS001,1,1,3,2047,-0.2873
KENYA,BESS001,1,1,3,2048,-0.331
KENYA,BESS001,1,1,4,2024,0.006
KENYA,BESS001,1,1,4,2025,0.022
KENYA,BESS001,1,1,4,2026,0.0175
KENYA,BESS001,1,1,4,2027,0.0775
KENYA,BESS001,1,1,4,2028,0.0649
KENYA,BESS001,1,1,4,2029,0.0462
KENYA,BESS001,1,1,4,2030,0.08
KENYA,BESS001,1,1,4,2031,-0.0184
KENYA,BESS001,1,1,4,2032,-0.0013
KENYA,BESS001,1,1,4,2033,0.0143
KENYA,BESS001,1,1,4,2034,0.074
KENYA,BESS001,1,1,4,2035,0.0
KENYA,BESS001,1,1,4,2036,-0.0
KENYA,BESS001,1,1,4,2037,-0.0
KENYA,BESS001,1,1,4,2039,-0.0
KENYA,BESS001,1,1,4,2040,0.0
KENYA,BESS001,1,1,4,2041,0.0
KENYA,BESS001,1,1,4,2042,0.0
KENYA,BESS001,1,1,4,2044,0.0395
KENYA,BESS001,1,1,4,2045,0.0826
KENYA,BESS001,1,1,4,2046,0.1418
KENYA,BESS001,1,1,4,2047,0.2145
KENYA,BESS001,1,1,4,2048,0.2778
KENYA,BESS001,1,1,4,2049,0.3414
KENYA,BESS001,1,1,4,2050,0.4594
KENYA,BESS001,1,1,5,2024,0.003
KENYA,BESS001,1,1,5,2025,0.0305
KENYA,BESS001,1,1,5,2026,0.0237
KENYA,BESS001,1,1,5,2027,0.04
KENYA,BESS001,1,1,5,2028,0.04
KENYA,BESS001,1,1,5,2029,0.04
KENYA,BESS001,1,1,5,2030,0.04
KENYA,BESS001,1,1,5,2031,0.006
KENYA,BESS001,1,1,5,2032,0.0012
KENYA,BESS001,1,1,5,2033,-0.0041
KENYA,BESS001,1,1,5,2034,0.037
KENYA,BESS001,1,1,5,2037,-0.0
KENYA,BESS001,1,1,5,2038,-0.0
KENYA,BESS001,1,1,5,2040,0.0
KENYA,BESS001,1,1,5,2041,0.0
KENYA,BESS001,1,1,5,2042,0.0
KENYA,BESS001,1,1,5,2044,0.0197
KENYA,BESS001,1,1,5,2045,0.0413
KENYA,BESS001,1,1,5,2046,0.0709
KENYA,BESS001,1,1,5,2047,0.0693
KENYA,BESS001,1,1,5,2048,0.0544
KENYA,BESS001,1,1,5,2049,0.0399
KENYA,BESS001,1,1,5,2050,0.047
KENYA,BESS001,1,1,6,2025,-0.0206
KENYA,BESS001,1,1,6,2026,-0.0413
KENYA,BESS001,1,1,6,2027,-0.0565
KENYA,BESS001,1,1,6,2029,0.0
KENYA,BESS001,1,1,6,2034,-0.0554
KENYA,BESS001,1,1,6,2036,0.0
KENYA,BESS001,1,1,6,2038,0.0
KENYA,BESS001,1,1,6,2039,0.0
KENYA,BESS001,1,1,6,2041,-0.0
KENYA,BESS001,1,1,6,2042,-0.0
KENYA,BESS001,1,2,1,2025,0.0193
KENYA,BESS001,1,2,1,2026,0.0355
KENYA,BESS001,1,2,1,2027,0.0194
KENYA,BESS001,1,2,1,2028,0.0163
KENYA,BESS001,1,2,1,2029,0.0479
KENYA,BESS001,1,2,1,2030,0.012
KENYA,BESS001,1,2,1,2031,0.0479
KENYA,BESS001,1,2,1,2032,0.0479
KENYA,BESS001,1,2,1,2033,0.0319
KENYA,BESS001,1,2,1,2034,0.0443
KENYA,BESS001,1,2,1,2036,0.0
KENYA,BESS001,1,2,1,2037,0.0
KENYA,BESS001,1,2,1,2039,-0.0
KENYA,BESS001,1,2,1,2040,-0.0
KENYA,BESS001,1,2,1,2041,-0.0
KENYA,BESS001,1,2,1,2042,0.0
KENYA,BESS001,1,2,1,2047,-0.0245
KENYA,BESS001,1,2,1,2049,0.0287
KENYA,BESS001,1,2,1,2050,0.0492
KENYA,BESS001,1,2,2,2025,-0.0023
KENYA,BESS001,1,2,2,2026,0.0053
KENYA,BESS001,1,2,2,2029,-0.0105
KENYA,BESS001,1,2,2,2031,-0.0185
KENYA,BESS001,1,2,2,2032,-0.019
KENYA,BESS001,1,2,2,2033,-0.0199
KENYA,BESS001,1,2,2,2034,-0.0124
KENYA,BESS001,1,2,2,2035,-0.0
KENYA,BESS001,1,2,2,2036,-0.0
KENYA,BESS001,1,2,2,2037,-0.0
KENYA,BESS001,1,2,2,2044,-0.0118
KENYA,BESS001,1,2,2,2045,-0.0155
KENYA,BESS001,1,2,2,2046,-0.0287
KENYA,BESS001,1,2,2,2047,-0.019
KENYA,BESS001,1,2,2,2048,-0.0233
KENYA,BESS001,1,2,2,2049,-0.0288
KENYA,BESS001,1,2,2,2050,-0.0318
KENYA,BESS001,1,2,3,2025,-0.0046
KENYA,BESS001,1,2,3,2029,-0.0217
KENYA,BESS001,1,2,3,2031,-0.0348
KENYA,BESS001,1,2,3,2032,-0.0292
KENYA,BESS001,1,2,3,2033,-0.0243
KENYA,BESS001,1,2,3,2034,-0.0081
KENYA,BESS001,1,2,3,2035,-0.0
KENYA,BESS001,1,2,3,2036,0.0
KENYA,BESS001,1,2,3,2037,-0.0
KENYA,BESS001,1,2,3,2039,0.0
KENYA,BESS001,1,2,3,2041,-0.0
KENYA,BESS001,1,2,3,2042,-0.0
KENYA,BESS001,1,2,3,2048,-0.0028
KENYA,BESS001,1,2,4,2024,0.0024
KENYA,BESS001,1,2,4,2025,0.0037
KENYA,BESS001,1,2,4,2026,-0.0315
KENYA,BESS001,1,2,4,2027,-0.0031
KENYA,BESS001,1,2,4,2028,-0.0131
KENYA,BESS001,1,2,4,2029,-0.0054
KENYA,BESS001,1,2,4,2030,-0.0113
KENYA,BESS001,1,2,4,2031,0.0084
KENYA,BESS001,1,2,4,2032,0.0068
KENYA,BESS001,1,2,4,2033,0.0045
KENYA,BESS001,1,2,4,2034,-0.0295
KENYA,BESS001,1,2,4,2040,0.0
KENYA,BESS001,1,2,4,2041,0.0
KENYA,BESS001,1,2,4,2044,0.0157
KENYA,BESS001,1,2,4,2045,0.0329
KENYA,BESS001,1,2,4,2046,0.0564
KENYA,BESS001,1,2,4,2047,0.0854
KENYA,BESS001,1,2,4,2048,0.081
KENYA,BESS001,1,2,4,2049,0.0685
KENYA,BESS001,1,2,4,2050,0.0788
KENYA,BESS001,1,2,5,2024,-0.0012
KENYA,BESS001,1,2,5,2025,-0.0161
KENYA,BESS001,1,2,5,2026,-0.0087
KENYA,BESS001,1,2,5,2027,-0.0161
KENYA,BESS001,1,2,5,2028,-0.003
KENYA,BESS001,1,2,5,2029,-0.0133
KENYA,BESS001,1,2,5,2030,-0.0005
KENYA,BESS001,1,2,5,2031,-0.0161
KENYA,BESS001,1,2,5,2032,-0.0161
KENYA,BESS001,1,2,5,2033,-0.0161
KENYA,BESS001,1,2,5,2034,-0.0149
KENYA,BESS001,1,2,5,2036,-0.0
KENYA,BESS001,1,2,5,2040,-0.0
KENYA,BESS001,1,2,5,2042,-0.0
KENYA,BESS001,1,2,5,2044,-0.0079
KENYA,BESS001,1,2,5,2045,-0.0166
KENYA,BESS001,1,2,5,2046,-0.0285
KENYA,BESS001,1,2,5,2047,-0.0431
KENYA,BESS001,1,2,5,2048,-0.0558
KENYA,BESS001,1,2,5,2049,-0.0685
KENYA,BESS001,1,2,5,2050,-0.0922
KENYA,BESS001,1,2,6,2024,-0.0012
KENYA,BESS001,1,2,6,2029,0.0032
KENYA,BESS001,1,2,6,2031,0.013
KENYA,BESS001,1,2,6,2032,0.0096
KENYA,BESS001,1,2,6,2033,0.024
KENYA,BESS001,1,2,6,2034,0.0212
KENYA,BESS001,1,2,6,2035,0.0
KENYA,BESS001,1,2,6,2036,0.0
KENYA,BESS001,1,2,6,2041,-0.0
KENYA,BESS001,1,2,6,2042,0.0
KENYA,BESS001,1,2,6,2044,0.0038
KENYA,BESS001,1,2,6,2045,-0.0012
KENYA,BESS001,1,2,6,2048,-0.0002
KENYA,BESS001,1,2,6,2049,-0.0005
KENYA,BESS001,1,2,6,2050,-0.0045
KENYA,BESS001,2,1,1,2024,0.0021
KENYA,BESS001,2,1,1,2025,0.0584
KENYA,BESS001,2,1,1,2026,0.0101
KENYA,BESS001,2,1,1,2027,0.01
KENYA,BESS001,2,1,1,2028,0.0644
KENYA,BESS001,2,1,1,2029,0.0666
KENYA,BESS001,2,1,1,2030,0.0477
KENYA,BESS001,2,1,1,2031,0.062
KENYA,BESS001,2,1,1,2032,0.0683
KENYA,BESS001,2,1,1,2033,0.0811
KENYA,BESS001,2,1,1,2034,0.075
KENYA,BESS001,2,1,1,2035,0.0
KENYA,BESS001,2,1,1,2037,0.0
KENYA,BESS001,2,1,1,2038,0.0
KENYA,BESS001,2,1,1,2040,0.0
KENYA,BESS001,2,1,1,2041,-0.0
KENYA,BESS001,2,1,1,2042,0.0
KENYA,BESS001,2,1,1,2044,0.04
KENYA,BESS001,2,1,1,2045,0.0837
KENYA,BESS001,2,1,1,2046,0.1437
KENYA,BESS001,2,1,1,2047,0.2174
KENYA,BESS001,2,1,1,2048,0.2816
KENYA,BESS001,2,1,1,2049,0.3334
KENYA,BESS001,2,1,1,2050,0.3357
KENYA,BESS001,2,1,2,2025,-0.0017
KENYA,BESS001,2,1,2,2026,0.0013
KENYA,BESS001,2,1,2,2027,0.0406
KENYA,BESS001,2,1,2,2029,-0.0257
KENYA,BESS001,2,1,2,2031,-0.0335
KENYA,BESS001,2,1,2,2032,-0.0406
KENYA,BESS001,2,1,2,2033,-0.0406
KENYA,BESS001,2,1,2,2034,-0.0329
KENYA,BESS001,2,1,2,2037,-0.0
KENYA,BESS001,2,1,2,2041,-0.0
KENYA,BESS001,2,1,2,2042,-0.0
KENYA,BESS001,2,1,2,2044,-0.02
KENYA,BESS001,2,1,2,2045,-0.0418
KENYA,BESS001,2,1,2,2046,-0.0719
KENYA,BESS001,2,1,2,2047,-0.1087
KENYA,BESS001,2,1,2,2048,-0.1408
KENYA,BESS001,2,1,2,2049,-0.1185
KENYA,BESS001,2,1,2,2050,-0.0756
KENYA,BESS001,2,1,3,2029,-0.0088
KENYA,BESS001,2,1,3,2031,-0.0166
KENYA,BESS001,2,1,3,2032,-0.0138
KENYA,BESS001,2,1,3,2033,-0.0102
KENYA,BESS001,2,1,3,2035,0.0
KENYA,BESS001,2,1,3,2036,0.0
KENYA,BESS001,2,1,3,2037,-0.0
KENYA,BESS001,2,1,3,2038,0.0
KENYA,BESS001,2,1,3,2040,-0.0
KENYA,BESS001,2,1,3,2041,-0.0
KENYA,BESS001,2,1,3,2042,0.0
KENYA,BESS001,2,1,3,2044,0.0006
KENYA,BESS001,2,1,3,2045,0.0012
KENYA,BESS001,2,1,3,2046,0.0021
KENYA,BESS001,2,1,3,2047,0.0032
KENYA,BESS001,2,1,3,2048,0.0907
KENYA,BESS001,2,1,3,2049,0.0955
KENYA,BESS001,2,1,3,2050,0.0928
KENYA,BESS001,2,1,4,2024,-0.0041
KENYA,BESS001,2,1,4,2025,-0.0518
KENYA,BESS001,2,1,4,2026,-0.0542
KENYA,BESS001,2,1,4,2027,-0.0433
KENYA,BESS001,2,1,4,2028,-0.0538
KENYA,BESS001,2,1,4,2029,-0.0355
KENYA,BESS001,2,1,4,2030,-0.0481
KENYA,BESS001,2,1,4,2031,-0.047
KENYA,BESS001,2,1,4,2032,-0.0303
KENYA,BESS001,2,1,4,2033,-0.043
KENYA,BESS001,2,1,4,2034,-0.0338
KENYA,BESS001,2,1,4,2035,-0.0
KENYA,BESS001,2,1,4,2036,-0.0
KENYA,BESS001,2,1,4,2037,-0.0
KENYA,BESS001,2,1,4,2038,-0.0
KENYA,BESS001,2,1,4,2040,-0.0
KENYA,BESS001,2,1,4,2041,0.0
KENYA,BESS001,2,1,4,2042,-0.0
KENYA,BESS001,2,1,4,2044,-0.0267
KENYA,BESS001,2,1,4,2045,-0.0559
KENYA,BESS001,2,1,4,2046,-0.096
KENYA,BESS001,2,1,4,2047,-0.1452
