r,s,y,NewStorageCapacity
KENYA,PHS001,2034,0.0016
KENYA,PHS001,2035,0.0007
KENYA,PHS001,2036,0.0007
KENYA,PHS001,2040,0.0004
KENYA,PHS001,2043,0.0007
KENYA,PHS001,2044,0.0001
KENYA,PHS001,2046,0.0
KENYA,PHS001,2047,0.0
KENYA,PHS001,2048,0.0001
KENYA,PHS001,2049,0.0001
KENYA,PHS001,2050,0.0001
KENYA,PHS002,2034,0.0009
KENYA,PHS002,2035,0.0002
KENYA,PHS002,2036,0.0008
KENYA,PHS002,2037,0.0002
KENYA,PHS002,2038,0.0003
KENYA,PHS002,2039,0.0007
KENYA,PHS002,2040,0.0014
KENYA,PHS002,2050,0.0
KENYA,BESS001,2023,0.0005
KENYA,BESS001,2025,0.0033
KENYA,BESS001,2027,0.003
KENYA,BESS001,2029,-0.0
KENYA,BESS001,2032,0.0
KENYA,BESS001,2034,-0.0
KENYA,BESS001,2038,0.0
KENYA,BESS001,2043,0.0028
KENYA,BESS001,2045,0.003
KENYA,BESS001,2046,0.0267
