r,l,t,m,y,RateOfActivity
KENYA,TS02,BESS_TECH,2,2024,0.006
KENYA,TS03,BESS_TECH,2,2024,0.2047
KENYA,TS11,BESS_TECH,2,2024,0.2047
KENYA,TS12,BESS_TECH,2,2024,0.1385
KENYA,TS16,BESS_TECH,2,2024,0.2047
KENYA,TS20,BESS_TECH,2,2024,0.2047
KENYA,TS22,BESS_TECH,2,2024,0.2047
KENYA,TS24,BESS_TECH,2,2024,0.2047
KENYA,TS25,BESS_TECH,2,2024,0.1355
KENYA,TS28,BESS_TECH,2,2024,0.2047
KENYA,TS33,BESS_TECH,2,2024,0.2047
KENYA,TS34,BESS_TECH,2,2024,0.2047
KENYA,TS35,BESS_TECH,2,2024,0.0183
KENYA,TS40,BESS_TECH,2,2024,0.1671
KENYA,TS46,BESS_TECH,2,2024,0.2047
KENYA,TS04,BESS_TECH,1,2024,0.2047
KENYA,TS05,BESS_TECH,1,2024,0.2047
KENYA,TS10,BESS_TECH,1,2024,0.2047
KENYA,TS13,BESS_TECH,1,2024,0.0693
KENYA,TS17,BESS_TECH,1,2024,0.2047
KENYA,TS19,BESS_TECH,1,2024,0.2047
KENYA,TS21,BESS_TECH,1,2024,0.0693
KENYA,TS23,BESS_TECH,1,2024,0.2047
KENYA,TS26,BESS_TECH,1,2024,0.2047
KENYA,TS29,BESS_TECH,1,2024,0.2047
KENYA,TS30,BESS_TECH,1,2024,0.2047
KENYA,TS31,BESS_TECH,1,2024,0.1447
KENYA,TS32,BESS_TECH,1,2024,0.2047
KENYA,TS36,BESS_TECH,1,2024,0.2047
KENYA,TS37,BESS_TECH,1,2024,0.0438
KENYA,TS41,BESS_TECH,1,2024,0.2047
KENYA,TS45,BESS_TECH,1,2024,0.0693
KENYA,TS47,BESS_TECH,1,2024,0.2047
KENYA,TS01,BESS_TECH,2,2025,0.5161
KENYA,TS02,BESS_TECH,2,2025,0.3373
KENYA,TS03,BESS_TECH,2,2025,0.0551
KENYA,TS06,BESS_TECH,2,2025,0.9363
KENYA,TS08,BESS_TECH,2,2025,0.2653
KENYA,TS09,BESS_TECH,2,2025,0.2601
KENYA,TS11,BESS_TECH,2,2025,2.7221
KENYA,TS14,BESS_TECH,2,2025,0.1169
KENYA,TS16,BESS_TECH,2,2025,2.6007
KENYA,TS17,BESS_TECH,2,2025,0.4226
KENYA,TS20,BESS_TECH,2,2025,2.7221
KENYA,TS22,BESS_TECH,2,2025,2.7221
KENYA,TS23,BESS_TECH,2,2025,1.1039
KENYA,TS24,BESS_TECH,2,2025,2.7221
KENYA,TS27,BESS_TECH,2,2025,1.5133
KENYA,TS28,BESS_TECH,2,2025,1.4179
