r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,1,1,1,2025,-0.5161
KENYA,BESS001,1,1,1,2026,-0.0081
KENYA,BESS001,1,1,1,2027,-1.4206
KENYA,BESS001,1,1,1,2028,-2.4137
KENYA,BESS001,1,1,1,2029,-0.8736
KENYA,BESS001,1,1,1,2034,-1.2957
KENYA,BESS001,1,1,1,2035,-0.0001
KENYA,BESS001,1,1,1,2037,0.0001
KENYA,BESS001,1,1,1,2038,0.0
KENYA,BESS001,1,1,1,2039,-0.0001
KENYA,BESS001,1,1,1,2040,-0.0
KENYA,BESS001,1,1,1,2041,-0.0
KENYA,BESS001,1,1,1,2042,-0.0
KENYA,BESS001,1,1,1,2044,-1.3421
KENYA,BESS001,1,1,1,2045,-2.808
KENYA,BESS001,1,1,1,2046,-4.8234
KENYA,BESS001,1,1,1,2049,-8.774
KENYA,BESS001,1,1,1,2050,-11.653
KENYA,BESS001,1,1,2,2024,-0.006
KENYA,BESS001,1,1,2,2025,-0.3373
KENYA,BESS001,1,1,2,2029,-2.2199
KENYA,BESS001,1,1,2,2030,-1.8616
KENYA,BESS001,1,1,2,2032,0.0026
KENYA,BESS001,1,1,2,2033,-0.4676
KENYA,BESS001,1,1,2,2035,0.0001
KENYA,BESS001,1,1,2,2037,0.0
KENYA,BESS001,1,1,2,2038,-0.0
KENYA,BESS001,1,1,2,2041,-0.0
KENYA,BESS001,1,1,2,2042,-0.0
KENYA,BESS001,1,1,2,2046,-0.1419
KENYA,BESS001,1,1,2,2048,-0.2466
KENYA,BESS001,1,1,3,2024,-0.2047
KENYA,BESS001,1,1,3,2025,-0.0551
KENYA,BESS001,1,1,3,2030,-1.8314
KENYA,BESS001,1,1,3,2031,0.287
KENYA,BESS001,1,1,3,2036,0.0
KENYA,BESS001,1,1,3,2037,0.0001
KENYA,BESS001,1,1,3,2038,-0.0001
KENYA,BESS001,1,1,3,2039,0.0
KENYA,BESS001,1,1,3,2041,-0.0
KENYA,BESS001,1,1,3,2042,-0.0
KENYA,BESS001,1,1,3,2044,-0.0198
KENYA,BESS001,1,1,3,2045,-0.0413
KENYA,BESS001,1,1,3,2047,-6.5303
KENYA,BESS001,1,1,3,2048,-7.5221
KENYA,BESS001,1,1,4,2024,0.2047
KENYA,BESS001,1,1,4,2025,0.7478
KENYA,BESS001,1,1,4,2026,0.5943
KENYA,BESS001,1,1,4,2027,2.6366
KENYA,BESS001,1,1,4,2028,2.207
KENYA,BESS001,1,1,4,2029,1.5712
