r,t,y,SalvageValue
KENYA,BESS_TECH,2043,-0.0
KENYA,BESS_TECH,2044,14.0467
KENYA,BESS_TECH,2045,19.2013
KENYA,BESS_TECH,2046,30.9931
KENYA,BESS_TECH,2047,42.8952
KENYA,BESS_TECH,2048,40.9741
KENYA,BESS_TECH,2049,44.2699
KENYA,BESS_TECH,2050,86.9646
KENYA,PWRBIO001,2023,0.5948
KENYA,PWRBIO001,2026,9.4057
KENYA,PWRBIO001,2028,9.7437
KENYA,PWRBIO001,2030,69.98
KENYA,PWRBIO001,2031,31.0937
KENYA,PWRBIO001,2032,17.8103
KENYA,PWRBIO001,2033,5.2074
KENYA,PWRBIO001,2034,10.8925
KENYA,PWRBIO001,2035,0.5666
KENYA,PWRBIO001,2037,35.908
KENYA,PWRBIO001,2038,18.4578
KENYA,PWRBIO001,2048,137.5615
KENYA,PWRBIO001,2049,107.039
KENYA,PWRBIO001,2050,22.0837
KENYA,PWRDIST,2019,707.3622
KENYA,PWRDIST,2020,79.566
KENYA,PWRDIST,2021,205.611
KENYA,PWRDIST,2022,157.0148
KENYA,PWRDIST,2023,138.1475
KENYA,PWRDIST,2024,168.9954
KENYA,PWRDIST,2025,187.7259
KENYA,PWRDIST,2026,165.536
KENYA,PWRDIST,2027,312.9195
KENYA,PWRDIST,2028,342.8232
KENYA,PWRDIST,2029,387.7033
KENYA,PWRDIST,2030,379.6832
KENYA,PWRDIST,2031,363.0386
KENYA,PWRDIST,2032,420.2481
KENYA,PWRDIST,2033,408.8064
KENYA,PWRDIST,2034,447.3602
KENYA,PWRDIST,2035,464.3672
KENYA,PWRDIST,2036,476.9032
KENYA,PWRDIST,2037,573.0282
KENYA,PWRDIST,2038,597.3233
KENYA,PWRDIST,2039,631.9697
KENYA,PWRDIST,2040,670.4289
KENYA,PWRDIST,2041,706.759
KENYA,PWRDIST,2042,731.8493
KENYA,PWRDIST,2043,780.873
KENYA,PWRDIST,2044,822.8789
KENYA,PWRDIST,2045,870.3079
KENYA,PWRDIST,2046,918.7671
KENYA,PWRDIST,2047,968.0571
KENYA,PWRDIST,2048,1023.8588
KENYA,PWRDIST,2049,1080.7706
KENYA,PWRDIST,2050,1138.5045
KENYA,PWRGEO013,2029,160.3016
KENYA,PWRGEO014,2029,136.1462
KENYA,PWRGEO015,2034,298.2685
KENYA,PWRGEO016,2036,346.0817
KENYA,PWRGEO017,2028,18.2328
KENYA,PWRGEO018,2039,168.7876
KENYA,PWRGEO019,2037,237.4509
KENYA,PWRGEO020,2040,272.0038
KENYA,PWRGEO021,2040,271.9247
KENYA,PWRGEO024,2031,135.47
