r,s,y,SalvageValueStorage
KENYA,PHS001,2033,-0.0
KENYA,PHS001,2034,32.2586
KENYA,PHS001,2035,13.6452
KENYA,PHS001,2036,14.1025
KENYA,PHS001,2040,9.0594
KENYA,PHS001,2043,14.4097
KENYA,PHS001,2044,1.8376
KENYA,PHS001,2046,0.6078
KENYA,PHS001,2047,0.2195
KENYA,PHS001,2048,3.1437
KENYA,PHS001,2049,2.5702
KENYA,PHS001,2050,1.5698
KENYA,PHS002,2034,18.2752
KENYA,PHS002,2035,4.417
KENYA,PHS002,2036,16.5478
KENYA,PHS002,2037,3.3593
KENYA,PHS002,2038,6.1268
KENYA,PHS002,2039,14.0899
KENYA,PHS002,2040,28.9105
KENYA,PHS002,2050,0.4211
