r,s,ls,y,StorageLevelSeasonStart
KENYA,BESS001,1,2023,0.0002
KENYA,BESS001,1,2024,0.0002
KENYA,BESS001,1,2025,0.0019
KENYA,BESS001,1,2026,0.0019
KENYA,BESS001,1,2027,0.0034
KENYA,BESS001,1,2028,0.0034
KENYA,BESS001,1,2029,0.0034
KENYA,BESS001,1,2030,0.0034
KENYA,BESS001,1,2031,0.0034
KENYA,BESS001,1,2032,0.0034
KENYA,BESS001,1,2033,0.0031
KENYA,BESS001,1,2034,0.0031
KENYA,BESS001,1,2035,0.0015
KENYA,BESS001,1,2036,0.0015
KENYA,BESS001,1,2037,0.0
KENYA,BESS001,1,2038,0.0
KENYA,BESS001,1,2039,0.0
KENYA,BESS001,1,2040,0.0
KENYA,BESS001,1,2041,0.0
KENYA,BESS001,1,2042,0.0
KENYA,BESS001,1,2043,0.0014
KENYA,BESS001,1,2044,0.0014
KENYA,BESS001,1,2045,0.0029
KENYA,BESS001,1,2046,0.0162
KENYA,BESS001,1,2047,0.0162
KENYA,BESS001,1,2048,0.0162
KENYA,BESS001,1,2049,0.0162
KENYA,BESS001,1,2050,0.0162
KENYA,BESS001,2,2023,0.0002
KENYA,BESS001,2,2024,0.0001
KENYA,BESS001,2,2025,0.0013
KENYA,BESS001,2,2026,0.002
KENYA,BESS001,2,2027,0.0021
KENYA,BESS001,2,2028,0.0023
KENYA,BESS001,2,2029,0.0025
KENYA,BESS001,2,2030,0.0021
KENYA,BESS001,2,2031,0.0035
KENYA,BESS001,2,2032,0.0034
KENYA,BESS001,2,2033,0.0031
KENYA,BESS001,2,2034,0.0024
KENYA,BESS001,2,2035,0.0015
KENYA,BESS001,2,2036,0.0015
KENYA,BESS001,2,2037,0.0
KENYA,BESS001,2,2038,0.0
KENYA,BESS001,2,2039,0.0
KENYA,BESS001,2,2040,0.0
KENYA,BESS001,2,2041,0.0
KENYA,BESS001,2,2042,0.0
KENYA,BESS001,2,2043,0.0014
KENYA,BESS001,2,2044,0.0005
KENYA,BESS001,2,2045,0.001
KENYA,BESS001,2,2046,0.0129
KENYA,BESS001,2,2047,0.0116
KENYA,BESS001,2,2048,0.0112
KENYA,BESS001,2,2049,0.0109
KENYA,BESS001,2,2050,0.0094
KENYA,BESS001,3,2023,0.0002
KENYA,BESS001,3,2024,0.0001
KENYA,BESS001,3,2025,0.0019
KENYA,BESS001,3,2026,0.0023
KENYA,BESS001,3,2027,0.0025
KENYA,BESS001,3,2028,0.0029
KENYA,BESS001,3,2029,0.0029
KENYA,BESS001,3,2030,0.0025
KENYA,BESS001,3,2031,0.0039
KENYA,BESS001,3,2032,0.0037
KENYA,BESS001,3,2033,0.0037
KENYA,BESS001,3,2034,0.0025
KENYA,BESS001,3,2035,0.0015
KENYA,BESS001,3,2036,0.0015
KENYA,BESS001,3,2037,0.0
KENYA,BESS001,3,2038,0.0
KENYA,BESS001,3,2039,0.0
KENYA,BESS001,3,2040,0.0
KENYA,BESS001,3,2041,0.0
KENYA,BESS001,3,2042,0.0
KENYA,BESS001,3,2043,0.0014
KENYA,BESS001,3,2044,0.0009
KENYA,BESS001,3,2045,0.0018
KENYA,BESS001,3,2046,0.0144
KENYA,BESS001,3,2047,0.0139
KENYA,BESS001,3,2048,0.0141
KENYA,BESS001,3,2049,0.0144
KENYA,BESS001,3,2050,0.0132
KENYA,BESS001,4,2023,0.0002
KENYA,BESS001,4,2024,0.0002
KENYA,BESS001,4,2025,0.0019
KENYA,BESS001,4,2026,0.0019
KENYA,BESS001,4,2027,0.0027
KENYA,BESS001,4,2028,0.0032
KENYA,BESS001,4,2029,0.0028
KENYA,BESS001,4,2030,0.0025
KENYA,BESS001,4,2031,0.0034
KENYA,BESS001,4,2032,0.0033
KENYA,BESS001,4,2033,0.0033
KENYA,BESS001,4,2034,0.0017
KENYA,BESS001,4,2035,0.0015
KENYA,BESS001,4,2036,0.0015
KENYA,BESS001,4,2037,0.0
KENYA,BESS001,4,2038,0.0
KENYA,BESS001,4,2039,0.0
KENYA,BESS001,4,2040,0.0
KENYA,BESS001,4,2041,0.0
KENYA,BESS001,4,2042,0.0
KENYA,BESS001,4,2043,0.0014
KENYA,BESS001,4,2044,0.0009
KENYA,BESS001,4,2045,0.0011
KENYA,BESS001,4,2046,0.013
KENYA,BESS001,4,2047,0.0112
KENYA,BESS001,4,2048,0.0094
KENYA,BESS001,4,2049,0.0077
KENYA,BESS001,4,2050,0.0053
KENYA,PHS001,1,2034,0.0008
KENYA,PHS001,1,2035,0.0011
KENYA,PHS001,1,2036,0.0015
KENYA,PHS001,1,2037,0.0015
KENYA,PHS001,1,2038,0.0015
KENYA,PHS001,1,2039,0.0015
KENYA,PHS001,1,2040,0.0017
KENYA,PHS001,1,2041,0.0017
KENYA,PHS001,1,2042,0.0017
KENYA,PHS001,1,2043,0.002
KENYA,PHS001,1,2044,0.0021
KENYA,PHS001,1,2045,0.0021
KENYA,PHS001,1,2046,0.0021
KENYA,PHS001,1,2047,0.0021
KENYA,PHS001,1,2048,0.0022
KENYA,PHS001,1,2049,0.0022
KENYA,PHS001,1,2050,0.0023
KENYA,PHS001,2,2034,0.0012
KENYA,PHS001,2,2035,0.0016
KENYA,PHS001,2,2036,0.002
KENYA,PHS001,2,2037,0.002
KENYA,PHS001,2,2038,0.0021
KENYA,PHS001,2,2039,0.002
KENYA,PHS001,2,2041,0.0
KENYA,PHS001,2,2042,0.0
KENYA,PHS001,2,2043,-0.0
KENYA,PHS001,2,2046,0.0001
KENYA,PHS001,2,2047,0.0015
KENYA,PHS001,2,2048,0.0024
KENYA,PHS001,2,2049,0.0024
KENYA,PHS001,2,2050,0.0029
KENYA,PHS001,3,2034,0.0
KENYA,PHS001,3,2035,0.0
KENYA,PHS001,3,2036,0.0
KENYA,PHS001,3,2037,0.0
KENYA,PHS001,3,2038,0.0
KENYA,PHS001,3,2039,0.0006
KENYA,PHS001,3,2040,0.002
KENYA,PHS001,3,2041,0.0
KENYA,PHS001,3,2042,0.0
KENYA,PHS001,3,2043,0.0024
KENYA,PHS001,3,2044,0.0024
KENYA,PHS001,3,2045,0.0024
KENYA,PHS001,3,2046,0.0001
KENYA,PHS001,3,2047,0.0012
KENYA,PHS001,3,2048,0.0025
KENYA,PHS001,3,2049,0.0025
KENYA,PHS001,3,2050,0.003
KENYA,PHS001,4,2034,0.0012
KENYA,PHS001,4,2035,0.0
KENYA,PHS001,4,2036,0.0019
KENYA,PHS001,4,2037,0.0019
KENYA,PHS001,4,2038,0.002
KENYA,PHS001,4,2039,0.0007
KENYA,PHS001,4,2040,0.0
KENYA,PHS001,4,2041,0.002
KENYA,PHS001,4,2042,0.0019
KENYA,PHS001,4,2043,0.0024
KENYA,PHS001,4,2044,0.0024
KENYA,PHS001,4,2045,0.0024
KENYA,PHS001,4,2046,0.0002
KENYA,PHS001,4,2047,0.0024
KENYA,PHS001,4,2048,0.0024
KENYA,PHS001,4,2049,0.0024
KENYA,PHS001,4,2050,0.0022
KENYA,PHS002,1,2034,0.0005
KENYA,PHS002,1,2035,0.0006
KENYA,PHS002,1,2036,0.001
KENYA,PHS002,1,2037,0.0011
KENYA,PHS002,1,2038,0.0012
KENYA,PHS002,1,2039,0.0015
KENYA,PHS002,1,2040,0.0022
KENYA,PHS002,1,2041,0.0022
KENYA,PHS002,1,2042,0.0022
KENYA,PHS002,1,2043,0.0022
KENYA,PHS002,1,2044,0.0022
KENYA,PHS002,1,2045,0.0022
KENYA,PHS002,1,2046,0.0022
KENYA,PHS002,1,2047,0.0022
KENYA,PHS002,1,2048,0.0022
KENYA,PHS002,1,2049,0.0022
KENYA,PHS002,1,2050,0.0022
KENYA,PHS002,2,2034,0.0007
KENYA,PHS002,2,2035,0.0007
KENYA,PHS002,2,2036,0.0015
KENYA,PHS002,2,2037,0.0015
KENYA,PHS002,2,2038,0.0016
KENYA,PHS002,2,2039,0.0025
KENYA,PHS002,2,2041,0.0001
KENYA,PHS002,2,2042,0.0001
KENYA,PHS002,2,2043,0.0002
KENYA,PHS002,2,2046,0.0001
KENYA,PHS002,2,2047,0.0001
KENYA,PHS002,2,2048,0.002
KENYA,PHS002,2,2049,0.0032
KENYA,PHS002,2,2050,0.0032
KENYA,PHS002,3,2034,0.0
KENYA,PHS002,3,2035,0.0
