r,t,y,AnnualVariableOperatingCost
KENYA,BACKSTOP,2049,83.5502
KENYA,BACKSTOP,2050,784.6973
KENYA,BESS_TECH,2024,0.0001
KENYA,BESS_TECH,2025,0.0009
KENYA,BESS_TECH,2026,0.001
KENYA,BESS_TECH,2027,0.0011
KENYA,BESS_TECH,2028,0.0011
KENYA,BESS_TECH,2029,0.0011
KENYA,BESS_TECH,2030,0.0011
KENYA,BESS_TECH,2031,0.0012
KENYA,BESS_TECH,2032,0.0013
KENYA,BESS_TECH,2033,0.0012
KENYA,BESS_TECH,2034,0.0012
KENYA,BESS_TECH,2044,0.001
KENYA,BESS_TECH,2045,0.0015
KENYA,BESS_TECH,2046,0.0034
KENYA,BESS_TECH,2047,0.0049
KENYA,BESS_TECH,2048,0.0054
KENYA,BESS_TECH,2049,0.0092
KENYA,BESS_TECH,2050,0.0091
KENYA,DEMCOMELC,2019,0.0063
KENYA,DEMCOMELC,2020,0.0064
KENYA,DEMCOMELC,2021,0.0067
KENYA,DEMCOMELC,2022,0.0069
KENYA,DEMCOMELC,2023,0.0071
KENYA,DEMCOMELC,2024,0.0073
KENYA,DEMCOMELC,2025,0.0076
KENYA,DEMCOMELC,2026,0.0079
KENYA,DEMCOMELC,2027,0.0083
KENYA,DEMCOMELC,2028,0.0088
KENYA,DEMCOMELC,2029,0.0094
KENYA,DEMCOMELC,2030,0.01
KENYA,DEMCOMELC,2031,0.0105
KENYA,DEMCOMELC,2032,0.0111
KENYA,DEMCOMELC,2033,0.0118
KENYA,DEMCOMELC,2034,0.0124
KENYA,DEMCOMELC,2035,0.0131
KENYA,DEMCOMELC,2036,0.0138
KENYA,DEMCOMELC,2037,0.0146
KENYA,DEMCOMELC,2038,0.0155
KENYA,DEMCOMELC,2039,0.0164
KENYA,DEMCOMELC,2040,0.0173
KENYA,DEMCOMELC,2041,0.0183
KENYA,DEMCOMELC,2042,0.0193
KENYA,DEMCOMELC,2043,0.0204
KENYA,DEMCOMELC,2044,0.0216
KENYA,DEMCOMELC,2045,0.0228
KENYA,DEMCOMELC,2046,0.0241
KENYA,DEMCOMELC,2047,0.0255
KENYA,DEMCOMELC,2048,0.0269
KENYA,DEMCOMELC,2049,0.0285
KENYA,DEMCOMELC,2050,0.0301
KENYA,DEMINDELC,2019,0.0216
KENYA,DEMINDELC,2020,0.0219
KENYA,DEMINDELC,2021,0.0229
KENYA,DEMINDELC,2022,0.0237
KENYA,DEMINDELC,2023,0.0244
KENYA,DEMINDELC,2024,0.0253
KENYA,DEMINDELC,2025,0.0262
KENYA,DEMINDELC,2026,0.0271
KENYA,DEMINDELC,2027,0.0287
KENYA,DEMINDELC,2028,0.0304
KENYA,DEMINDELC,2029,0.0323
KENYA,DEMINDELC,2030,0.0343
KENYA,DEMINDELC,2031,0.0362
KENYA,DEMINDELC,2032,0.0383
KENYA,DEMINDELC,2033,0.0405
KENYA,DEMINDELC,2034,0.0428
KENYA,DEMINDELC,2035,0.0452
KENYA,DEMINDELC,2036,0.0477
KENYA,DEMINDELC,2037,0.0504
KENYA,DEMINDELC,2038,0.0533
KENYA,DEMINDELC,2039,0.0564
KENYA,DEMINDELC,2040,0.0596
KENYA,DEMINDELC,2041,0.063
KENYA,DEMINDELC,2042,0.0666
KENYA,DEMINDELC,2043,0.0704
KENYA,DEMINDELC,2044,0.0744
KENYA,DEMINDELC,2045,0.0786
KENYA,DEMINDELC,2046,0.083
KENYA,DEMINDELC,2047,0.0878
KENYA,DEMINDELC,2048,0.0928
KENYA,DEMINDELC,2049,0.098
KENYA,DEMINDELC,2050,0.1036
KENYA,DEMRESELC,2019,0.0138
KENYA,DEMRESELC,2020,0.014
KENYA,DEMRESELC,2021,0.0147
KENYA,DEMRESELC,2022,0.0152
KENYA,DEMRESELC,2023,0.0156
KENYA,DEMRESELC,2024,0.0162
KENYA,DEMRESELC,2025,0.0167
KENYA,DEMRESELC,2026,0.0174
KENYA,DEMRESELC,2027,0.0184
KENYA,DEMRESELC,2028,0.0194
KENYA,DEMRESELC,2029,0.0206
KENYA,DEMRESELC,2030,0.0219
KENYA,DEMRESELC,2031,0.0232
KENYA,DEMRESELC,2032,0.0245
KENYA,DEMRESELC,2033,0.0259
KENYA,DEMRESELC,2034,0.0274
KENYA,DEMRESELC,2035,0.0289
KENYA,DEMRESELC,2036,0.0305
KENYA,DEMRESELC,2037,0.0322
KENYA,DEMRESELC,2038,0.0341
KENYA,DEMRESELC,2039,0.036
KENYA,DEMRESELC,2040,0.0381
KENYA,DEMRESELC,2041,0.0403
KENYA,DEMRESELC,2042,0.0426
KENYA,DEMRESELC,2043,0.045
KENYA,DEMRESELC,2044,0.0476
KENYA,DEMRESELC,2045,0.0503
KENYA,DEMRESELC,2046,0.0531
KENYA,DEMRESELC,2047,0.0561
KENYA,DEMRESELC,2048,0.0593
KENYA,DEMRESELC,2049,0.0627
KENYA,DEMRESELC,2050,0.0663
KENYA,IMPELC001,2022,72.3048
KENYA,IMPELC001,2023,71.8555
KENYA,IMPELC001,2024,90.0064
KENYA,IMPELC001,2025,80.3608
KENYA,IMPELC001,2026,66.2176
KENYA,IMPELC001,2027,95.9876
KENYA,IMPELC001,2028,90.2925
KENYA,IMPELC001,2029,69.8811
KENYA,IMPELC001,2030,92.5997
KENYA,IMPELC001,2031,78.6313
KENYA,IMPELC001,2032,112.7084
KENYA,IMPELC001,2033,145.5294
KENYA,IMPELC001,2034,160.1002
KENYA,IMPELC001,2035,180.0127
KENYA,IMPELC001,2036,180.0127
KENYA,IMPELC001,2037,180.0127
KENYA,IMPELC001,2038,180.0127
KENYA,IMPELC001,2039,180.0127
KENYA,IMPELC001,2040,105.1572
KENYA,IMPELC001,2041,147.6469
KENYA,IMPELC001,2042,135.0069
KENYA,IMPELC001,2043,180.0127
KENYA,IMPELC001,2044,180.0127
KENYA,IMPELC001,2045,180.0127
KENYA,IMPELC001,2046,180.0127
KENYA,IMPELC001,2047,180.0127
KENYA,IMPELC001,2048,180.0127
KENYA,IMPELC001,2049,180.0127
KENYA,IMPELC001,2050,180.0127
KENYA,IMPHFOMOM,2019,75.1263
KENYA,IMPHFOMOM,2020,83.8647
KENYA,IMPHFOMOM,2021,94.3189
KENYA,IMPHFOMOM,2022,40.628
KENYA,IMPHFOMOM,2023,41.4956
KENYA,IMPHFOMOM,2024,59.6664
KENYA,IMPHFOMOM,2025,38.4206
KENYA,IMPHFOMOM,2026,6.9345
KENYA,IMPHFOMOM,2027,17.6678
KENYA,IMPHFOMOM,2028,19.2202
KENYA,IMPHFOMOM,2029,15.3794
KENYA,IMPHFOMOM,2030,15.0601
KENYA,IMPHFONAI,2019,9.0913
KENYA,IMPHFONAI,2020,12.2477
KENYA,IMPHFONAI,2021,15.332
KENYA,IMPHFONAI,2022,1.7464
KENYA,IMPHFONAI,2023,2.2768
KENYA,IMPHFONAI,2024,8.2727
KENYA,IMPHFONAI,2025,6.3843
KENYA,IMPHFONAI,2027,0.8893
KENYA,IMPHFONAI,2028,1.349
KENYA,IMPHFONAI,2029,0.9681
KENYA,IMPHFONAI,2030,14.2601
KENYA,IMPHFONAI,2031,28.7746
KENYA,IMPHFONAI,2032,44.8063
KENYA,IMPHFONAI,2033,48.9308
KENYA,IMPHFONAI,2034,15.7339
KENYA,IMPHFONAI,2035,13.0558
KENYA,IMPNGS,2031,1.4255
KENYA,IMPNGS,2032,6.1613
KENYA,IMPNGS,2033,23.3329
KENYA,IMPNGS,2034,20.5832
KENYA,IMPNGS,2035,62.9362
KENYA,IMPNGS,2036,23.0007
KENYA,IMPNGS,2037,24.3832
KENYA,IMPNGS,2038,45.1131
KENYA,IMPNGS,2039,33.9135
KENYA,IMPNGS,2040,12.9004
KENYA,IMPNGS,2041,25.9308
KENYA,IMPNGS,2042,28.7301
KENYA,IMPNGS,2043,76.0209
KENYA,IMPNGS,2044,188.707
KENYA,IMPNGS,2045,388.2349
KENYA,IMPNGS,2046,511.6994
KENYA,IMPNGS,2047,706.9058
KENYA,IMPNGS,2048,960.0528
KENYA,IMPNGS,2049,1154.9161
KENYA,IMPNGS,2050,1195.9872
KENYA,IMPURN,2036,6.4469
KENYA,IMPURN,2037,10.5322
KENYA,IMPURN,2038,30.7011
KENYA,IMPURN,2039,34.3879
KENYA,IMPURN,2040,34.3879
KENYA,IMPURN,2041,60.3504
KENYA,IMPURN,2042,86.2125
KENYA,IMPURN,2043,92.1032
KENYA,IMPURN,2044,92.1032
KENYA,IMPURN,2045,92.1032
KENYA,IMPURN,2046,92.1032
KENYA,IMPURN,2047,92.1032
KENYA,IMPURN,2048,92.1032
KENYA,IMPURN,2049,92.1032
KENYA,IMPURN,2050,92.1032
KENYA,MINBIO,2019,0.1443
KENYA,MINBIO,2020,0.1443
KENYA,MINBIO,2021,0.1443
KENYA,MINBIO,2022,0.1443
KENYA,MINBIO,2023,0.2453
KENYA,MINBIO,2024,0.2453
KENYA,MINBIO,2025,0.2453
KENYA,MINBIO,2026,0.9667
KENYA,MINBIO,2027,0.9667
KENYA,MINBIO,2028,1.5438
KENYA,MINBIO,2029,1.5438
KENYA,MINBIO,2030,5.0209
KENYA,MINBIO,2031,6.4637
KENYA,MINBIO,2032,7.2428
KENYA,MINBIO,2033,7.4593
KENYA,MINBIO,2034,7.8921
KENYA,MINBIO,2035,7.9138
KENYA,MINBIO,2036,8.5558
KENYA,MINBIO,2037,9.1978
KENYA,MINBIO,2038,9.8399
KENYA,MINBIO,2039,10.4819
KENYA,MINBIO,2040,10.4819
KENYA,MINBIO,2041,11.766
KENYA,MINBIO,2042,12.4081
KENYA,MINBIO,2043,13.0501
KENYA,MINBIO,2044,13.6922
KENYA,MINBIO,2045,14.3342
KENYA,MINBIO,2046,14.9763
KENYA,MINBIO,2047,15.6183
KENYA,MINBIO,2048,16.2603
KENYA,MINBIO,2049,16.9024
KENYA,MINBIO,2050,17.5444
KENYA,MINGEO,2019,0.07
KENYA,MINGEO,2020,0.07
KENYA,MINGEO,2021,0.07
KENYA,MINGEO,2022,0.0774
KENYA,MINGEO,2023,0.0805
KENYA,MINGEO,2024,0.0779
KENYA,MINGEO,2025,0.0883
KENYA,MINGEO,2026,0.0986
KENYA,MINGEO,2027,0.1012
KENYA,MINGEO,2028,0.1083
KENYA,MINGEO,2029,0.1241
KENYA,MINGEO,2030,0.1277
KENYA,MINGEO,2031,0.1389
KENYA,MINGEO,2032,0.1416
KENYA,MINGEO,2033,0.1443
KENYA,MINGEO,2034,0.1593
KENYA,MINGEO,2035,0.1629
KENYA,MINGEO,2036,0.1788
KENYA,MINGEO,2037,0.1921
KENYA,MINGEO,2038,0.201
KENYA,MINGEO,2039,0.2233
KENYA,MINGEO,2040,0.2583
KENYA,MINGEO,2041,0.2539
KENYA,MINGEO,2042,0.261
KENYA,MINGEO,2043,0.2625
KENYA,MINGEO,2044,0.2704
KENYA,MINGEO,2045,0.2653
KENYA,MINGEO,2046,0.275
KENYA,MINGEO,2047,0.2783
KENYA,MINGEO,2048,0.2867
KENYA,MINGEO,2049,0.3
KENYA,MINGEO,2050,0.3093
KENYA,MINHYD,2019,0.012
KENYA,MINHYD,2020,0.012
KENYA,MINHYD,2021,0.012
KENYA,MINHYD,2022,0.012
KENYA,MINHYD,2023,0.0121
KENYA,MINHYD,2024,0.0122
KENYA,MINHYD,2025,0.0122
KENYA,MINHYD,2026,0.0125
KENYA,MINHYD,2027,0.0126
KENYA,MINHYD,2028,0.0127
KENYA,MINHYD,2029,0.0128
KENYA,MINHYD,2030,0.0133
KENYA,MINHYD,2031,0.0136
KENYA,MINHYD,2032,0.0139
KENYA,MINHYD,2033,0.0146
KENYA,MINHYD,2034,0.015
KENYA,MINHYD,2035,0.0154
KENYA,MINHYD,2036,0.0158
KENYA,MINHYD,2037,0.0158
KENYA,MINHYD,2038,0.0159
KENYA,MINHYD,2039,0.0159
KENYA,MINHYD,2040,0.016
KENYA,MINHYD,2041,0.016
KENYA,MINHYD,2042,0.0144
KENYA,MINHYD,2043,0.0153
KENYA,MINHYD,2044,0.0155
KENYA,MINHYD,2045,0.0163
KENYA,MINHYD,2046,0.0179
KENYA,MINHYD,2047,0.0203
KENYA,MINHYD,2048,0.0207
KENYA,MINHYD,2049,0.0208
KENYA,MINHYD,2050,0.021
KENYA,MINSOL,2019,0.0003
KENYA,MINSOL,2020,0.0003
KENYA,MINSOL,2021,0.0008
KENYA,MINSOL,2022,0.0011
KENYA,MINSOL,2023,0.0013
KENYA,MINSOL,2024,0.0016
KENYA,MINSOL,2025,0.0016
KENYA,MINSOL,2026,0.0018
KENYA,MINSOL,2027,0.0018
KENYA,MINSOL,2028,0.0018
KENYA,MINSOL,2029,0.0018
KENYA,MINSOL,2030,0.0018
KENYA,MINSOL,2031,0.0018
KENYA,MINSOL,2032,0.0018
KENYA,MINSOL,2033,0.0018
KENYA,MINSOL,2034,0.0021
KENYA,MINSOL,2035,0.0028
KENYA,MINSOL,2036,0.0028
KENYA,MINSOL,2037,0.0028
KENYA,MINSOL,2038,0.0025
KENYA,MINSOL,2039,0.0025
KENYA,MINSOL,2040,0.0025
KENYA,MINSOL,2041,0.002
KENYA,MINSOL,2042,0.0018
KENYA,MINSOL,2043,0.0015
KENYA,MINSOL,2044,0.0013
KENYA,MINSOL,2045,0.0013
KENYA,MINSOL,2046,0.001
KENYA,MINSOL,2047,0.001
KENYA,MINSOL,2048,0.001
KENYA,MINSOL,2049,0.001
KENYA,MINSOL,2050,0.001
KENYA,MINWND,2019,0.0055
KENYA,MINWND,2020,0.0055
KENYA,MINWND,2021,0.0069
KENYA,MINWND,2022,0.0069
KENYA,MINWND,2023,0.0069
KENYA,MINWND,2024,0.0069
KENYA,MINWND,2025,0.0071
KENYA,MINWND,2026,0.0077
KENYA,MINWND,2027,0.0077
KENYA,MINWND,2028,0.0089
KENYA,MINWND,2029,0.0089
KENYA,MINWND,2030,0.0089
KENYA,MINWND,2031,0.0093
KENYA,MINWND,2032,0.0097
KENYA,MINWND,2033,0.0098
KENYA,MINWND,2034,0.0098
KENYA,MINWND,2035,0.0096
KENYA,MINWND,2036,0.0096
KENYA,MINWND,2037,0.0096
KENYA,MINWND,2038,0.0061
KENYA,MINWND,2039,0.0044
KENYA,MINWND,2040,0.0044
KENYA,MINWND,2041,0.0029
KENYA,MINWND,2042,0.0029
KENYA,MINWND,2043,0.0033
KENYA,MINWND,2044,0.0033
KENYA,MINWND,2045,0.0032
KENYA,MINWND,2046,0.0026
KENYA,MINWND,2047,0.0026
KENYA,MINWND,2048,0.0026
KENYA,MINWND,2049,0.0026
KENYA,MINWND,2050,0.0026
KENYA,PWRBIO001,2019,0.0
KENYA,PWRBIO001,2020,0.0
KENYA,PWRBIO001,2021,0.0
KENYA,PWRBIO001,2022,0.0
KENYA,PWRBIO001,2023,0.0001
KENYA,PWRBIO001,2024,0.0001
KENYA,PWRBIO001,2025,0.0001
KENYA,PWRBIO001,2026,0.0002
KENYA,PWRBIO001,2027,0.0002
KENYA,PWRBIO001,2028,0.0003
KENYA,PWRBIO001,2029,0.0003
KENYA,PWRBIO001,2030,0.0011
KENYA,PWRBIO001,2031,0.0014
KENYA,PWRBIO001,2032,0.0016
KENYA,PWRBIO001,2033,0.0016
KENYA,PWRBIO001,2034,0.0017
KENYA,PWRBIO001,2035,0.0017
KENYA,PWRBIO001,2036,0.0019
KENYA,PWRBIO001,2037,0.002
KENYA,PWRBIO001,2038,0.0022
KENYA,PWRBIO001,2039,0.0023
KENYA,PWRBIO001,2040,0.0023
KENYA,PWRBIO001,2041,0.0026
KENYA,PWRBIO001,2042,0.0027
KENYA,PWRBIO001,2043,0.0029
KENYA,PWRBIO001,2044,0.003
KENYA,PWRBIO001,2045,0.0031
KENYA,PWRBIO001,2046,0.0033
KENYA,PWRBIO001,2047,0.0034
KENYA,PWRBIO001,2048,0.0036
KENYA,PWRBIO001,2049,0.0037
KENYA,PWRBIO001,2050,0.0038
KENYA,PWRDIST,2019,0.0453
KENYA,PWRDIST,2020,0.0461
KENYA,PWRDIST,2021,0.0481
KENYA,PWRDIST,2022,0.0497
KENYA,PWRDIST,2023,0.0511
KENYA,PWRDIST,2024,0.0527
KENYA,PWRDIST,2025,0.0546
KENYA,PWRDIST,2026,0.0562
KENYA,PWRDIST,2027,0.0593
KENYA,PWRDIST,2028,0.0626
KENYA,PWRDIST,2029,0.0664
KENYA,PWRDIST,2030,0.0701
KENYA,PWRDIST,2031,0.0736
KENYA,PWRDIST,2032,0.0777
