r,t,y,CapitalInvestment
KENYA,BACKSTOP,2049,9133.2313
KENYA,BACKSTOP,2050,41153.481
KENYA,BESS_TECH,2024,8.5919
KENYA,BESS_TECH,2025,103.2542
KENYA,BESS_TECH,2044,51.208
KENYA,BESS_TECH,2045,29.7366
KENYA,BESS_TECH,2046,112.6073
KENYA,BESS_TECH,2047,95.879
KENYA,BESS_TECH,2048,245.708
KENYA,BESS_TECH,2049,276.316
KENYA,PWRBIO001,2023,3.5
KENYA,PWRBIO001,2026,25.0
KENYA,PWRBIO001,2028,20.0
KENYA,PWRBIO001,2030,120.5
KENYA,PWRBIO001,2031,50.0
KENYA,PWRBIO001,2032,27.0
KENYA,PWRBIO001,2033,7.5
KENYA,PWRBIO001,2034,15.0
KENYA,PWRBIO001,2035,0.75
KENYA,PWRBIO001,2036,22.25
KENYA,PWRBIO001,2037,22.25
KENYA,PWRBIO001,2038,22.25
KENYA,PWRBIO001,2039,22.25
KENYA,PWRBIO001,2041,44.5
KENYA,PWRBIO001,2042,22.25
KENYA,PWRBIO001,2043,27.25
KENYA,PWRBIO001,2044,22.25
KENYA,PWRBIO001,2045,22.25
KENYA,PWRBIO001,2046,22.25
KENYA,PWRBIO001,2047,22.25
KENYA,PWRBIO001,2048,22.25
KENYA,PWRBIO001,2049,22.25
KENYA,PWRBIO001,2050,22.25
KENYA,PWRDIST,2019,734.3144
KENYA,PWRDIST,2020,82.3234
KENYA,PWRDIST,2021,212.0898
KENYA,PWRDIST,2022,161.5115
KENYA,PWRDIST,2023,141.7416
KENYA,PWRDIST,2024,172.9869
KENYA,PWRDIST,2025,191.7485
KENYA,PWRDIST,2026,168.7515
KENYA,PWRDIST,2027,318.4243
KENYA,PWRDIST,2028,348.2791
KENYA,PWRDIST,2029,393.2781
KENYA,PWRDIST,2030,384.609
KENYA,PWRDIST,2031,367.281
KENYA,PWRDIST,2032,424.6634
KENYA,PWRDIST,2033,412.6597
KENYA,PWRDIST,2034,451.1339
