r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,1,1,1,2024,-0.009
KENYA,BESS001,1,1,1,2025,-0.0532
KENYA,BESS001,1,1,1,2030,-0.0002
KENYA,BESS001,1,1,1,2034,-0.0231
KENYA,BESS001,1,1,1,2045,-0.002
KENYA,BESS001,1,1,1,2047,0.0217
KENYA,BESS001,1,1,2,2026,-0.0416
KENYA,BESS001,1,1,2,2027,-0.0431
KENYA,BESS001,1,1,2,2031,-0.0391
KENYA,BESS001,1,1,2,2033,-0.0599
KENYA,BESS001,1,1,2,2034,-0.0554
KENYA,BESS001,1,1,2,2045,-0.0675
KENYA,BESS001,1,1,2,2049,-0.232
KENYA,BESS001,1,1,3,2024,-0.0001
KENYA,BESS001,1,1,3,2028,-0.0251
KENYA,BESS001,1,1,3,2029,-0.0743
KENYA,BESS001,1,1,3,2031,-0.0525
KENYA,BESS001,1,1,3,2032,-0.0559
KENYA,BESS001,1,1,3,2044,-0.0482
KENYA,BESS001,1,1,3,2046,-0.1293
KENYA,BESS001,1,1,3,2048,-0.2432
KENYA,BESS001,1,1,3,2050,-0.2502
KENYA,BESS001,1,1,4,2024,0.006
KENYA,BESS001,1,1,4,2025,0.022
KENYA,BESS001,1,1,4,2026,0.0175
KENYA,BESS001,1,1,4,2027,0.0167
KENYA,BESS001,1,1,4,2028,0.004
KENYA,BESS001,1,1,4,2029,0.0342
KENYA,BESS001,1,1,4,2030,-0.0169
KENYA,BESS001,1,1,4,2031,0.0505
KENYA,BESS001,1,1,4,2032,0.0744
KENYA,BESS001,1,1,4,2033,0.0647
KENYA,BESS001,1,1,4,2034,0.0546
KENYA,BESS001,1,1,4,2044,0.0566
KENYA,BESS001,1,1,4,2045,0.0902
KENYA,BESS001,1,1,4,2046,0.0175
KENYA,BESS001,1,1,4,2047,-0.0899
KENYA,BESS001,1,1,4,2048,0.0705
KENYA,BESS001,1,1,4,2049,0.0509
KENYA,BESS001,1,1,4,2050,0.0566
KENYA,BESS001,1,1,5,2024,0.003
KENYA,BESS001,1,1,5,2025,0.0305
KENYA,BESS001,1,1,5,2026,0.0237
KENYA,BESS001,1,1,5,2027,0.0259
KENYA,BESS001,1,1,5,2028,0.0208
KENYA,BESS001,1,1,5,2029,0.0392
KENYA,BESS001,1,1,5,2030,0.0171
KENYA,BESS001,1,1,5,2031,0.04
KENYA,BESS001,1,1,5,2032,0.04
KENYA,BESS001,1,1,5,2033,0.04
KENYA,BESS001,1,1,5,2034,0.037
KENYA,BESS001,1,1,5,2044,0.0283
KENYA,BESS001,1,1,5,2045,0.0451
KENYA,BESS001,1,1,5,2046,0.1102
KENYA,BESS001,1,1,5,2047,-0.1068
