r,s,y,NewStorageCapacity
KENYA,PHS001,2034,0.0031
KENYA,PHS001,2036,0.0005
KENYA,PHS001,2037,0.0001
KENYA,PHS001,2039,0.0001
KENYA,PHS001,2041,0.0008
KENYA,PHS001,2045,0.0001
KENYA,PHS001,2049,0.0021
KENYA,PHS002,2034,0.0013
KENYA,PHS002,2035,0.0027
KENYA,PHS002,2036,0.0009
KENYA,PHS002,2037,0.0004
KENYA,PHS002,2049,0.0012
KENYA,BESS001,2024,0.0018
KENYA,BESS001,2025,0.002
KENYA,BESS001,2026,0.0018
KENYA,BESS001,2038,0.0002
KENYA,BESS001,2041,0.0041
KENYA,BESS001,2045,0.002
KENYA,BESS001,2046,0.0063
KENYA,BESS001,2047,0.014
KENYA,BESS001,2049,0.0116
KENYA,BESS001,2050,0.0009
