r,l,t,m,y,RateOfActivity
KENYA,TS04,BACKSTOP,1,2049,2.8803
KENYA,TS05,BACKSTOP,1,2049,2.8803
KENYA,TS10,BACKSTOP,1,2049,2.8803
KENYA,TS11,BACKSTOP,1,2049,2.8803
KENYA,TS16,BACKSTOP,1,2049,2.8803
KENYA,TS17,BACKSTOP,1,2049,2.8803
KENYA,TS22,BACKSTOP,1,2049,2.8803
KENYA,TS23,BACKSTOP,1,2049,2.8803
KENYA,TS26,BACKSTOP,1,2049,2.8803
KENYA,TS28,BACKSTOP,1,2049,2.8803
KENYA,TS29,BACKSTOP,1,2049,2.8803
KENYA,TS32,BACKSTOP,1,2049,2.8803
KENYA,TS34,BACKSTOP,1,2049,2.8803
KENYA,TS35,BACKSTOP,1,2049,2.8803
KENYA,TS36,BACKSTOP,1,2049,0.2678
KENYA,TS40,BACKSTOP,1,2049,2.8803
KENYA,TS41,BACKSTOP,1,2049,2.8803
KENYA,TS46,BACKSTOP,1,2049,2.8803
KENYA,TS47,BACKSTOP,1,2049,2.8803
KENYA,TS02,BACKSTOP,1,2050,12.9783
KENYA,TS03,BACKSTOP,1,2050,12.6695
KENYA,TS04,BACKSTOP,1,2050,12.9783
KENYA,TS05,BACKSTOP,1,2050,12.9783
KENYA,TS07,BACKSTOP,1,2050,11.9714
KENYA,TS08,BACKSTOP,1,2050,12.9783
KENYA,TS09,BACKSTOP,1,2050,12.9783
KENYA,TS10,BACKSTOP,1,2050,12.9783
KENYA,TS11,BACKSTOP,1,2050,12.9783
KENYA,TS12,BACKSTOP,1,2050,12.9783
KENYA,TS14,BACKSTOP,1,2050,12.9783
KENYA,TS15,BACKSTOP,1,2050,1.083
KENYA,TS16,BACKSTOP,1,2050,12.9783
KENYA,TS17,BACKSTOP,1,2050,12.9783
KENYA,TS19,BACKSTOP,1,2050,12.9783
KENYA,TS20,BACKSTOP,1,2050,12.9783
KENYA,TS21,BACKSTOP,1,2050,12.9783
KENYA,TS22,BACKSTOP,1,2050,12.9783
KENYA,TS23,BACKSTOP,1,2050,12.9783
KENYA,TS24,BACKSTOP,1,2050,12.9783
KENYA,TS26,BACKSTOP,1,2050,12.9783
KENYA,TS28,BACKSTOP,1,2050,12.9783
KENYA,TS29,BACKSTOP,1,2050,12.9783
KENYA,TS30,BACKSTOP,1,2050,12.9783
KENYA,TS31,BACKSTOP,1,2050,1.4025
KENYA,TS32,BACKSTOP,1,2050,12.9783
KENYA,TS33,BACKSTOP,1,2050,12.9783
KENYA,TS34,BACKSTOP,1,2050,12.9783
KENYA,TS35,BACKSTOP,1,2050,12.9783
KENYA,TS36,BACKSTOP,1,2050,12.9783
KENYA,TS38,BACKSTOP,1,2050,12.9783
KENYA,TS39,BACKSTOP,1,2050,1.7552
KENYA,TS40,BACKSTOP,1,2050,12.9783
KENYA,TS41,BACKSTOP,1,2050,12.9783
KENYA,TS42,BACKSTOP,1,2050,12.9783
KENYA,TS44,BACKSTOP,1,2050,12.9783
KENYA,TS45,BACKSTOP,1,2050,8.6428
KENYA,TS46,BACKSTOP,1,2050,12.9783
KENYA,TS47,BACKSTOP,1,2050,12.9783
KENYA,TS48,BACKSTOP,1,2050,12.9783
KENYA,TS01,BESS_TECH,2,2024,0.2048
KENYA,TS03,BESS_TECH,2,2024,0.003
KENYA,TS09,BESS_TECH,2,2024,0.0693
KENYA,TS11,BESS_TECH,2,2024,0.2048
KENYA,TS16,BESS_TECH,2,2024,0.2048
KENYA,TS20,BESS_TECH,2,2024,0.2048
KENYA,TS22,BESS_TECH,2,2024,0.2048
KENYA,TS24,BESS_TECH,2,2024,0.2048
KENYA,TS27,BESS_TECH,2,2024,0.1355
KENYA,TS28,BESS_TECH,2,2024,0.2048
KENYA,TS33,BESS_TECH,2,2024,0.2048
KENYA,TS34,BESS_TECH,2,2024,0.2048
KENYA,TS35,BESS_TECH,2,2024,0.0183
KENYA,TS40,BESS_TECH,2,2024,0.1671
KENYA,TS46,BESS_TECH,2,2024,0.2048
KENYA,TS04,BESS_TECH,1,2024,0.2048
KENYA,TS05,BESS_TECH,1,2024,0.2048
KENYA,TS10,BESS_TECH,1,2024,0.2048
KENYA,TS13,BESS_TECH,1,2024,0.0693
KENYA,TS17,BESS_TECH,1,2024,0.2048
KENYA,TS19,BESS_TECH,1,2024,0.2048
KENYA,TS21,BESS_TECH,1,2024,0.0693
KENYA,TS23,BESS_TECH,1,2024,0.2048
KENYA,TS26,BESS_TECH,1,2024,0.2048
KENYA,TS29,BESS_TECH,1,2024,0.2048
KENYA,TS30,BESS_TECH,1,2024,0.2048
KENYA,TS31,BESS_TECH,1,2024,0.1447
KENYA,TS32,BESS_TECH,1,2024,0.2048
KENYA,TS36,BESS_TECH,1,2024,0.2048
KENYA,TS41,BESS_TECH,1,2024,0.2048
KENYA,TS42,BESS_TECH,1,2024,0.0876
KENYA,TS45,BESS_TECH,1,2024,0.0693
KENYA,TS47,BESS_TECH,1,2024,0.2048
KENYA,TS01,BESS_TECH,2,2025,1.208
KENYA,TS08,BESS_TECH,2,2025,0.2653
KENYA,TS09,BESS_TECH,2,2025,0.2601
KENYA,TS11,BESS_TECH,2,2025,2.7221
KENYA,TS14,BESS_TECH,2,2025,0.1169
KENYA,TS16,BESS_TECH,2,2025,2.6007
KENYA,TS17,BESS_TECH,2,2025,0.4226
KENYA,TS20,BESS_TECH,2,2025,2.7221
KENYA,TS22,BESS_TECH,2,2025,2.7221
KENYA,TS23,BESS_TECH,2,2025,1.1039
KENYA,TS24,BESS_TECH,2,2025,2.7221
KENYA,TS25,BESS_TECH,2,2025,0.9459
KENYA,TS27,BESS_TECH,2,2025,0.6376
KENYA,TS28,BESS_TECH,2,2025,1.314
KENYA,TS32,BESS_TECH,2,2025,1.5668
KENYA,TS33,BESS_TECH,2,2025,2.7221
KENYA,TS34,BESS_TECH,2,2025,0.719
KENYA,TS35,BESS_TECH,2,2025,0.2699
KENYA,TS40,BESS_TECH,2,2025,1.1147
KENYA,TS04,BESS_TECH,1,2025,0.7478
KENYA,TS05,BESS_TECH,1,2025,2.0759
KENYA,TS10,BESS_TECH,1,2025,0.3186
KENYA,TS12,BESS_TECH,1,2025,2.1959
KENYA,TS13,BESS_TECH,1,2025,0.5996
KENYA,TS18,BESS_TECH,1,2025,2.7221
KENYA,TS19,BESS_TECH,1,2025,2.7221
KENYA,TS21,BESS_TECH,1,2025,2.2148
KENYA,TS26,BESS_TECH,1,2025,0.3813
KENYA,TS29,BESS_TECH,1,2025,2.7221
KENYA,TS30,BESS_TECH,1,2025,2.7221
KENYA,TS31,BESS_TECH,1,2025,2.7221
KENYA,TS36,BESS_TECH,1,2025,2.7221
KENYA,TS41,BESS_TECH,1,2025,2.2294
KENYA,TS02,BESS_TECH,2,2026,1.8925
KENYA,TS10,BESS_TECH,2,2026,2.6901
KENYA,TS11,BESS_TECH,2,2026,1.4729
KENYA,TS16,BESS_TECH,2,2026,2.7221
KENYA,TS20,BESS_TECH,2,2026,2.7221
KENYA,TS22,BESS_TECH,2,2026,0.4206
KENYA,TS24,BESS_TECH,2,2026,2.7221
KENYA,TS25,BESS_TECH,2,2026,0.8707
KENYA,TS27,BESS_TECH,2,2026,2.7221
KENYA,TS28,BESS_TECH,2,2026,0.074
KENYA,TS33,BESS_TECH,2,2026,0.3956
KENYA,TS34,BESS_TECH,2,2026,2.7221
KENYA,TS35,BESS_TECH,2,2026,1.4341
KENYA,TS38,BESS_TECH,2,2026,0.0277
KENYA,TS39,BESS_TECH,2,2026,0.458
KENYA,TS40,BESS_TECH,2,2026,0.3671
KENYA,TS46,BESS_TECH,2,2026,2.7221
KENYA,TS04,BESS_TECH,1,2026,0.5942
KENYA,TS05,BESS_TECH,1,2026,1.6091
KENYA,TS07,BESS_TECH,1,2026,0.9569
KENYA,TS12,BESS_TECH,1,2026,2.7221
KENYA,TS13,BESS_TECH,1,2026,0.2178
KENYA,TS17,BESS_TECH,1,2026,0.7763
KENYA,TS18,BESS_TECH,1,2026,2.7221
KENYA,TS19,BESS_TECH,1,2026,1.6514
KENYA,TS21,BESS_TECH,1,2026,0.4346
KENYA,TS23,BESS_TECH,1,2026,2.7221
KENYA,TS26,BESS_TECH,1,2026,2.7221
KENYA,TS29,BESS_TECH,1,2026,2.7221
KENYA,TS30,BESS_TECH,1,2026,2.7221
KENYA,TS32,BESS_TECH,1,2026,2.7221
KENYA,TS36,BESS_TECH,1,2026,2.7221
KENYA,TS41,BESS_TECH,1,2026,2.1292
KENYA,TS43,BESS_TECH,1,2026,0.3486
KENYA,TS47,BESS_TECH,1,2026,1.916
KENYA,TS48,BESS_TECH,1,2026,1.6896
KENYA,TS02,BESS_TECH,2,2027,1.9609
KENYA,TS10,BESS_TECH,2,2027,2.1927
KENYA,TS11,BESS_TECH,2,2027,2.7221
KENYA,TS16,BESS_TECH,2,2027,2.7221
KENYA,TS17,BESS_TECH,2,2027,1.7384
KENYA,TS20,BESS_TECH,2,2027,2.7221
KENYA,TS22,BESS_TECH,2,2027,2.7221
KENYA,TS24,BESS_TECH,2,2027,2.7221
KENYA,TS25,BESS_TECH,2,2027,1.155
KENYA,TS27,BESS_TECH,2,2027,2.7221
KENYA,TS34,BESS_TECH,2,2027,2.7221
KENYA,TS35,BESS_TECH,2,2027,1.4344
KENYA,TS39,BESS_TECH,2,2027,0.5649
KENYA,TS46,BESS_TECH,2,2027,2.7221
KENYA,TS04,BESS_TECH,1,2027,0.5668
KENYA,TS05,BESS_TECH,1,2027,1.765
KENYA,TS07,BESS_TECH,1,2027,0.0663
KENYA,TS09,BESS_TECH,1,2027,2.1203
KENYA,TS12,BESS_TECH,1,2027,0.4348
KENYA,TS14,BESS_TECH,1,2027,2.7221
KENYA,TS15,BESS_TECH,1,2027,0.8975
KENYA,TS18,BESS_TECH,1,2027,0.3417
KENYA,TS19,BESS_TECH,1,2027,2.7221
KENYA,TS21,BESS_TECH,1,2027,1.3035
KENYA,TS23,BESS_TECH,1,2027,1.5905
KENYA,TS26,BESS_TECH,1,2027,2.7221
KENYA,TS28,BESS_TECH,1,2027,0.3463
KENYA,TS29,BESS_TECH,1,2027,2.7221
