r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,1,1,1,2024,-0.2048
KENYA,BESS001,1,1,1,2025,-1.208
KENYA,BESS001,1,1,1,2030,-0.0052
KENYA,BESS001,1,1,1,2034,-0.5245
KENYA,BESS001,1,1,1,2045,-0.0451
KENYA,BESS001,1,1,1,2047,0.493
KENYA,BESS001,1,1,2,2026,-1.8925
KENYA,BESS001,1,1,2,2027,-1.9609
KENYA,BESS001,1,1,2,2031,-1.7777
KENYA,BESS001,1,1,2,2033,-2.7221
KENYA,BESS001,1,1,2,2034,-2.5174
KENYA,BESS001,1,1,2,2045,-3.0683
KENYA,BESS001,1,1,2,2049,-10.545
KENYA,BESS001,1,1,3,2024,-0.003
KENYA,BESS001,1,1,3,2028,-0.571
KENYA,BESS001,1,1,3,2029,-1.6888
KENYA,BESS001,1,1,3,2031,-1.1938
KENYA,BESS001,1,1,3,2032,-1.2705
KENYA,BESS001,1,1,3,2044,-1.0949
KENYA,BESS001,1,1,3,2046,-2.9397
KENYA,BESS001,1,1,3,2048,-5.528
KENYA,BESS001,1,1,3,2050,-5.6855
KENYA,BESS001,1,1,4,2024,0.2048
KENYA,BESS001,1,1,4,2025,0.7478
KENYA,BESS001,1,1,4,2026,0.5942
KENYA,BESS001,1,1,4,2027,0.5668
KENYA,BESS001,1,1,4,2028,0.1372
KENYA,BESS001,1,1,4,2029,1.1648
KENYA,BESS001,1,1,4,2030,-0.5738
KENYA,BESS001,1,1,4,2031,1.7176
KENYA,BESS001,1,1,4,2032,2.529
KENYA,BESS001,1,1,4,2033,2.202
KENYA,BESS001,1,1,4,2034,1.8556
KENYA,BESS001,1,1,4,2044,1.9248
KENYA,BESS001,1,1,4,2045,3.0683
KENYA,BESS001,1,1,4,2046,0.5965
KENYA,BESS001,1,1,4,2047,-3.0579
KENYA,BESS001,1,1,4,2048,2.3995
KENYA,BESS001,1,1,4,2049,1.7307
KENYA,BESS001,1,1,4,2050,1.9261
KENYA,BESS001,1,1,5,2024,0.2048
KENYA,BESS001,1,1,5,2025,2.0759
KENYA,BESS001,1,1,5,2026,1.6091
KENYA,BESS001,1,1,5,2027,1.765
KENYA,BESS001,1,1,5,2028,1.4139
KENYA,BESS001,1,1,5,2029,2.6634
KENYA,BESS001,1,1,5,2030,1.1629
KENYA,BESS001,1,1,5,2031,2.7221
KENYA,BESS001,1,1,5,2032,2.7221
KENYA,BESS001,1,1,5,2033,2.7221
KENYA,BESS001,1,1,5,2034,2.5174
KENYA,BESS001,1,1,5,2044,1.9248
KENYA,BESS001,1,1,5,2045,3.0683
KENYA,BESS001,1,1,5,2046,7.4984
KENYA,BESS001,1,1,5,2047,-7.262
KENYA,BESS001,1,1,5,2048,11.5449
KENYA,BESS001,1,1,5,2049,12.1268
KENYA,BESS001,1,1,5,2050,12.9571
KENYA,BESS001,1,1,6,2032,-2.7221
KENYA,BESS001,1,1,6,2033,-2.0985
KENYA,BESS001,1,1,6,2034,-0.647
KENYA,BESS001,1,1,6,2044,-1.7164
KENYA,BESS001,1,1,6,2045,-3.0683
KENYA,BESS001,1,1,6,2047,8.0638
KENYA,BESS001,1,2,1,2026,0.9569
KENYA,BESS001,1,2,1,2027,0.0663
KENYA,BESS001,1,2,1,2029,0.5755
KENYA,BESS001,1,2,1,2030,0.2861
KENYA,BESS001,1,2,1,2031,0.3153
KENYA,BESS001,1,2,1,2032,0.6087
KENYA,BESS001,1,2,1,2033,0.5986
KENYA,BESS001,1,2,1,2034,2.5174
KENYA,BESS001,1,2,1,2044,1.9248
