r,s,ls,ld,y,StorageLevelDayTypeFinish
KENYA,BESS001,1,1,2024,0.0001
KENYA,BESS001,1,1,2025,0.0008
KENYA,BESS001,1,1,2026,0.0009
KENYA,BESS001,1,1,2027,0.0007
KENYA,BESS001,1,1,2028,0.0009
KENYA,BESS001,1,1,2029,0.0011
KENYA,BESS001,1,1,2030,0.0009
KENYA,BESS001,1,1,2031,0.0014
KENYA,BESS001,1,1,2032,0.0009
KENYA,BESS001,1,1,2033,0.0009
KENYA,BESS001,1,1,2034,0.002
KENYA,BESS001,1,1,2038,0.0002
KENYA,BESS001,1,1,2044,0.0007
KENYA,BESS001,1,1,2045,0.0011
KENYA,BESS001,1,1,2046,0.0025
KENYA,BESS001,1,1,2047,0.0039
KENYA,BESS001,1,1,2048,0.0038
KENYA,BESS001,1,1,2049,0.0075
KENYA,BESS001,1,1,2050,0.0386
KENYA,BESS001,1,2,2024,0.0
KENYA,BESS001,1,2,2025,0.0007
KENYA,BESS001,1,2,2026,0.0009
KENYA,BESS001,1,2,2027,0.0001
KENYA,BESS001,1,2,2028,0.0009
KENYA,BESS001,1,2,2029,0.0009
KENYA,BESS001,1,2,2030,0.0009
KENYA,BESS001,1,2,2031,0.0007
KENYA,BESS001,1,2,2032,0.0001
KENYA,BESS001,1,2,2040,0.0002
KENYA,BESS001,1,2,2044,0.0007
KENYA,BESS001,1,2,2045,0.0043
KENYA,BESS001,1,2,2046,0.0025
KENYA,BESS001,1,2,2047,0.0039
KENYA,BESS001,1,2,2048,0.0025
KENYA,BESS001,1,2,2049,0.0075
KENYA,BESS001,1,2,2050,0.0097
KENYA,BESS001,2,1,2024,0.0
KENYA,BESS001,2,1,2025,0.0009
KENYA,BESS001,2,1,2026,0.0011
KENYA,BESS001,2,1,2027,0.0001
KENYA,BESS001,2,1,2028,0.0002
KENYA,BESS001,2,1,2029,0.0009
KENYA,BESS001,2,1,2030,0.0004
KENYA,BESS001,2,1,2032,0.0006
KENYA,BESS001,2,1,2033,0.0046
KENYA,BESS001,2,1,2038,0.0002
KENYA,BESS001,2,1,2041,0.0044
KENYA,BESS001,2,1,2042,0.0044
KENYA,BESS001,2,1,2044,0.0006
KENYA,BESS001,2,1,2045,0.0053
KENYA,BESS001,2,1,2046,0.0025
KENYA,BESS001,2,1,2047,0.0229
KENYA,BESS001,2,1,2048,0.0028
KENYA,BESS001,2,1,2049,0.0263
KENYA,BESS001,2,1,2050,0.0113
KENYA,BESS001,2,2,2031,0.0037
KENYA,BESS001,2,2,2033,0.0009
KENYA,BESS001,2,2,2044,0.0037
KENYA,BESS001,2,2,2045,0.0011
KENYA,BESS001,2,2,2046,0.0025
KENYA,BESS001,2,2,2047,0.0029
KENYA,BESS001,2,2,2048,0.0028
KENYA,BESS001,2,2,2050,0.0113
KENYA,BESS001,3,1,2024,0.0001
KENYA,BESS001,3,1,2025,0.0016
KENYA,BESS001,3,1,2026,0.0016
KENYA,BESS001,3,1,2027,0.0017
KENYA,BESS001,3,1,2028,0.0017
KENYA,BESS001,3,1,2029,0.0047
KENYA,BESS001,3,1,2030,0.0021
KENYA,BESS001,3,1,2031,0.0016
KENYA,BESS001,3,1,2032,0.0016
KENYA,BESS001,3,1,2033,0.0016
KENYA,BESS001,3,1,2034,0.0017
KENYA,BESS001,3,1,2044,0.0011
KENYA,BESS001,3,1,2045,0.0017
KENYA,BESS001,3,1,2046,0.0037
KENYA,BESS001,3,1,2047,0.0178
KENYA,BESS001,3,1,2048,0.0092
KENYA,BESS001,3,1,2049,0.0153
KENYA,BESS001,3,1,2050,0.0155
KENYA,BESS001,3,2,2024,0.0001
KENYA,BESS001,3,2,2025,0.0009
KENYA,BESS001,3,2,2026,0.0009
KENYA,BESS001,3,2,2027,0.0009
KENYA,BESS001,3,2,2028,0.0009
KENYA,BESS001,3,2,2029,0.0009
KENYA,BESS001,3,2,2030,0.0009
KENYA,BESS001,3,2,2031,0.0009
KENYA,BESS001,3,2,2032,0.0012
KENYA,BESS001,3,2,2033,0.0011
KENYA,BESS001,3,2,2034,0.0013
KENYA,BESS001,3,2,2042,0.0044
KENYA,BESS001,3,2,2044,0.0007
KENYA,BESS001,3,2,2045,0.001
KENYA,BESS001,3,2,2046,0.0037
KENYA,BESS001,3,2,2047,0.004
KENYA,BESS001,3,2,2048,0.0164
KENYA,BESS001,3,2,2049,0.0115
KENYA,BESS001,3,2,2050,0.0116
KENYA,BESS001,4,1,2024,0.0017
