r,t,e,y,AnnualTechnologyEmission
KENYA,PWRBIO001,CO2,2019,0.0052
KENYA,PWRBIO001,CO2,2020,0.0052
KENYA,PWRBIO001,CO2,2021,0.0052
KENYA,PWRBIO001,CO2,2022,0.0052
KENYA,PWRBIO001,CO2,2023,0.0089
KENYA,PWRBIO001,CO2,2024,0.0089
KENYA,PWRBIO001,CO2,2025,0.0089
KENYA,PWRBIO001,CO2,2026,0.0351
KENYA,PWRBIO001,CO2,2027,0.0351
KENYA,PWRBIO001,CO2,2028,0.056
KENYA,PWRBIO001,CO2,2029,0.056
KENYA,PWRBIO001,CO2,2030,0.1821
KENYA,PWRBIO001,CO2,2031,0.2345
KENYA,PWRBIO001,CO2,2032,0.2627
KENYA,PWRBIO001,CO2,2033,0.2706
KENYA,PWRBIO001,CO2,2034,0.2863
KENYA,PWRBIO001,CO2,2035,0.2871
KENYA,PWRBIO001,CO2,2036,0.3104
KENYA,PWRBIO001,CO2,2037,0.3337
KENYA,PWRBIO001,CO2,2038,0.357
KENYA,PWRBIO001,CO2,2039,0.3802
KENYA,PWRBIO001,CO2,2040,0.3802
KENYA,PWRBIO001,CO2,2041,0.4268
KENYA,PWRBIO001,CO2,2042,0.4501
KENYA,PWRBIO001,CO2,2043,0.4734
KENYA,PWRBIO001,CO2,2044,0.4967
KENYA,PWRBIO001,CO2,2045,0.52
KENYA,PWRBIO001,CO2,2046,0.5433
KENYA,PWRBIO001,CO2,2047,0.5666
KENYA,PWRBIO001,CO2,2048,0.5899
KENYA,PWRBIO001,CO2,2049,0.6132
KENYA,PWRBIO001,CO2,2050,0.6364
KENYA,PWRHFO002,CO2,2020,0.0015
KENYA,PWRHFO002,CO2,2021,0.004
KENYA,PWRHFO002,CO2,2030,0.0027
KENYA,PWRHFO002,CO2,2031,0.0113
KENYA,PWRHFO002,CO2,2032,0.0559
KENYA,PWRHFO002,CO2,2033,0.0559
KENYA,PWRHFO002,CO2,2034,0.043
KENYA,PWRHFO003,CO2,2019,0.0993
KENYA,PWRHFO003,CO2,2020,0.1126
KENYA,PWRHFO003,CO2,2021,0.1023
KENYA,PWRHFO003,CO2,2022,0.0482
KENYA,PWRHFO003,CO2,2023,0.0529
KENYA,PWRHFO003,CO2,2024,0.0794
KENYA,PWRHFO004,CO2,2019,0.349
KENYA,PWRHFO004,CO2,2020,0.4371
KENYA,PWRHFO004,CO2,2021,0.4568
KENYA,PWRHFO004,CO2,2022,0.1404
KENYA,PWRHFO004,CO2,2023,0.1448
KENYA,PWRHFO004,CO2,2024,0.1773
KENYA,PWRHFO004,CO2,2025,0.1567
KENYA,PWRHFO004,CO2,2026,0.0101
KENYA,PWRHFO004,CO2,2027,0.0734
KENYA,PWRHFO004,CO2,2028,0.0842
KENYA,PWRHFO004,CO2,2029,0.0556
KENYA,PWRHFO004,CO2,2030,0.1519
KENYA,PWRHFO005,CO2,2019,0.0947
KENYA,PWRHFO005,CO2,2020,0.1072
KENYA,PWRHFO005,CO2,2021,0.1139
KENYA,PWRHFO005,CO2,2022,0.0309
KENYA,PWRHFO005,CO2,2023,0.04
KENYA,PWRHFO005,CO2,2024,0.0774
KENYA,PWRHFO005,CO2,2025,0.0916
KENYA,PWRHFO006,CO2,2019,0.435
KENYA,PWRHFO006,CO2,2020,0.435
KENYA,PWRHFO006,CO2,2021,0.435
KENYA,PWRHFO006,CO2,2022,0.1354
KENYA,PWRHFO006,CO2,2023,0.135
KENYA,PWRHFO006,CO2,2024,0.2308
KENYA,PWRHFO006,CO2,2025,0.1279
KENYA,PWRHFO006,CO2,2026,0.0589
KENYA,PWRHFO006,CO2,2027,0.1047
KENYA,PWRHFO006,CO2,2028,0.1104
KENYA,PWRHFO006,CO2,2029,0.1
KENYA,PWRHFO007,CO2,2019,0.0299
KENYA,PWRHFO007,CO2,2020,0.0583
KENYA,PWRHFO007,CO2,2021,0.0582
KENYA,PWRHFO007,CO2,2022,0.0098
KENYA,PWRHFO007,CO2,2023,0.0075
KENYA,PWRHFO007,CO2,2024,0.0162
KENYA,PWRHFO007,CO2,2025,0.024
KENYA,PWRHFO007,CO2,2027,0.0075
KENYA,PWRHFO007,CO2,2028,0.0022
KENYA,PWRHFO007,CO2,2029,0.0009
KENYA,PWRHFO007,CO2,2030,0.0617
KENYA,PWRHFO007,CO2,2031,0.1039
KENYA,PWRHFO007,CO2,2032,0.1177
KENYA,PWRHFO007,CO2,2033,0.1323
KENYA,PWRHFO008,CO2,2019,0.0072
KENYA,PWRHFO008,CO2,2020,0.0131
KENYA,PWRHFO008,CO2,2021,0.0145
KENYA,PWRHFO008,CO2,2024,0.0048
KENYA,PWRHFO008,CO2,2025,0.0048
KENYA,PWRHFO008,CO2,2030,0.0084
KENYA,PWRHFO008,CO2,2031,0.0459
KENYA,PWRHFO008,CO2,2032,0.0986
KENYA,PWRHFO008,CO2,2033,0.1024
KENYA,PWRHFO009,CO2,2019,0.0607
KENYA,PWRHFO009,CO2,2020,0.0588
KENYA,PWRHFO009,CO2,2021,0.0747
KENYA,PWRHFO009,CO2,2022,0.0036
KENYA,PWRHFO009,CO2,2023,0.0104
KENYA,PWRHFO009,CO2,2024,0.047
KENYA,PWRHFO009,CO2,2025,0.0252
KENYA,PWRHFO009,CO2,2027,0.0002
KENYA,PWRHFO009,CO2,2028,0.0096
KENYA,PWRHFO009,CO2,2029,0.0075
KENYA,PWRHFO009,CO2,2030,0.051
KENYA,PWRHFO009,CO2,2031,0.085
KENYA,PWRHFO009,CO2,2032,0.1106
KENYA,PWRHFO009,CO2,2033,0.118
KENYA,PWRHFO009,CO2,2034,0.0854
KENYA,PWRHFO009,CO2,2035,0.1041
KENYA,PWRNGS002,CO2,2033,0.1419
KENYA,PWRNGS002,CO2,2034,0.1365
KENYA,PWRNGS002,CO2,2035,0.437
KENYA,PWRNGS002,CO2,2036,0.1058
KENYA,PWRNGS002,CO2,2037,0.1055
KENYA,PWRNGS002,CO2,2038,0.2353
KENYA,PWRNGS002,CO2,2039,0.1298
KENYA,PWRNGS002,CO2,2040,0.0538
KENYA,PWRNGS002,CO2,2041,0.0809
KENYA,PWRNGS002,CO2,2042,0.0874
KENYA,PWRNGS002,CO2,2043,0.3616
KENYA,PWRNGS002,CO2,2044,1.3422
KENYA,PWRNGS002,CO2,2045,1.2622
KENYA,PWRNGS002,CO2,2046,1.9942
KENYA,PWRNGS002,CO2,2047,2.0155
KENYA,PWRNGS002,CO2,2048,2.0155
KENYA,PWRNGS002,CO2,2049,2.0155
KENYA,PWRNGS002,CO2,2050,2.0155
KENYA,PWRNGS003,CO2,2043,0.0881
KENYA,PWRNGS003,CO2,2044,0.1514
KENYA,PWRNGS003,CO2,2045,2.0155
KENYA,PWRNGS003,CO2,2046,1.9669
KENYA,PWRNGS003,CO2,2047,2.0155
KENYA,PWRNGS003,CO2,2048,2.0155
KENYA,PWRNGS003,CO2,2049,2.0155
KENYA,PWRNGS003,CO2,2050,2.0155
KENYA,PWRNGS004,CO2,2031,0.009
KENYA,PWRNGS004,CO2,2032,0.0363
KENYA,PWRNGS004,CO2,2033,0.045
