r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,1,1,1,2024,-0.0001
KENYA,BESS001,1,1,1,2027,-0.0005
KENYA,BESS001,1,1,1,2028,-0.0096
KENYA,BESS001,1,1,1,2029,-0.0448
KENYA,BESS001,1,1,1,2031,-0.0884
KENYA,BESS001,1,1,1,2032,-0.0559
KENYA,BESS001,1,1,1,2034,-0.0123
KENYA,BESS001,1,1,1,2047,0.1991
KENYA,BESS001,1,1,1,2048,-0.009
KENYA,BESS001,1,1,1,2049,-0.1629
KENYA,BESS001,1,1,1,2050,-0.0056
KENYA,BESS001,1,1,2,2024,-0.0045
KENYA,BESS001,1,1,2,2027,-0.0072
KENYA,BESS001,1,1,2,2028,-0.0035
KENYA,BESS001,1,1,2,2032,-0.0599
KENYA,BESS001,1,1,2,2033,-0.0599
KENYA,BESS001,1,1,2,2034,-0.0185
KENYA,BESS001,1,1,2,2045,-0.0675
KENYA,BESS001,1,1,2,2048,-0.0079
KENYA,BESS001,1,1,2,2049,-0.0006
KENYA,BESS001,1,1,2,2050,-0.1059
KENYA,BESS001,1,1,3,2025,-0.0532
KENYA,BESS001,1,1,3,2028,-0.0094
KENYA,BESS001,1,1,3,2033,-0.0281
KENYA,BESS001,1,1,3,2034,-0.0418
KENYA,BESS001,1,1,3,2044,-0.0847
KENYA,BESS001,1,1,3,2045,-0.0648
KENYA,BESS001,1,1,3,2046,-0.1241
KENYA,BESS001,1,1,3,2048,-0.2218
KENYA,BESS001,1,1,3,2049,-0.0676
KENYA,BESS001,1,1,3,2050,-0.1152
KENYA,BESS001,1,1,4,2024,0.006
KENYA,BESS001,1,1,4,2025,0.022
KENYA,BESS001,1,1,4,2026,0.0175
KENYA,BESS001,1,1,4,2027,0.0167
KENYA,BESS001,1,1,4,2028,0.004
KENYA,BESS001,1,1,4,2029,0.0342
KENYA,BESS001,1,1,4,2030,-0.0169
KENYA,BESS001,1,1,4,2031,0.0505
KENYA,BESS001,1,1,4,2032,0.0744
KENYA,BESS001,1,1,4,2033,0.0647
KENYA,BESS001,1,1,4,2034,0.0546
KENYA,BESS001,1,1,4,2044,0.0566
KENYA,BESS001,1,1,4,2045,0.0902
KENYA,BESS001,1,1,4,2046,0.0636
KENYA,BESS001,1,1,4,2047,-0.0899
KENYA,BESS001,1,1,4,2048,0.1277
KENYA,BESS001,1,1,4,2049,0.0509
KENYA,BESS001,1,1,4,2050,0.0566
KENYA,BESS001,1,1,5,2024,0.003
KENYA,BESS001,1,1,5,2025,0.0305
KENYA,BESS001,1,1,5,2026,0.0237
KENYA,BESS001,1,1,5,2027,0.0259
KENYA,BESS001,1,1,5,2028,0.0208
KENYA,BESS001,1,1,5,2029,0.0392
KENYA,BESS001,1,1,5,2030,0.0171
KENYA,BESS001,1,1,5,2031,0.04
KENYA,BESS001,1,1,5,2032,0.04
KENYA,BESS001,1,1,5,2033,0.04
KENYA,BESS001,1,1,5,2034,0.037
KENYA,BESS001,1,1,5,2044,0.0283
KENYA,BESS001,1,1,5,2045,0.0451
KENYA,BESS001,1,1,5,2046,0.0642
KENYA,BESS001,1,1,5,2047,-0.1068
KENYA,BESS001,1,1,5,2048,0.1126
KENYA,BESS001,1,1,5,2049,0.1783
KENYA,BESS001,1,1,5,2050,0.1905
KENYA,BESS001,1,1,6,2024,-0.0045
KENYA,BESS001,1,1,6,2026,-0.0416
KENYA,BESS001,1,1,6,2027,-0.0354
KENYA,BESS001,1,1,6,2028,-0.0027
KENYA,BESS001,1,1,6,2029,-0.0295
KENYA,BESS001,1,1,6,2030,-0.0002
KENYA,BESS001,1,1,6,2031,-0.0032
KENYA,BESS001,1,1,6,2033,-0.0181
KENYA,BESS001,1,1,6,2034,-0.02
KENYA,BESS001,1,1,6,2044,-0.0012
KENYA,BESS001,1,1,6,2045,-0.0047
KENYA,BESS001,1,1,6,2046,-0.0052
KENYA,BESS001,1,1,6,2048,-0.0045
KENYA,BESS001,1,1,6,2049,-0.0009
KENYA,BESS001,1,1,6,2050,-0.0234
KENYA,BESS001,1,2,1,2025,0.0073
KENYA,BESS001,1,2,1,2026,0.0355
KENYA,BESS001,1,2,1,2027,0.0012
KENYA,BESS001,1,2,1,2028,0.0203
KENYA,BESS001,1,2,1,2029,0.017
KENYA,BESS001,1,2,1,2030,0.0245
KENYA,BESS001,1,2,1,2031,0.0285
KENYA,BESS001,1,2,1,2032,0.0063
KENYA,BESS001,1,2,1,2034,0.0443
KENYA,BESS001,1,2,1,2044,0.0339
KENYA,BESS001,1,2,1,2045,0.054
KENYA,BESS001,1,2,1,2046,0.132
KENYA,BESS001,1,2,1,2047,0.1999
KENYA,BESS001,1,2,1,2048,0.1096
KENYA,BESS001,1,2,1,2049,0.1569
KENYA,BESS001,1,2,1,2050,0.2445
KENYA,BESS001,1,2,2,2025,-0.0023
KENYA,BESS001,1,2,2,2026,0.0053
KENYA,BESS001,1,2,2,2028,0.024
KENYA,BESS001,1,2,2,2029,0.0036
KENYA,BESS001,1,2,2,2031,0.0116
KENYA,BESS001,1,2,2,2033,-0.0047
KENYA,BESS001,1,2,2,2034,0.0007
KENYA,BESS001,1,2,2,2044,-0.0167
KENYA,BESS001,1,2,2,2045,-0.0203
KENYA,BESS001,1,2,2,2046,-0.066
KENYA,BESS001,1,2,2,2047,-0.0852
KENYA,BESS001,1,2,2,2049,-0.0581
KENYA,BESS001,1,2,2,2050,-0.0255
KENYA,BESS001,1,2,3,2025,-0.0046
KENYA,BESS001,1,2,3,2027,0.0172
KENYA,BESS001,1,2,3,2030,0.0022
KENYA,BESS001,1,2,3,2033,-0.0023
KENYA,BESS001,1,2,3,2044,0.0002
KENYA,BESS001,1,2,3,2045,-0.0068
KENYA,BESS001,1,2,3,2046,-0.132
KENYA,BESS001,1,2,3,2047,-0.1388
KENYA,BESS001,1,2,3,2049,-0.0825
KENYA,BESS001,1,2,3,2050,-0.0161
KENYA,BESS001,1,2,4,2024,0.0024
KENYA,BESS001,1,2,4,2025,0.0037
KENYA,BESS001,1,2,4,2026,-0.0315
