r,s,y,NewStorageCapacity
KENYA,PHS001,2034,0.0011
KENYA,PHS001,2035,0.0027
KENYA,PHS001,2036,0.0008
KENYA,PHS001,2041,0.0008
KENYA,PHS001,2045,0.0001
KENYA,PHS001,2049,0.0012
KENYA,PHS002,2034,0.0033
KENYA,PHS002,2036,0.0006
KENYA,PHS002,2037,0.0005
KENYA,PHS002,2039,0.0001
KENYA,PHS002,2049,0.0021
KENYA,BESS001,2024,0.0005
KENYA,BESS001,2025,0.0033
KENYA,BESS001,2027,0.0015
KENYA,BESS001,2032,0.0002
KENYA,BESS001,2033,0.0001
KENYA,BESS001,2044,0.0044
KENYA,BESS001,2045,0.002
KENYA,BESS001,2046,0.0063
KENYA,BESS001,2047,0.014
KENYA,BESS001,2049,0.0114
KENYA,BESS001,2050,0.0009
