r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,1,1,1,2024,-0.003
KENYA,BESS001,1,1,1,2027,-0.0111
KENYA,BESS001,1,1,1,2028,-0.2179
KENYA,BESS001,1,1,1,2029,-1.019
KENYA,BESS001,1,1,1,2031,-2.0094
KENYA,BESS001,1,1,1,2032,-1.2705
KENYA,BESS001,1,1,1,2034,-0.2805
KENYA,BESS001,1,1,1,2047,4.5249
KENYA,BESS001,1,1,1,2048,-0.2053
KENYA,BESS001,1,1,1,2049,-3.702
KENYA,BESS001,1,1,1,2050,-0.1264
KENYA,BESS001,1,1,2,2024,-0.2048
KENYA,BESS001,1,1,2,2027,-0.329
KENYA,BESS001,1,1,2,2028,-0.1588
KENYA,BESS001,1,1,2,2032,-2.7221
KENYA,BESS001,1,1,2,2033,-2.7221
KENYA,BESS001,1,1,2,2034,-0.8415
KENYA,BESS001,1,1,2,2045,-3.0683
KENYA,BESS001,1,1,2,2048,-0.3578
KENYA,BESS001,1,1,2,2049,-0.0276
KENYA,BESS001,1,1,2,2050,-4.8149
KENYA,BESS001,1,1,3,2025,-1.208
KENYA,BESS001,1,1,3,2028,-0.2131
KENYA,BESS001,1,1,3,2033,-0.6387
KENYA,BESS001,1,1,3,2034,-0.9501
KENYA,BESS001,1,1,3,2044,-1.9248
KENYA,BESS001,1,1,3,2045,-1.4723
KENYA,BESS001,1,1,3,2046,-2.8212
KENYA,BESS001,1,1,3,2048,-5.041
KENYA,BESS001,1,1,3,2049,-1.5373
KENYA,BESS001,1,1,3,2050,-2.619
KENYA,BESS001,1,1,4,2024,0.2048
KENYA,BESS001,1,1,4,2025,0.7478
KENYA,BESS001,1,1,4,2026,0.5942
KENYA,BESS001,1,1,4,2027,0.5668
KENYA,BESS001,1,1,4,2028,0.1372
KENYA,BESS001,1,1,4,2029,1.1648
KENYA,BESS001,1,1,4,2030,-0.5738
KENYA,BESS001,1,1,4,2031,1.7176
KENYA,BESS001,1,1,4,2032,2.529
KENYA,BESS001,1,1,4,2033,2.202
KENYA,BESS001,1,1,4,2034,1.8556
KENYA,BESS001,1,1,4,2044,1.9248
KENYA,BESS001,1,1,4,2045,3.0683
KENYA,BESS001,1,1,4,2046,2.1619
KENYA,BESS001,1,1,4,2047,-3.0579
KENYA,BESS001,1,1,4,2048,4.3425
KENYA,BESS001,1,1,4,2049,1.7307
KENYA,BESS001,1,1,4,2050,1.9261
KENYA,BESS001,1,1,5,2024,0.2048
KENYA,BESS001,1,1,5,2025,2.0759
KENYA,BESS001,1,1,5,2026,1.6091
KENYA,BESS001,1,1,5,2027,1.765
KENYA,BESS001,1,1,5,2028,1.4139
KENYA,BESS001,1,1,5,2029,2.6634
KENYA,BESS001,1,1,5,2030,1.1629
KENYA,BESS001,1,1,5,2031,2.7221
KENYA,BESS001,1,1,5,2032,2.7221
KENYA,BESS001,1,1,5,2033,2.7221
KENYA,BESS001,1,1,5,2034,2.5174
KENYA,BESS001,1,1,5,2044,1.9248
KENYA,BESS001,1,1,5,2045,3.0683
KENYA,BESS001,1,1,5,2046,4.3676
KENYA,BESS001,1,1,5,2047,-7.262
KENYA,BESS001,1,1,5,2048,7.6587
KENYA,BESS001,1,1,5,2049,12.1268
KENYA,BESS001,1,1,5,2050,12.9571
KENYA,BESS001,1,1,6,2024,-0.2048
KENYA,BESS001,1,1,6,2026,-1.8925
KENYA,BESS001,1,1,6,2027,-1.6097
KENYA,BESS001,1,1,6,2028,-0.1213
KENYA,BESS001,1,1,6,2029,-1.3396
KENYA,BESS001,1,1,6,2030,-0.0104
KENYA,BESS001,1,1,6,2031,-0.1464
KENYA,BESS001,1,1,6,2033,-0.8212
KENYA,BESS001,1,1,6,2034,-0.9107
KENYA,BESS001,1,1,6,2044,-0.0566
KENYA,BESS001,1,1,6,2045,-0.214
KENYA,BESS001,1,1,6,2046,-0.237
KENYA,BESS001,1,1,6,2048,-0.2057
KENYA,BESS001,1,1,6,2049,-0.0387
KENYA,BESS001,1,1,6,2050,-1.0652
KENYA,BESS001,1,2,1,2025,0.413
KENYA,BESS001,1,2,1,2026,2.0164
KENYA,BESS001,1,2,1,2027,0.0663
KENYA,BESS001,1,2,1,2028,1.1546
KENYA,BESS001,1,2,1,2029,0.9684
KENYA,BESS001,1,2,1,2030,1.3899
KENYA,BESS001,1,2,1,2031,1.621
KENYA,BESS001,1,2,1,2032,0.3576
KENYA,BESS001,1,2,1,2034,2.5174
KENYA,BESS001,1,2,1,2044,1.9248
KENYA,BESS001,1,2,1,2045,3.0683
KENYA,BESS001,1,2,1,2046,7.4984
KENYA,BESS001,1,2,1,2047,11.357
KENYA,BESS001,1,2,1,2048,6.225
KENYA,BESS001,1,2,1,2049,8.9157
KENYA,BESS001,1,2,1,2050,13.8921
KENYA,BESS001,1,2,2,2025,-0.2653
KENYA,BESS001,1,2,2,2026,0.6031
KENYA,BESS001,1,2,2,2028,2.7221
KENYA,BESS001,1,2,2,2029,0.4065
KENYA,BESS001,1,2,2,2031,1.3232
KENYA,BESS001,1,2,2,2033,-0.5374
KENYA,BESS001,1,2,2,2034,0.074
KENYA,BESS001,1,2,2,2044,-1.894
KENYA,BESS001,1,2,2,2045,-2.3084
KENYA,BESS001,1,2,2,2046,-7.4984
KENYA,BESS001,1,2,2,2047,-9.6791
KENYA,BESS001,1,2,2,2049,-6.6023
KENYA,BESS001,1,2,2,2050,-2.8944
KENYA,BESS001,1,2,3,2025,-0.2601
KENYA,BESS001,1,2,3,2027,0.9767
KENYA,BESS001,1,2,3,2030,0.1261
KENYA,BESS001,1,2,3,2033,-0.1329
KENYA,BESS001,1,2,3,2044,0.0129
KENYA,BESS001,1,2,3,2045,-0.3875
KENYA,BESS001,1,2,3,2046,-7.4984
KENYA,BESS001,1,2,3,2047,-7.8881
KENYA,BESS001,1,2,3,2049,-4.6888
KENYA,BESS001,1,2,3,2050,-0.9147
KENYA,BESS001,1,2,4,2024,0.2048
KENYA,BESS001,1,2,4,2025,0.3186
KENYA,BESS001,1,2,4,2026,-2.6901
KENYA,BESS001,1,2,4,2027,-2.1927
KENYA,BESS001,1,2,4,2028,-2.7221
KENYA,BESS001,1,2,4,2029,-2.3879
KENYA,BESS001,1,2,4,2030,-2.7221
KENYA,BESS001,1,2,4,2031,-2.0133
KENYA,BESS001,1,2,4,2032,-1.0232
KENYA,BESS001,1,2,4,2033,-0.2406
KENYA,BESS001,1,2,4,2034,-2.5174
KENYA,BESS001,1,2,4,2044,-1.9248
KENYA,BESS001,1,2,4,2045,-2.9905
KENYA,BESS001,1,2,4,2046,3.7492
KENYA,BESS001,1,2,4,2047,-2.1149
KENYA,BESS001,1,2,4,2048,-11.6475
KENYA,BESS001,1,2,4,2049,-17.5879
KENYA,BESS001,1,2,4,2050,-18.459
KENYA,BESS001,1,2,5,2024,-0.2048
KENYA,BESS001,1,2,5,2025,-2.7221
KENYA,BESS001,1,2,5,2026,-1.4729
KENYA,BESS001,1,2,5,2027,-2.7221
KENYA,BESS001,1,2,5,2028,-1.9933
KENYA,BESS001,1,2,5,2029,-0.9498
KENYA,BESS001,1,2,5,2030,-2.6712
KENYA,BESS001,1,2,5,2031,-2.7221
KENYA,BESS001,1,2,5,2032,0.2468
KENYA,BESS001,1,2,5,2033,-0.1012
KENYA,BESS001,1,2,5,2034,-2.5174
KENYA,BESS001,1,2,5,2044,-1.9248
KENYA,BESS001,1,2,5,2045,-3.0683
KENYA,BESS001,1,2,5,2046,-7.4984
KENYA,BESS001,1,2,5,2047,-8.5066
KENYA,BESS001,1,2,5,2048,-7.7413
KENYA,BESS001,1,2,5,2049,1.4918
KENYA,BESS001,1,2,5,2050,1.7329
KENYA,BESS001,1,2,6,2024,-0.1385
KENYA,BESS001,1,2,6,2025,1.37
KENYA,BESS001,1,2,6,2027,2.7221
KENYA,BESS001,1,2,6,2029,1.5299
KENYA,BESS001,1,2,6,2030,2.4579
KENYA,BESS001,1,2,6,2032,0.5022
KENYA,BESS001,1,2,6,2033,1.1972
KENYA,BESS001,1,2,6,2044,1.9248
KENYA,BESS001,1,2,6,2045,3.0683
KENYA,BESS001,1,2,6,2046,7.4984
KENYA,BESS001,1,2,6,2047,11.357
KENYA,BESS001,1,2,6,2048,8.545
KENYA,BESS001,1,2,6,2049,20.9348
