r,t,l,y,RateOfTotalActivity
KENYA,BACKSTOP,TS03,2050,12.9783
KENYA,BACKSTOP,TS04,2049,2.8803
KENYA,BACKSTOP,TS04,2050,12.9783
KENYA,BACKSTOP,TS05,2049,2.8803
KENYA,BACKSTOP,TS05,2050,12.9783
KENYA,BACKSTOP,TS07,2050,12.9783
KENYA,BACKSTOP,TS08,2050,12.9783
KENYA,BACKSTOP,TS09,2050,12.9783
KENYA,BACKSTOP,TS10,2049,2.8803
KENYA,BACKSTOP,TS10,2050,12.9783
KENYA,BACKSTOP,TS11,2049,2.8803
KENYA,BACKSTOP,TS11,2050,12.9783
KENYA,BACKSTOP,TS13,2050,12.9783
KENYA,BACKSTOP,TS14,2050,12.2566
KENYA,BACKSTOP,TS15,2050,7.033
KENYA,BACKSTOP,TS16,2049,2.8803
KENYA,BACKSTOP,TS16,2050,12.9783
KENYA,BACKSTOP,TS17,2049,2.8803
KENYA,BACKSTOP,TS17,2050,12.9783
KENYA,BACKSTOP,TS19,2050,12.9783
KENYA,BACKSTOP,TS22,2049,2.8803
KENYA,BACKSTOP,TS22,2050,12.9783
KENYA,BACKSTOP,TS23,2049,2.8803
KENYA,BACKSTOP,TS23,2050,12.9783
KENYA,BACKSTOP,TS26,2049,2.8803
KENYA,BACKSTOP,TS26,2050,12.9783
KENYA,BACKSTOP,TS27,2050,4.986
KENYA,BACKSTOP,TS28,2049,2.8803
KENYA,BACKSTOP,TS28,2050,12.9783
KENYA,BACKSTOP,TS29,2049,2.8803
KENYA,BACKSTOP,TS29,2050,12.9783
KENYA,BACKSTOP,TS31,2050,11.2294
KENYA,BACKSTOP,TS32,2049,2.8803
KENYA,BACKSTOP,TS32,2050,12.9783
KENYA,BACKSTOP,TS33,2050,12.9783
KENYA,BACKSTOP,TS34,2049,2.8803
KENYA,BACKSTOP,TS34,2050,12.9783
KENYA,BACKSTOP,TS35,2049,2.8803
KENYA,BACKSTOP,TS35,2050,12.9783
KENYA,BACKSTOP,TS36,2049,0.2678
KENYA,BACKSTOP,TS38,2050,12.9783
KENYA,BACKSTOP,TS39,2050,12.9783
KENYA,BACKSTOP,TS40,2049,2.8803
KENYA,BACKSTOP,TS40,2050,12.9783
KENYA,BACKSTOP,TS41,2049,2.8803
KENYA,BACKSTOP,TS41,2050,12.9783
KENYA,BACKSTOP,TS42,2050,3.1622
KENYA,BACKSTOP,TS44,2050,8.9396
KENYA,BACKSTOP,TS45,2050,8.8062
KENYA,BACKSTOP,TS46,2049,2.8803
KENYA,BACKSTOP,TS46,2050,12.9783
KENYA,BACKSTOP,TS47,2049,2.8803
KENYA,BACKSTOP,TS47,2050,12.9783
KENYA,BESS_TECH,TS01,2024,0.003
KENYA,BESS_TECH,TS01,2027,0.0111
KENYA,BESS_TECH,TS01,2028,0.2179
KENYA,BESS_TECH,TS01,2029,1.019
KENYA,BESS_TECH,TS01,2031,2.0094
KENYA,BESS_TECH,TS01,2032,1.2705
KENYA,BESS_TECH,TS01,2034,0.2805
KENYA,BESS_TECH,TS01,2047,4.5249
KENYA,BESS_TECH,TS01,2048,0.2053
KENYA,BESS_TECH,TS01,2049,3.702
KENYA,BESS_TECH,TS01,2050,0.1264
KENYA,BESS_TECH,TS02,2024,0.2048
KENYA,BESS_TECH,TS02,2027,0.329
KENYA,BESS_TECH,TS02,2028,0.1588
KENYA,BESS_TECH,TS02,2032,2.7221
KENYA,BESS_TECH,TS02,2033,2.7221
KENYA,BESS_TECH,TS02,2034,0.8415
KENYA,BESS_TECH,TS02,2045,3.0683
KENYA,BESS_TECH,TS02,2048,0.3578
KENYA,BESS_TECH,TS02,2049,0.0276
KENYA,BESS_TECH,TS02,2050,4.8149
KENYA,BESS_TECH,TS03,2025,1.208
KENYA,BESS_TECH,TS03,2028,0.2131
KENYA,BESS_TECH,TS03,2033,0.6387
KENYA,BESS_TECH,TS03,2034,0.9501
KENYA,BESS_TECH,TS03,2044,1.9248
KENYA,BESS_TECH,TS03,2045,1.4723
KENYA,BESS_TECH,TS03,2046,2.8212
