r,t,e,y,AnnualTechnologyEmission
KENYA,PWRBIO001,CO2,2019,0.0052
KENYA,PWRBIO001,CO2,2020,0.0052
KENYA,PWRBIO001,CO2,2021,0.0052
KENYA,PWRBIO001,CO2,2022,0.0052
KENYA,PWRBIO001,CO2,2023,0.0089
KENYA,PWRBIO001,CO2,2024,0.0089
KENYA,PWRBIO001,CO2,2025,0.0089
KENYA,PWRBIO001,CO2,2026,0.0351
KENYA,PWRBIO001,CO2,2027,0.0351
KENYA,PWRBIO001,CO2,2028,0.056
KENYA,PWRBIO001,CO2,2029,0.056
KENYA,PWRBIO001,CO2,2030,0.1821
KENYA,PWRBIO001,CO2,2031,0.2345
KENYA,PWRBIO001,CO2,2032,0.2627
KENYA,PWRBIO001,CO2,2033,0.2706
KENYA,PWRBIO001,CO2,2034,0.2863
KENYA,PWRBIO001,CO2,2035,0.2871
KENYA,PWRBIO001,CO2,2036,0.2871
KENYA,PWRBIO001,CO2,2037,0.2871
KENYA,PWRBIO001,CO2,2038,0.2871
KENYA,PWRBIO001,CO2,2039,0.2871
KENYA,PWRBIO001,CO2,2040,0.2871
KENYA,PWRBIO001,CO2,2041,0.2871
KENYA,PWRBIO001,CO2,2042,0.2871
KENYA,PWRBIO001,CO2,2043,0.2818
KENYA,PWRBIO001,CO2,2044,0.2818
KENYA,PWRBIO001,CO2,2045,0.2818
KENYA,PWRBIO001,CO2,2046,0.2818
KENYA,PWRBIO001,CO2,2047,0.2818
KENYA,PWRBIO001,CO2,2048,0.2818
KENYA,PWRBIO001,CO2,2049,0.2818
KENYA,PWRBIO001,CO2,2050,0.2818
KENYA,PWRHFO002,CO2,2020,0.0015
KENYA,PWRHFO002,CO2,2021,0.004
KENYA,PWRHFO002,CO2,2031,0.0086
KENYA,PWRHFO002,CO2,2032,0.0091
KENYA,PWRHFO002,CO2,2033,0.0114
KENYA,PWRHFO002,CO2,2034,0.0491
KENYA,PWRHFO003,CO2,2019,0.0993
KENYA,PWRHFO003,CO2,2020,0.1126
KENYA,PWRHFO003,CO2,2021,0.1023
KENYA,PWRHFO003,CO2,2022,0.0482
KENYA,PWRHFO003,CO2,2023,0.0529
KENYA,PWRHFO003,CO2,2024,0.0794
KENYA,PWRHFO004,CO2,2019,0.349
KENYA,PWRHFO004,CO2,2020,0.4371
KENYA,PWRHFO004,CO2,2021,0.4568
KENYA,PWRHFO004,CO2,2022,0.1404
KENYA,PWRHFO004,CO2,2023,0.1448
KENYA,PWRHFO004,CO2,2024,0.1773
KENYA,PWRHFO004,CO2,2025,0.1567
KENYA,PWRHFO004,CO2,2026,0.0101
KENYA,PWRHFO004,CO2,2027,0.0223
KENYA,PWRHFO004,CO2,2028,0.0341
KENYA,PWRHFO004,CO2,2029,0.0227
KENYA,PWRHFO004,CO2,2030,0.1274
KENYA,PWRHFO005,CO2,2019,0.0947
KENYA,PWRHFO005,CO2,2020,0.1072
KENYA,PWRHFO005,CO2,2021,0.1139
KENYA,PWRHFO005,CO2,2022,0.0309
KENYA,PWRHFO005,CO2,2023,0.04
KENYA,PWRHFO005,CO2,2024,0.0774
KENYA,PWRHFO005,CO2,2025,0.0916
KENYA,PWRHFO006,CO2,2019,0.435
KENYA,PWRHFO006,CO2,2020,0.435
KENYA,PWRHFO006,CO2,2021,0.435
KENYA,PWRHFO006,CO2,2022,0.1354
KENYA,PWRHFO006,CO2,2023,0.135
KENYA,PWRHFO006,CO2,2024,0.2308
KENYA,PWRHFO006,CO2,2025,0.1279
KENYA,PWRHFO006,CO2,2026,0.0589
KENYA,PWRHFO006,CO2,2027,0.0921
KENYA,PWRHFO006,CO2,2028,0.0982
KENYA,PWRHFO006,CO2,2029,0.0809
KENYA,PWRHFO007,CO2,2019,0.0701
KENYA,PWRHFO007,CO2,2020,0.0757
KENYA,PWRHFO007,CO2,2021,0.0601
KENYA,PWRHFO007,CO2,2022,0.0043
KENYA,PWRHFO007,CO2,2023,0.0111
KENYA,PWRHFO007,CO2,2024,0.0373
KENYA,PWRHFO007,CO2,2025,0.0316
KENYA,PWRHFO007,CO2,2030,0.0187
KENYA,PWRHFO007,CO2,2031,0.0707
KENYA,PWRHFO007,CO2,2032,0.0711
KENYA,PWRHFO007,CO2,2033,0.086
KENYA,PWRHFO008,CO2,2019,0.0072
KENYA,PWRHFO008,CO2,2020,0.0131
KENYA,PWRHFO008,CO2,2021,0.0145
KENYA,PWRHFO008,CO2,2024,0.0048
KENYA,PWRHFO008,CO2,2025,0.0048
KENYA,PWRHFO008,CO2,2030,0.0008
KENYA,PWRHFO008,CO2,2031,0.0164
KENYA,PWRHFO008,CO2,2032,0.0216
KENYA,PWRHFO008,CO2,2033,0.0188
KENYA,PWRHFO009,CO2,2019,0.0205
KENYA,PWRHFO009,CO2,2020,0.0415
KENYA,PWRHFO009,CO2,2021,0.0728
KENYA,PWRHFO009,CO2,2022,0.0091
KENYA,PWRHFO009,CO2,2023,0.0068
KENYA,PWRHFO009,CO2,2024,0.0259
KENYA,PWRHFO009,CO2,2025,0.0176
KENYA,PWRHFO009,CO2,2027,0.0027
KENYA,PWRHFO009,CO2,2028,0.0044
KENYA,PWRHFO009,CO2,2029,0.0031
KENYA,PWRHFO009,CO2,2030,0.0103
KENYA,PWRHFO009,CO2,2031,0.0563
KENYA,PWRHFO009,CO2,2032,0.0652
KENYA,PWRHFO009,CO2,2033,0.069
KENYA,PWRHFO009,CO2,2034,0.0952
KENYA,PWRHFO009,CO2,2035,0.0864
KENYA,PWRNGS002,CO2,2036,0.0606
KENYA,PWRNGS002,CO2,2037,0.0902
KENYA,PWRNGS002,CO2,2038,0.0822
KENYA,PWRNGS002,CO2,2039,0.0849
KENYA,PWRNGS002,CO2,2040,0.0897
KENYA,PWRNGS002,CO2,2041,0.09
KENYA,PWRNGS002,CO2,2042,0.0904
KENYA,PWRNGS002,CO2,2043,0.0834
KENYA,PWRNGS002,CO2,2044,0.0819
KENYA,PWRNGS002,CO2,2045,0.0873
KENYA,PWRNGS002,CO2,2046,0.0886
KENYA,PWRNGS002,CO2,2047,0.0875
KENYA,PWRNGS002,CO2,2048,0.088
KENYA,PWRNGS002,CO2,2049,0.0974
KENYA,PWRNGS002,CO2,2050,0.0822
KENYA,PWRNGS003,CO2,2048,0.1053
KENYA,PWRNGS003,CO2,2049,0.1233
KENYA,PWRNGS003,CO2,2050,0.1257
KENYA,PWRNGS004,CO2,2031,0.0006
KENYA,PWRNGS004,CO2,2032,0.0022
KENYA,PWRNGS004,CO2,2033,0.0039
KENYA,PWRNGS004,CO2,2034,0.0222
KENYA,PWRNGS004,CO2,2035,0.1019
KENYA,PWRNGS004,CO2,2036,0.1347
KENYA,PWRNGS004,CO2,2037,0.1298
KENYA,PWRNGS004,CO2,2038,0.1201
KENYA,PWRNGS004,CO2,2039,0.1287
KENYA,PWRNGS004,CO2,2040,0.1315
KENYA,PWRNGS004,CO2,2041,0.1377
KENYA,PWRNGS004,CO2,2042,0.1731
KENYA,PWRNGS004,CO2,2043,0.1759
KENYA,PWRNGS004,CO2,2044,0.1829
KENYA,PWRNGS004,CO2,2045,0.1388
