r,s,y,NewStorageCapacity
KENYA,PHS001,2034,0.0008
KENYA,PHS001,2036,0.0007
KENYA,PHS001,2037,0.0004
KENYA,PHS001,2039,0.0006
KENYA,PHS002,2034,0.0016
KENYA,PHS002,2035,0.0016
KENYA,PHS002,2039,0.0001
KENYA,BESS001,2019,0.003
KENYA,BESS001,2021,0.0033
KENYA,BESS001,2022,0.0541
KENYA,BESS001,2024,0.0283
KENYA,BESS001,2025,0.8211
KENYA,BESS001,2027,0.117
KENYA,BESS001,2028,0.0134
KENYA,BESS001,2030,0.0235
KENYA,BESS001,2033,0.1787
KENYA,BESS001,2036,0.0458
KENYA,BESS001,2037,0.2246
KENYA,BESS001,2038,0.072
KENYA,BESS001,2039,0.1103
KENYA,BESS001,2040,0.9038
KENYA,BESS001,2041,0.383
KENYA,BESS001,2042,0.05
KENYA,BESS001,2043,0.6035
KENYA,BESS001,2044,0.6264
KENYA,BESS001,2045,0.5469
KENYA,BESS001,2046,0.9927
KENYA,BESS001,2047,1.0292
KENYA,BESS001,2048,0.2918
KENYA,BESS001,2049,0.777
KENYA,BESS001,2050,1.0597
