r,l,t,m,y,RateOfActivity
KENYA,TS04,BESS_TECH,1,2024,0.2048
KENYA,TS05,BESS_TECH,1,2024,0.2048
KENYA,TS10,BESS_TECH,1,2024,0.2048
KENYA,TS17,BESS_TECH,1,2024,0.2048
KENYA,TS18,BESS_TECH,1,2024,0.1385
KENYA,TS19,BESS_TECH,1,2024,0.2048
KENYA,TS21,BESS_TECH,1,2024,0.0693
KENYA,TS23,BESS_TECH,1,2024,0.2048
KENYA,TS26,BESS_TECH,1,2024,0.2048
KENYA,TS29,BESS_TECH,1,2024,0.2048
KENYA,TS30,BESS_TECH,1,2024,0.2048
KENYA,TS31,BESS_TECH,1,2024,0.1447
KENYA,TS32,BESS_TECH,1,2024,0.2048
KENYA,TS36,BESS_TECH,1,2024,0.2048
KENYA,TS41,BESS_TECH,1,2024,0.2048
KENYA,TS42,BESS_TECH,1,2024,0.0876
KENYA,TS43,BESS_TECH,1,2024,0.0693
KENYA,TS47,BESS_TECH,1,2024,0.2048
KENYA,TS01,BESS_TECH,2,2024,0.2048
KENYA,TS03,BESS_TECH,2,2024,0.003
KENYA,TS08,BESS_TECH,2,2024,0.1385
KENYA,TS11,BESS_TECH,2,2024,0.2048
KENYA,TS16,BESS_TECH,2,2024,0.2048
KENYA,TS20,BESS_TECH,2,2024,0.2048
KENYA,TS22,BESS_TECH,2,2024,0.2048
KENYA,TS24,BESS_TECH,2,2024,0.2048
KENYA,TS27,BESS_TECH,2,2024,0.1355
KENYA,TS28,BESS_TECH,2,2024,0.2048
KENYA,TS33,BESS_TECH,2,2024,0.2048
KENYA,TS34,BESS_TECH,2,2024,0.2048
KENYA,TS35,BESS_TECH,2,2024,0.0183
KENYA,TS40,BESS_TECH,2,2024,0.1671
KENYA,TS46,BESS_TECH,2,2024,0.2048
KENYA,TS04,BESS_TECH,1,2025,0.7478
KENYA,TS05,BESS_TECH,1,2025,2.0759
KENYA,TS07,BESS_TECH,1,2025,1.0979
KENYA,TS10,BESS_TECH,1,2025,0.3186
KENYA,TS13,BESS_TECH,1,2025,0.5996
KENYA,TS18,BESS_TECH,1,2025,2.7221
KENYA,TS19,BESS_TECH,1,2025,2.2148
KENYA,TS21,BESS_TECH,1,2025,2.7221
KENYA,TS26,BESS_TECH,1,2025,0.3813
KENYA,TS29,BESS_TECH,1,2025,2.7221
KENYA,TS30,BESS_TECH,1,2025,2.7221
KENYA,TS31,BESS_TECH,1,2025,2.7221
KENYA,TS36,BESS_TECH,1,2025,2.7221
KENYA,TS41,BESS_TECH,1,2025,2.2294
KENYA,TS02,BESS_TECH,2,2025,0.8564
KENYA,TS03,BESS_TECH,2,2025,0.7798
KENYA,TS08,BESS_TECH,2,2025,0.2653
KENYA,TS09,BESS_TECH,2,2025,0.2601
KENYA,TS11,BESS_TECH,2,2025,2.7221
KENYA,TS14,BESS_TECH,2,2025,0.1169
KENYA,TS16,BESS_TECH,2,2025,2.6007
KENYA,TS17,BESS_TECH,2,2025,0.4226
KENYA,TS20,BESS_TECH,2,2025,2.7221
KENYA,TS22,BESS_TECH,2,2025,2.7221
KENYA,TS23,BESS_TECH,2,2025,1.1039
KENYA,TS24,BESS_TECH,2,2025,2.7221
KENYA,TS27,BESS_TECH,2,2025,1.5836
KENYA,TS28,BESS_TECH,2,2025,1.314
KENYA,TS32,BESS_TECH,2,2025,1.5668
KENYA,TS33,BESS_TECH,2,2025,2.7221
KENYA,TS34,BESS_TECH,2,2025,0.719
KENYA,TS35,BESS_TECH,2,2025,0.2699
KENYA,TS40,BESS_TECH,2,2025,1.1147
KENYA,TS04,BESS_TECH,1,2026,0.5942
KENYA,TS05,BESS_TECH,1,2026,1.6091
KENYA,TS07,BESS_TECH,1,2026,0.9569
KENYA,TS12,BESS_TECH,1,2026,2.7221
KENYA,TS13,BESS_TECH,1,2026,1.5789
KENYA,TS17,BESS_TECH,1,2026,0.7763
KENYA,TS21,BESS_TECH,1,2026,2.086
KENYA,TS23,BESS_TECH,1,2026,2.7221
KENYA,TS26,BESS_TECH,1,2026,2.7221
KENYA,TS29,BESS_TECH,1,2026,2.7221
KENYA,TS30,BESS_TECH,1,2026,2.7221
KENYA,TS32,BESS_TECH,1,2026,2.7221
KENYA,TS36,BESS_TECH,1,2026,2.7221
KENYA,TS41,BESS_TECH,1,2026,2.1292
KENYA,TS45,BESS_TECH,1,2026,1.1934
KENYA,TS47,BESS_TECH,1,2026,1.916
KENYA,TS03,BESS_TECH,2,2026,0.9462
KENYA,TS10,BESS_TECH,2,2026,2.6901
KENYA,TS11,BESS_TECH,2,2026,1.4729
KENYA,TS16,BESS_TECH,2,2026,2.7221
KENYA,TS20,BESS_TECH,2,2026,2.7221
KENYA,TS22,BESS_TECH,2,2026,0.4206
KENYA,TS24,BESS_TECH,2,2026,2.7221
KENYA,TS25,BESS_TECH,2,2026,0.8707
KENYA,TS27,BESS_TECH,2,2026,2.7221
KENYA,TS28,BESS_TECH,2,2026,0.074
KENYA,TS31,BESS_TECH,2,2026,0.3956
KENYA,TS34,BESS_TECH,2,2026,2.7221
KENYA,TS35,BESS_TECH,2,2026,1.4341
KENYA,TS38,BESS_TECH,2,2026,0.9436
KENYA,TS40,BESS_TECH,2,2026,0.3671
KENYA,TS46,BESS_TECH,2,2026,2.7221
KENYA,TS04,BESS_TECH,1,2027,2.6366
KENYA,TS05,BESS_TECH,1,2027,2.7221
KENYA,TS07,BESS_TECH,1,2027,1.1003
KENYA,TS15,BESS_TECH,1,2027,1.6959
KENYA,TS19,BESS_TECH,1,2027,2.7221
KENYA,TS21,BESS_TECH,1,2027,0.2925
KENYA,TS23,BESS_TECH,1,2027,2.6573
KENYA,TS26,BESS_TECH,1,2027,2.7221
KENYA,TS29,BESS_TECH,1,2027,2.7221
KENYA,TS30,BESS_TECH,1,2027,2.7221
KENYA,TS32,BESS_TECH,1,2027,2.4718
KENYA,TS36,BESS_TECH,1,2027,2.7221
KENYA,TS39,BESS_TECH,1,2027,0.2602
KENYA,TS41,BESS_TECH,1,2027,2.7221
KENYA,TS43,BESS_TECH,1,2027,1.7277
KENYA,TS47,BESS_TECH,1,2027,0.3364
KENYA,TS01,BESS_TECH,2,2027,0.8845
KENYA,TS02,BESS_TECH,2,2027,0.0548
KENYA,TS03,BESS_TECH,2,2027,0.4389
KENYA,TS06,BESS_TECH,2,2027,2.7069
KENYA,TS10,BESS_TECH,2,2027,0.2655
KENYA,TS11,BESS_TECH,2,2027,2.7221
KENYA,TS16,BESS_TECH,2,2027,2.1772
KENYA,TS17,BESS_TECH,2,2027,0.6595
KENYA,TS20,BESS_TECH,2,2027,2.7221
KENYA,TS22,BESS_TECH,2,2027,1.7611
KENYA,TS24,BESS_TECH,2,2027,2.7221
KENYA,TS25,BESS_TECH,2,2027,0.0995
KENYA,TS27,BESS_TECH,2,2027,2.7221
KENYA,TS28,BESS_TECH,2,2027,1.2139
KENYA,TS33,BESS_TECH,2,2027,0.0978
KENYA,TS34,BESS_TECH,2,2027,2.7221
KENYA,TS35,BESS_TECH,2,2027,1.9447
KENYA,TS40,BESS_TECH,2,2027,1.7457
KENYA,TS46,BESS_TECH,2,2027,2.7221
KENYA,TS04,BESS_TECH,1,2028,2.207
KENYA,TS05,BESS_TECH,1,2028,2.7221
KENYA,TS12,BESS_TECH,1,2028,1.8509
KENYA,TS13,BESS_TECH,1,2028,2.1613
KENYA,TS19,BESS_TECH,1,2028,2.7221
KENYA,TS21,BESS_TECH,1,2028,0.6586
KENYA,TS23,BESS_TECH,1,2028,2.4291
KENYA,TS26,BESS_TECH,1,2028,2.7221
KENYA,TS29,BESS_TECH,1,2028,2.7221
KENYA,TS30,BESS_TECH,1,2028,2.7221
KENYA,TS32,BESS_TECH,1,2028,2.7221
KENYA,TS35,BESS_TECH,1,2028,0.3441
KENYA,TS36,BESS_TECH,1,2028,2.7221
KENYA,TS41,BESS_TECH,1,2028,2.5443
KENYA,TS43,BESS_TECH,1,2028,0.2223
KENYA,TS47,BESS_TECH,1,2028,1.9139
KENYA,TS48,BESS_TECH,1,2028,1.1052
KENYA,TS02,BESS_TECH,2,2028,2.1052
KENYA,TS06,BESS_TECH,2,2028,2.7221
KENYA,TS10,BESS_TECH,2,2028,1.1156
