r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,1,1,1,2024,-0.2048
KENYA,BESS001,1,1,1,2027,-0.8845
KENYA,BESS001,1,1,1,2033,-0.5845
KENYA,BESS001,1,1,1,2034,-2.5174
KENYA,BESS001,1,1,1,2035,-0.002
KENYA,BESS001,1,1,1,2036,-0.6251
KENYA,BESS001,1,1,1,2039,-1.3583
KENYA,BESS001,1,1,1,2040,-0.3767
KENYA,BESS001,1,1,1,2041,-2.3401
KENYA,BESS001,1,1,1,2042,-1.1286
KENYA,BESS001,1,1,1,2046,-1.8128
KENYA,BESS001,1,1,1,2047,-5.9663
KENYA,BESS001,1,1,1,2048,-2.6726
KENYA,BESS001,1,1,2,2025,-0.8564
KENYA,BESS001,1,1,2,2027,-0.0548
KENYA,BESS001,1,1,2,2028,-2.1052
KENYA,BESS001,1,1,2,2029,-2.7221
KENYA,BESS001,1,1,2,2030,-2.7221
KENYA,BESS001,1,1,2,2033,-1.4602
KENYA,BESS001,1,1,2,2034,-0.074
KENYA,BESS001,1,1,2,2037,-1.1169
KENYA,BESS001,1,1,2,2040,-3.7225
KENYA,BESS001,1,1,2,2043,-4.2166
KENYA,BESS001,1,1,2,2044,-2.6448
KENYA,BESS001,1,1,2,2045,-0.1508
KENYA,BESS001,1,1,2,2046,-0.2173
KENYA,BESS001,1,1,2,2047,-5.7747
KENYA,BESS001,1,1,2,2048,-14.202
KENYA,BESS001,1,1,2,2049,-17.0989
KENYA,BESS001,1,1,3,2024,-0.003
KENYA,BESS001,1,1,3,2025,-0.7798
KENYA,BESS001,1,1,3,2026,-0.9462
KENYA,BESS001,1,1,3,2027,-0.4389
KENYA,BESS001,1,1,3,2029,-0.4936
KENYA,BESS001,1,1,3,2030,-1.4011
KENYA,BESS001,1,1,3,2032,0.0013
KENYA,BESS001,1,1,3,2033,-0.6764
KENYA,BESS001,1,1,3,2035,-0.1377
KENYA,BESS001,1,1,3,2037,-0.3202
KENYA,BESS001,1,1,3,2038,-0.66
KENYA,BESS001,1,1,3,2043,-2.2328
KENYA,BESS001,1,1,3,2044,-1.0628
KENYA,BESS001,1,1,3,2045,-6.1678
KENYA,BESS001,1,1,3,2049,-3.0252
KENYA,BESS001,1,1,3,2050,-9.0498
KENYA,BESS001,1,1,4,2024,0.2048
KENYA,BESS001,1,1,4,2025,0.7478
KENYA,BESS001,1,1,4,2026,0.5942
KENYA,BESS001,1,1,4,2027,2.6366
KENYA,BESS001,1,1,4,2028,2.207
KENYA,BESS001,1,1,4,2029,1.5712
KENYA,BESS001,1,1,4,2030,2.7221
KENYA,BESS001,1,1,4,2031,-0.6268
KENYA,BESS001,1,1,4,2032,-0.0431
KENYA,BESS001,1,1,4,2033,1.7218
KENYA,BESS001,1,1,4,2034,2.5174
KENYA,BESS001,1,1,4,2035,0.1377
KENYA,BESS001,1,1,4,2036,0.8841
KENYA,BESS001,1,1,4,2037,1.1169
