r,s,ls,ld,y,StorageLevelDayTypeStart
KENYA,BESS001,1,1,2019,0.0015
KENYA,BESS001,1,1,2020,0.0015
KENYA,BESS001,1,1,2021,0.0032
KENYA,BESS001,1,1,2022,0.0302
KENYA,BESS001,1,1,2023,0.0302
KENYA,BESS001,1,1,2024,0.0443
KENYA,BESS001,1,1,2025,0.4549
KENYA,BESS001,1,1,2026,0.4549
KENYA,BESS001,1,1,2027,0.5134
KENYA,BESS001,1,1,2028,0.5201
KENYA,BESS001,1,1,2029,0.5186
KENYA,BESS001,1,1,2030,0.5303
KENYA,BESS001,1,1,2031,0.5287
KENYA,BESS001,1,1,2032,0.5016
KENYA,BESS001,1,1,2033,0.591
KENYA,BESS001,1,1,2034,0.5769
KENYA,BESS001,1,1,2035,0.1663
KENYA,BESS001,1,1,2036,0.1892
KENYA,BESS001,1,1,2037,0.243
KENYA,BESS001,1,1,2038,0.2723
KENYA,BESS001,1,1,2039,0.3275
KENYA,BESS001,1,1,2040,0.7677
KENYA,BESS001,1,1,2041,0.9592
KENYA,BESS001,1,1,2042,0.9842
KENYA,BESS001,1,1,2043,1.1966
KENYA,BESS001,1,1,2044,1.5098
KENYA,BESS001,1,1,2045,1.7832
KENYA,BESS001,1,1,2046,2.2567
KENYA,BESS001,1,1,2047,2.6589
KENYA,BESS001,1,1,2048,2.7688
KENYA,BESS001,1,1,2049,3.1021
KENYA,BESS001,1,1,2050,3.18
KENYA,BESS001,1,2,2019,0.0015
KENYA,BESS001,1,2,2020,0.0015
KENYA,BESS001,1,2,2021,0.0032
KENYA,BESS001,1,2,2022,0.0302
KENYA,BESS001,1,2,2023,0.0302
KENYA,BESS001,1,2,2024,0.0443
KENYA,BESS001,1,2,2025,0.4549
KENYA,BESS001,1,2,2026,0.4549
KENYA,BESS001,1,2,2027,0.5134
KENYA,BESS001,1,2,2028,0.5201
KENYA,BESS001,1,2,2029,0.5186
KENYA,BESS001,1,2,2030,0.5303
KENYA,BESS001,1,2,2031,0.5287
KENYA,BESS001,1,2,2032,0.5016
KENYA,BESS001,1,2,2033,0.591
KENYA,BESS001,1,2,2034,0.5769
KENYA,BESS001,1,2,2035,0.1663
KENYA,BESS001,1,2,2036,0.1892
KENYA,BESS001,1,2,2037,0.243
KENYA,BESS001,1,2,2038,0.2723
KENYA,BESS001,1,2,2039,0.3275
KENYA,BESS001,1,2,2040,0.7677
KENYA,BESS001,1,2,2041,0.9592
KENYA,BESS001,1,2,2042,0.9842
KENYA,BESS001,1,2,2043,1.1966
KENYA,BESS001,1,2,2044,1.5098
KENYA,BESS001,1,2,2045,1.7832
KENYA,BESS001,1,2,2046,2.2567
KENYA,BESS001,1,2,2047,2.6589
KENYA,BESS001,1,2,2048,2.7688
KENYA,BESS001,1,2,2049,3.1021
KENYA,BESS001,1,2,2050,3.18
KENYA,BESS001,2,1,2019,0.0015
KENYA,BESS001,2,1,2020,0.0015
KENYA,BESS001,2,1,2021,0.0032
KENYA,BESS001,2,1,2022,0.0302
KENYA,BESS001,2,1,2023,0.0302
KENYA,BESS001,2,1,2024,0.0557
KENYA,BESS001,2,1,2025,0.5304
KENYA,BESS001,2,1,2026,0.5368
KENYA,BESS001,2,1,2027,0.6503
KENYA,BESS001,2,1,2028,0.6413
KENYA,BESS001,2,1,2029,0.6559
KENYA,BESS001,2,1,2030,0.6623
KENYA,BESS001,2,1,2031,0.6166
KENYA,BESS001,2,1,2032,0.5672
KENYA,BESS001,2,1,2033,0.7385
KENYA,BESS001,2,1,2034,0.749
KENYA,BESS001,2,1,2035,0.1768
KENYA,BESS001,2,1,2036,0.2448
KENYA,BESS001,2,1,2037,0.3171
KENYA,BESS001,2,1,2038,0.3634
KENYA,BESS001,2,1,2039,0.4336
KENYA,BESS001,2,1,2040,0.9587
KENYA,BESS001,2,1,2041,1.1888
KENYA,BESS001,2,1,2042,1.2354
KENYA,BESS001,2,1,2043,1.4818
KENYA,BESS001,2,1,2044,1.8606
KENYA,BESS001,2,1,2045,2.1902
KENYA,BESS001,2,1,2046,2.8107
KENYA,BESS001,2,1,2047,3.2842
KENYA,BESS001,2,1,2048,3.3982
KENYA,BESS001,2,1,2049,3.8106
KENYA,BESS001,2,1,2050,3.8695
KENYA,BESS001,2,2,2019,0.0015
KENYA,BESS001,2,2,2020,0.0015
KENYA,BESS001,2,2,2021,0.0032
KENYA,BESS001,2,2,2022,0.0302
KENYA,BESS001,2,2,2023,0.0302
KENYA,BESS001,2,2,2024,0.0557
KENYA,BESS001,2,2,2025,0.5304
KENYA,BESS001,2,2,2026,0.5368
KENYA,BESS001,2,2,2027,0.6503
KENYA,BESS001,2,2,2028,0.6413
KENYA,BESS001,2,2,2029,0.6559
KENYA,BESS001,2,2,2030,0.6623
KENYA,BESS001,2,2,2031,0.6166
KENYA,BESS001,2,2,2032,0.5672
KENYA,BESS001,2,2,2033,0.7385
KENYA,BESS001,2,2,2034,0.749
KENYA,BESS001,2,2,2035,0.1768
KENYA,BESS001,2,2,2036,0.2448
KENYA,BESS001,2,2,2037,0.3171
KENYA,BESS001,2,2,2038,0.3634
KENYA,BESS001,2,2,2039,0.4336
KENYA,BESS001,2,2,2040,0.9587
KENYA,BESS001,2,2,2041,1.1888
KENYA,BESS001,2,2,2042,1.2354
KENYA,BESS001,2,2,2043,1.4818
KENYA,BESS001,2,2,2044,1.8606
KENYA,BESS001,2,2,2045,2.1902
KENYA,BESS001,2,2,2046,2.8107
KENYA,BESS001,2,2,2047,3.2842
KENYA,BESS001,2,2,2048,3.3982
KENYA,BESS001,2,2,2049,3.8106
KENYA,BESS001,2,2,2050,3.8695
KENYA,BESS001,3,1,2019,0.0015
KENYA,BESS001,3,1,2020,0.0015
KENYA,BESS001,3,1,2021,0.0032
KENYA,BESS001,3,1,2022,0.0302
KENYA,BESS001,3,1,2023,0.0302
KENYA,BESS001,3,1,2024,0.0639
KENYA,BESS001,3,1,2025,0.6476
KENYA,BESS001,3,1,2026,0.6273
KENYA,BESS001,3,1,2027,0.7473
KENYA,BESS001,3,1,2028,0.7556
KENYA,BESS001,3,1,2029,0.7911
KENYA,BESS001,3,1,2030,0.7708
KENYA,BESS001,3,1,2031,0.7681
KENYA,BESS001,3,1,2032,0.7226
KENYA,BESS001,3,1,2033,0.9144
KENYA,BESS001,3,1,2034,0.9117
KENYA,BESS001,3,1,2035,0.1871
KENYA,BESS001,3,1,2036,0.3019
KENYA,BESS001,3,1,2037,0.3893
KENYA,BESS001,3,1,2038,0.4412
KENYA,BESS001,3,1,2039,0.5287
KENYA,BESS001,3,1,2040,1.2153
KENYA,BESS001,3,1,2041,1.5016
KENYA,BESS001,3,1,2042,1.5514
KENYA,BESS001,3,1,2043,1.8778
KENYA,BESS001,3,1,2044,2.3614
KENYA,BESS001,3,1,2045,2.7945
KENYA,BESS001,3,1,2046,3.5563
KENYA,BESS001,3,1,2047,4.1924
KENYA,BESS001,3,1,2048,4.3198
KENYA,BESS001,3,1,2049,4.788
KENYA,BESS001,3,1,2050,4.881
KENYA,BESS001,3,2,2019,0.0015
KENYA,BESS001,3,2,2020,0.0015
KENYA,BESS001,3,2,2021,0.0032
KENYA,BESS001,3,2,2022,0.0302
KENYA,BESS001,3,2,2023,0.0302
KENYA,BESS001,3,2,2024,0.0639
KENYA,BESS001,3,2,2025,0.6476
KENYA,BESS001,3,2,2026,0.6273
KENYA,BESS001,3,2,2027,0.7473
KENYA,BESS001,3,2,2028,0.7556
KENYA,BESS001,3,2,2029,0.7911
KENYA,BESS001,3,2,2030,0.7708
KENYA,BESS001,3,2,2031,0.7681
KENYA,BESS001,3,2,2032,0.7226
KENYA,BESS001,3,2,2033,0.9144
KENYA,BESS001,3,2,2034,0.9117
KENYA,BESS001,3,2,2035,0.1871
KENYA,BESS001,3,2,2036,0.3019
KENYA,BESS001,3,2,2037,0.3893
KENYA,BESS001,3,2,2038,0.4412
KENYA,BESS001,3,2,2039,0.5287
KENYA,BESS001,3,2,2040,1.2153
KENYA,BESS001,3,2,2041,1.5016
KENYA,BESS001,3,2,2042,1.5514
KENYA,BESS001,3,2,2043,1.8778
KENYA,BESS001,3,2,2044,2.3614
KENYA,BESS001,3,2,2045,2.7945
KENYA,BESS001,3,2,2046,3.5563
KENYA,BESS001,3,2,2047,4.1924
KENYA,BESS001,3,2,2048,4.3198
KENYA,BESS001,3,2,2049,4.788
KENYA,BESS001,3,2,2050,4.881
KENYA,BESS001,4,1,2019,0.0015
KENYA,BESS001,4,1,2020,0.0015
KENYA,BESS001,4,1,2021,0.0032
KENYA,BESS001,4,1,2022,0.0302
KENYA,BESS001,4,1,2023,0.0302
KENYA,BESS001,4,1,2024,0.0885
KENYA,BESS001,4,1,2025,0.8917
KENYA,BESS001,4,1,2026,0.9085
KENYA,BESS001,4,1,2027,1.0256
KENYA,BESS001,4,1,2028,1.0396
KENYA,BESS001,4,1,2029,1.0352
KENYA,BESS001,4,1,2030,1.06
KENYA,BESS001,4,1,2031,1.055
KENYA,BESS001,4,1,2032,1.0016
KENYA,BESS001,4,1,2033,1.1801
KENYA,BESS001,4,1,2034,1.1269
KENYA,BESS001,4,1,2035,0.2071
KENYA,BESS001,4,1,2036,0.3775
KENYA,BESS001,4,1,2037,0.4847
KENYA,BESS001,4,1,2038,0.5435
KENYA,BESS001,4,1,2039,0.6538
KENYA,BESS001,4,1,2040,1.5336
KENYA,BESS001,4,1,2041,1.9153
KENYA,BESS001,4,1,2042,1.9651
KENYA,BESS001,4,1,2043,2.3887
KENYA,BESS001,4,1,2044,3.0143
KENYA,BESS001,4,1,2045,3.5628
KENYA,BESS001,4,1,2046,4.5094
KENYA,BESS001,4,1,2047,5.3143
KENYA,BESS001,4,1,2048,5.5341
KENYA,BESS001,4,1,2049,6.2018
KENYA,BESS001,4,1,2050,6.3567
KENYA,BESS001,4,2,2019,0.0015
KENYA,BESS001,4,2,2020,0.0015
KENYA,BESS001,4,2,2021,0.0032
KENYA,BESS001,4,2,2022,0.0302
KENYA,BESS001,4,2,2023,0.0302
KENYA,BESS001,4,2,2024,0.0885
KENYA,BESS001,4,2,2025,0.8917
KENYA,BESS001,4,2,2026,0.9085
KENYA,BESS001,4,2,2027,1.0256
KENYA,BESS001,4,2,2028,1.0396
KENYA,BESS001,4,2,2029,1.0352
KENYA,BESS001,4,2,2030,1.06
KENYA,BESS001,4,2,2031,1.055
KENYA,BESS001,4,2,2032,1.0016
KENYA,BESS001,4,2,2033,1.1801
KENYA,BESS001,4,2,2034,1.1269
KENYA,BESS001,4,2,2035,0.2071
KENYA,BESS001,4,2,2036,0.3775
KENYA,BESS001,4,2,2037,0.4847
KENYA,BESS001,4,2,2038,0.5435
KENYA,BESS001,4,2,2039,0.6538
KENYA,BESS001,4,2,2040,1.5336
KENYA,BESS001,4,2,2041,1.9153
KENYA,BESS001,4,2,2042,1.9651
KENYA,BESS001,4,2,2043,2.3887
KENYA,BESS001,4,2,2044,3.0143
KENYA,BESS001,4,2,2045,3.5628
KENYA,BESS001,4,2,2046,4.5094
KENYA,BESS001,4,2,2047,5.3143
KENYA,BESS001,4,2,2048,5.5341
KENYA,BESS001,4,2,2049,6.2018
KENYA,BESS001,4,2,2050,6.3567
KENYA,PHS001,1,1,2034,0.0004
KENYA,PHS001,1,1,2035,0.0004
KENYA,PHS001,1,1,2036,0.0007
KENYA,PHS001,1,1,2037,0.001
KENYA,PHS001,1,1,2038,0.001
KENYA,PHS001,1,1,2039,0.0012
KENYA,PHS001,1,1,2040,0.0012
KENYA,PHS001,1,1,2041,0.0012
KENYA,PHS001,1,1,2042,0.0012
KENYA,PHS001,1,1,2043,0.0012
KENYA,PHS001,1,1,2044,0.0012
KENYA,PHS001,1,1,2045,0.0012
KENYA,PHS001,1,1,2046,0.0012
KENYA,PHS001,1,1,2047,0.0012
KENYA,PHS001,1,1,2048,0.0012
KENYA,PHS001,1,1,2049,0.0012
KENYA,PHS001,1,1,2050,0.0012
KENYA,PHS001,1,2,2034,0.0004
KENYA,PHS001,1,2,2035,0.0004
KENYA,PHS001,1,2,2036,0.0007
KENYA,PHS001,1,2,2037,0.001
KENYA,PHS001,1,2,2038,0.001
KENYA,PHS001,1,2,2039,0.0012
KENYA,PHS001,1,2,2040,0.0012
KENYA,PHS001,1,2,2041,0.0012
KENYA,PHS001,1,2,2042,0.0012
KENYA,PHS001,1,2,2043,0.0012
KENYA,PHS001,1,2,2044,0.0012
KENYA,PHS001,1,2,2045,0.0012
KENYA,PHS001,1,2,2046,0.0012
KENYA,PHS001,1,2,2047,0.0012
KENYA,PHS001,1,2,2048,0.0012
KENYA,PHS001,1,2,2049,0.0012
KENYA,PHS001,1,2,2050,0.0012
KENYA,PHS001,2,1,2034,0.0004
KENYA,PHS001,2,1,2035,0.0004
KENYA,PHS001,2,1,2036,0.0007
KENYA,PHS001,2,1,2037,0.001
KENYA,PHS001,2,1,2038,0.001
KENYA,PHS001,2,1,2039,0.0012
KENYA,PHS001,2,1,2040,0.0012
KENYA,PHS001,2,1,2041,0.0012
KENYA,PHS001,2,1,2042,0.0012
KENYA,PHS001,2,1,2043,0.0012
KENYA,PHS001,2,1,2044,0.0012
KENYA,PHS001,2,1,2045,0.0012
KENYA,PHS001,2,1,2046,0.0012
KENYA,PHS001,2,1,2047,0.0012
KENYA,PHS001,2,1,2048,0.0012
KENYA,PHS001,2,1,2049,0.0012
KENYA,PHS001,2,1,2050,0.0012
KENYA,PHS001,2,2,2034,0.0004
KENYA,PHS001,2,2,2035,0.0004
KENYA,PHS001,2,2,2036,0.0007
KENYA,PHS001,2,2,2037,0.001
KENYA,PHS001,2,2,2038,0.001
KENYA,PHS001,2,2,2039,0.0012
KENYA,PHS001,2,2,2040,0.0012
KENYA,PHS001,2,2,2041,0.0012
KENYA,PHS001,2,2,2042,0.0012
KENYA,PHS001,2,2,2043,0.0012
KENYA,PHS001,2,2,2044,0.0012
KENYA,PHS001,2,2,2045,0.0012
KENYA,PHS001,2,2,2046,0.0012
KENYA,PHS001,2,2,2047,0.0012
KENYA,PHS001,2,2,2048,0.0012
KENYA,PHS001,2,2,2049,0.0012
KENYA,PHS001,2,2,2050,0.0012
KENYA,PHS001,3,1,2034,0.0004
KENYA,PHS001,3,1,2035,0.0004
KENYA,PHS001,3,1,2036,0.0007
KENYA,PHS001,3,1,2037,0.001
KENYA,PHS001,3,1,2038,0.001
KENYA,PHS001,3,1,2039,0.0012
KENYA,PHS001,3,1,2040,0.0012
KENYA,PHS001,3,1,2041,0.0012
KENYA,PHS001,3,1,2042,0.0012
KENYA,PHS001,3,1,2043,0.0012
KENYA,PHS001,3,1,2044,0.0012
KENYA,PHS001,3,1,2045,0.0012
KENYA,PHS001,3,1,2046,0.0012
KENYA,PHS001,3,1,2047,0.0012
KENYA,PHS001,3,1,2048,0.0012
KENYA,PHS001,3,1,2049,0.0012
