r,s,y,StorageLevelYearStart
KENYA,BESS001,2019,0.0015
KENYA,BESS001,2020,0.0015
KENYA,BESS001,2021,0.0032
KENYA,BESS001,2022,0.0302
KENYA,BESS001,2023,0.0302
KENYA,BESS001,2024,0.0443
KENYA,BESS001,2025,0.4549
KENYA,BESS001,2026,0.4549
KENYA,BESS001,2027,0.5134
KENYA,BESS001,2028,0.5201
KENYA,BESS001,2029,0.5186
KENYA,BESS001,2030,0.5303
KENYA,BESS001,2031,0.5287
KENYA,BESS001,2032,0.5016
KENYA,BESS001,2033,0.591
KENYA,BESS001,2034,0.5769
KENYA,BESS001,2035,0.1663
KENYA,BESS001,2036,0.1892
KENYA,BESS001,2037,0.243
KENYA,BESS001,2038,0.2723
KENYA,BESS001,2039,0.3275
KENYA,BESS001,2040,0.7677
KENYA,BESS001,2041,0.9592
KENYA,BESS001,2042,0.9842
KENYA,BESS001,2043,1.1966
KENYA,BESS001,2044,1.5098
KENYA,BESS001,2045,1.7832
KENYA,BESS001,2046,2.2567
KENYA,BESS001,2047,2.6589
KENYA,BESS001,2048,2.7688
KENYA,BESS001,2049,3.1021
KENYA,BESS001,2050,3.18
KENYA,PHS001,2034,0.0004
KENYA,PHS001,2035,0.0004
KENYA,PHS001,2036,0.0007
KENYA,PHS001,2037,0.001
KENYA,PHS001,2038,0.001
KENYA,PHS001,2039,0.0012
KENYA,PHS001,2040,0.0012
KENYA,PHS001,2041,0.0012
KENYA,PHS001,2042,0.0012
KENYA,PHS001,2043,0.0012
KENYA,PHS001,2044,0.0012
KENYA,PHS001,2045,0.0012
KENYA,PHS001,2046,0.0012
KENYA,PHS001,2047,0.0012
KENYA,PHS001,2048,0.0012
KENYA,PHS001,2049,0.0012
KENYA,PHS001,2050,0.0012
KENYA,PHS002,2034,0.0008
KENYA,PHS002,2035,0.0016
KENYA,PHS002,2036,0.0016
KENYA,PHS002,2037,0.0016
KENYA,PHS002,2038,0.0016
KENYA,PHS002,2039,0.0016
KENYA,PHS002,2040,0.0016
KENYA,PHS002,2041,0.0016
KENYA,PHS002,2042,0.0016
KENYA,PHS002,2043,0.0016
KENYA,PHS002,2044,0.0016
KENYA,PHS002,2045,0.0016
KENYA,PHS002,2046,0.0016
KENYA,PHS002,2047,0.0016
KENYA,PHS002,2048,0.0016
KENYA,PHS002,2049,0.0016
KENYA,PHS002,2050,0.0016
