r,s,y,StorageUpperLimit
KENYA,BESS001,2019,0.003
KENYA,BESS001,2020,0.003
KENYA,BESS001,2021,0.0063
KENYA,BESS001,2022,0.0604
KENYA,BESS001,2023,0.0604
KENYA,BESS001,2024,0.0886
KENYA,BESS001,2025,0.9098
KENYA,BESS001,2026,0.9098
KENYA,BESS001,2027,1.0268
KENYA,BESS001,2028,1.0402
KENYA,BESS001,2029,1.0372
KENYA,BESS001,2030,1.0606
KENYA,BESS001,2031,1.0573
KENYA,BESS001,2032,1.0032
KENYA,BESS001,2033,1.182
KENYA,BESS001,2034,1.1537
KENYA,BESS001,2035,0.3326
KENYA,BESS001,2036,0.3784
KENYA,BESS001,2037,0.486
KENYA,BESS001,2038,0.5447
KENYA,BESS001,2039,0.655
KENYA,BESS001,2040,1.5354
KENYA,BESS001,2041,1.9184
KENYA,BESS001,2042,1.9684
KENYA,BESS001,2043,2.3932
KENYA,BESS001,2044,3.0195
KENYA,BESS001,2045,3.5664
KENYA,BESS001,2046,4.5133
KENYA,BESS001,2047,5.3178
KENYA,BESS001,2048,5.5376
KENYA,BESS001,2049,6.2042
KENYA,BESS001,2050,6.3601
KENYA,PHS001,2034,0.0008
KENYA,PHS001,2035,0.0008
KENYA,PHS001,2036,0.0015
KENYA,PHS001,2037,0.0019
KENYA,PHS001,2038,0.0019
KENYA,PHS001,2039,0.0025
KENYA,PHS001,2040,0.0025
KENYA,PHS001,2041,0.0025
KENYA,PHS001,2042,0.0025
KENYA,PHS001,2043,0.0025
KENYA,PHS001,2044,0.0025
KENYA,PHS001,2045,0.0025
KENYA,PHS001,2046,0.0025
KENYA,PHS001,2047,0.0025
KENYA,PHS001,2048,0.0025
KENYA,PHS001,2049,0.0025
KENYA,PHS001,2050,0.0025
KENYA,PHS002,2034,0.0016
KENYA,PHS002,2035,0.0032
KENYA,PHS002,2036,0.0032
KENYA,PHS002,2037,0.0032
KENYA,PHS002,2038,0.0032
KENYA,PHS002,2039,0.0032
KENYA,PHS002,2040,0.0032
KENYA,PHS002,2041,0.0032
KENYA,PHS002,2042,0.0032
KENYA,PHS002,2043,0.0032
KENYA,PHS002,2044,0.0032
KENYA,PHS002,2045,0.0032
KENYA,PHS002,2046,0.0032
KENYA,PHS002,2047,0.0032
KENYA,PHS002,2048,0.0032
KENYA,PHS002,2049,0.0032
KENYA,PHS002,2050,0.0032
