r,t,y,AnnualFixedOperatingCost
KENYA,BESS_TECH,2024,0.2149
KENYA,BESS_TECH,2025,2.7881
KENYA,BESS_TECH,2026,2.7277
KENYA,BESS_TECH,2027,2.6672
KENYA,BESS_TECH,2028,2.6068
KENYA,BESS_TECH,2029,2.5464
KENYA,BESS_TECH,2030,2.4946
KENYA,BESS_TECH,2031,2.4342
KENYA,BESS_TECH,2032,2.3824
KENYA,BESS_TECH,2033,2.322
KENYA,BESS_TECH,2034,2.0994
KENYA,BESS_TECH,2036,0.1084
KENYA,BESS_TECH,2037,0.8514
KENYA,BESS_TECH,2038,0.8306
KENYA,BESS_TECH,2039,0.8133
KENYA,BESS_TECH,2040,1.3473
KENYA,BESS_TECH,2041,1.4468
KENYA,BESS_TECH,2042,1.4146
KENYA,BESS_TECH,2043,1.3825
KENYA,BESS_TECH,2044,1.3503
KENYA,BESS_TECH,2045,4.0666
KENYA,BESS_TECH,2046,3.8814
KENYA,BESS_TECH,2047,4.8844
KENYA,BESS_TECH,2048,4.7598
KENYA,BESS_TECH,2049,6.3334
KENYA,BESS_TECH,2050,9.8058
KENYA,PWRBIO001,2019,0.15
KENYA,PWRBIO001,2020,0.15
KENYA,PWRBIO001,2021,0.15
KENYA,PWRBIO001,2022,0.15
KENYA,PWRBIO001,2023,0.255
KENYA,PWRBIO001,2024,0.255
KENYA,PWRBIO001,2025,0.255
KENYA,PWRBIO001,2026,1.005
KENYA,PWRBIO001,2027,1.005
KENYA,PWRBIO001,2028,1.605
KENYA,PWRBIO001,2029,1.605
KENYA,PWRBIO001,2030,5.22
KENYA,PWRBIO001,2031,6.72
KENYA,PWRBIO001,2032,7.53
KENYA,PWRBIO001,2033,7.755
KENYA,PWRBIO001,2034,8.205
KENYA,PWRBIO001,2035,8.2275
KENYA,PWRBIO001,2036,8.895
KENYA,PWRBIO001,2037,8.895
KENYA,PWRBIO001,2038,10.23
KENYA,PWRBIO001,2039,10.23
KENYA,PWRBIO001,2040,10.23
