r,t,y,NewCapacity
KENYA,BESS_TECH,2024,0.0065
KENYA,BESS_TECH,2025,0.0798
KENYA,BESS_TECH,2036,0.0043
KENYA,BESS_TECH,2037,0.0303
KENYA,BESS_TECH,2040,0.024
KENYA,BESS_TECH,2041,0.0057
KENYA,BESS_TECH,2045,0.1341
KENYA,BESS_TECH,2047,0.0854
KENYA,BESS_TECH,2049,0.0895
KENYA,BESS_TECH,2050,0.2211
KENYA,PWRBIO001,2023,0.0014
KENYA,PWRBIO001,2026,0.01
KENYA,PWRBIO001,2028,0.008
KENYA,PWRBIO001,2030,0.0482
KENYA,PWRBIO001,2031,0.02
KENYA,PWRBIO001,2032,0.0108
KENYA,PWRBIO001,2033,0.003
KENYA,PWRBIO001,2034,0.006
KENYA,PWRBIO001,2035,0.0003
KENYA,PWRBIO001,2036,0.0089
KENYA,PWRBIO001,2038,0.0178
KENYA,PWRBIO001,2042,0.0356
KENYA,PWRBIO001,2043,0.0109
KENYA,PWRBIO001,2044,0.0089
KENYA,PWRBIO001,2045,0.0089
KENYA,PWRBIO001,2046,0.0089
KENYA,PWRBIO001,2047,0.0089
KENYA,PWRGEO010,2023,0.035
KENYA,PWRGEO011,2022,0.0833
KENYA,PWRGEO013,2029,0.1187
KENYA,PWRGEO013,2030,0.0213
KENYA,PWRGEO014,2029,0.14
KENYA,PWRGEO015,2034,0.14
KENYA,PWRGEO016,2036,0.14
KENYA,PWRGEO017,2028,0.025
KENYA,PWRGEO018,2039,0.06
KENYA,PWRGEO019,2037,0.1
KENYA,PWRGEO020,2040,0.1
KENYA,PWRGEO021,2040,0.0044
KENYA,PWRGEO021,2041,0.0956
KENYA,PWRGEO024,2031,0.1
KENYA,PWRGEO025,2041,0.1
KENYA,PWRGEO026,2040,0.1
KENYA,PWRGEO027,2025,0.035
KENYA,PWRGEO028,2028,0.035
KENYA,PWRGEO029,2038,0.1
KENYA,PWRGEO030,2039,0.1
KENYA,PWRGEO031,2040,0.1
KENYA,PWRGEO033,2025,0.02
KENYA,PWRGEO034,2041,0.035
KENYA,PWRGEO035,2031,0.035
KENYA,PWRGEO038,2026,0.02
KENYA,PWRGEO042,2039,0.05
KENYA,PWRGEO049,2025,0.021
KENYA,PWRGEO049,2050,0.021
KENYA,PWRGEO050,2025,0.021
KENYA,PWRGEO050,2050,0.021
KENYA,PWRGEO051,2025,0.021
KENYA,PWRGEO051,2050,0.021
KENYA,PWRGEO101,2026,0.0037
KENYA,PWRGEO101,2027,0.0103
KENYA,PWRGEO101,2028,0.0112
KENYA,PWRGEO101,2029,0.0122
KENYA,PWRGEO101,2030,0.0133
KENYA,PWRGEO101,2031,0.0144
KENYA,PWRGEO101,2032,0.0157
KENYA,PWRGEO101,2033,0.017
KENYA,PWRGEO101,2034,0.0185
KENYA,PWRGEO101,2035,0.0201
KENYA,PWRGEO101,2036,0.0219
KENYA,PWRGEO101,2037,0.0238
KENYA,PWRGEO101,2038,0.0258
KENYA,PWRGEO101,2039,0.0281
KENYA,PWRGEO101,2040,0.0305
KENYA,PWRGEO101,2041,0.0332
KENYA,PWRGEO101,2042,0.0361
KENYA,PWRGEO101,2043,0.0392
KENYA,PWRGEO101,2044,0.0426
KENYA,PWRGEO101,2045,0.0463
KENYA,PWRGEO101,2046,0.0353
KENYA,PWRGEO102,2026,0.0872
KENYA,PWRGEO102,2027,0.0828
KENYA,PWRGEO102,2028,0.02
KENYA,PWRGEO102,2030,0.0343
KENYA,PWRGEO102,2032,0.0557
KENYA,PWRGEO102,2033,0.03
KENYA,PWRGEO102,2034,0.03
KENYA,PWRGEO102,2035,0.04
KENYA,PWRGEO102,2036,0.04
KENYA,PWRGEO102,2037,0.0395
KENYA,PWRGEO102,2038,0.0505
KENYA,PWRGEO102,2039,0.0472
KENYA,PWRGEO102,2041,0.107
KENYA,PWRGEO102,2042,0.1058
KENYA,PWRGEO102,2043,0.08
KENYA,PWRGEO102,2044,0.09
KENYA,PWRGEO102,2045,0.1
KENYA,PWRGEO102,2046,0.11
KENYA,PWRGEO102,2047,0.12
KENYA,PWRGEO102,2048,0.13
KENYA,PWRGEO102,2049,0.15
KENYA,PWRGEO102,2050,0.16
KENYA,PWRHYD016,2023,0.0073
KENYA,PWRHYD016,2024,0.0025
KENYA,PWRHYD016,2025,0.0003
KENYA,PWRHYD016,2026,0.0248
KENYA,PWRHYD016,2027,0.011
KENYA,PWRHYD016,2028,0.0031
KENYA,PWRHYD016,2029,0.0074
KENYA,PWRHYD016,2030,0.0366
KENYA,PWRHYD016,2031,0.0281
KENYA,PWRHYD016,2032,0.0182
KENYA,PWRHYD016,2033,0.0322
KENYA,PWRHYD016,2034,0.0251
KENYA,PWRHYD016,2035,0.0317
KENYA,PWRHYD016,2036,0.0279
KENYA,PWRHYD016,2037,0.0036
KENYA,PWRHYD016,2038,0.0039
KENYA,PWRHYD016,2039,0.0042
KENYA,PWRHYD016,2040,0.0047
KENYA,PWRHYD016,2041,0.0051
KENYA,PWRHYD016,2042,0.0056
KENYA,PWRHYD016,2043,0.0061
KENYA,PWRHYD016,2044,0.0066
KENYA,PWRHYD016,2045,0.0073
KENYA,PWRHYD016,2046,0.008
KENYA,PWRHYD016,2047,0.0087
KENYA,PWRHYD016,2048,0.0095
KENYA,PWRHYD016,2049,0.0104
KENYA,PWRHYD016,2050,0.0114
KENYA,PWRNGS002,2034,0.007
KENYA,PWRNGS002,2035,0.1046
KENYA,PWRNGS002,2038,0.1017
KENYA,PWRNGS002,2043,0.0724
KENYA,PWRNGS002,2044,0.0135
KENYA,PWRNGS003,2041,0.0096
KENYA,PWRNGS003,2043,0.0355
KENYA,PWRNGS003,2045,0.0274
KENYA,PWRNGS004,2027,0.0903
KENYA,PWRNGS004,2028,0.0044
KENYA,PWRNGS004,2031,0.0311
KENYA,PWRNGS004,2032,0.0742
KENYA,PWRNGS004,2047,0.0712
KENYA,PWRNGS004,2050,0.0236
KENYA,PWRNGS005,2031,0.08
KENYA,PWRNGS006,2034,0.0359
KENYA,PWRNGS006,2043,0.0223
KENYA,PWRNGS006,2044,0.0219
KENYA,PWRNGS009,2030,0.1354
KENYA,PWRNGS009,2031,0.0046
KENYA,PWRNGS010,2031,0.0107
KENYA,PWRNGS010,2033,0.117
KENYA,PWRNGS011,2034,0.0198
KENYA,PWRNGS011,2041,0.0405
KENYA,PWRPHS001,2034,0.0964
KENYA,PWRPHS001,2035,0.1373
KENYA,PWRPHS001,2036,0.0479
KENYA,PWRPHS001,2041,0.0022
KENYA,PWRPHS002,2035,0.0218
KENYA,PWRPHS002,2037,0.0215
KENYA,PWRPHS002,2038,0.0589
KENYA,PWRPHS002,2041,0.0056
KENYA,PWRSOL002,2023,0.04
KENYA,PWRSOL003,2038,0.03
KENYA,PWRSOL004,2038,0.04
KENYA,PWRSOL005,2038,0.04
KENYA,PWRSOL006,2023,0.0015
KENYA,PWRSOL008,2022,0.04
KENYA,PWRSOL009,2026,0.04
KENYA,PWRSOL010,2021,0.04
KENYA,PWRSOL012,2021,0.04
KENYA,PWRSOL013,2038,0.0011
KENYA,PWRSOL013,2042,0.0089
KENYA,PWRSOL014,2042,0.0425
KENYA,PWRSOL015,2024,0.04
KENYA,PWRWND003,2025,0.011
KENYA,PWRWND005,2021,0.05
KENYA,PWRWND010,2021,0.05
KENYA,PWRWND012,2042,0.0497
KENYA,PWRWND012,2043,0.0003
KENYA,PWRWND015,2026,0.05
KENYA,PWRWND018,2028,0.1
KENYA,PWRWND018,2048,0.1
KENYA,PWRWND026,2032,0.04
KENYA,PWRWND101,2026,0.01
KENYA,PWRWND101,2027,0.0123
KENYA,PWRWND101,2028,0.0151
KENYA,PWRWND101,2029,0.0185
KENYA,PWRWND101,2030,0.0227
KENYA,PWRWND101,2031,0.0278
KENYA,PWRWND101,2032,0.0341
KENYA,PWRWND101,2033,0.0419
KENYA,PWRWND101,2034,0.0514
KENYA,PWRWND101,2035,0.063
KENYA,PWRWND101,2036,0.0773
KENYA,PWRWND101,2037,0.0949
KENYA,PWRWND101,2038,0.1164
KENYA,PWRWND101,2039,0.1429
KENYA,PWRWND101,2040,0.1753
KENYA,PWRWND101,2041,0.2151
KENYA,PWRWND101,2042,0.2639
KENYA,PWRWND101,2043,0.3239
KENYA,PWRWND101,2044,0.3974
KENYA,PWRWND101,2045,0.4876
KENYA,PWRWND101,2046,0.5983
KENYA,PWRWND101,2047,0.7318
KENYA,PWRWND101,2048,0.7671
KENYA,PWRWND101,2049,0.5244
KENYA,PWRWND101,2050,0.6791
KENYA,DEMCOMELC,2019,1.2415
KENYA,DEMINDELC,2019,4.2771
KENYA,DEMRESELC,2019,0.5693
KENYA,DEMRESELC,2020,0.01
KENYA,DEMRESELC,2021,0.0657
KENYA,DEMRESELC,2024,0.2068
KENYA,DEMRESELC,2030,1.4655
KENYA,DEMRESELC,2048,0.1318
KENYA,DEMRESELC,2049,0.2864
KENYA,IMPBIO,2019,9999.0
KENYA,IMPBIO,2020,9999.0
KENYA,IMPBIO,2021,9999.0
KENYA,IMPBIO,2022,9999.0
KENYA,IMPBIO,2023,9999.0
KENYA,IMPBIO,2024,9999.0
KENYA,IMPBIO,2025,9999.0
KENYA,IMPBIO,2026,9999.0
KENYA,IMPBIO,2027,9999.0
KENYA,IMPBIO,2028,9999.0
KENYA,IMPBIO,2029,9999.0
KENYA,IMPBIO,2030,9999.0
KENYA,IMPBIO,2031,9999.0
KENYA,IMPBIO,2032,9999.0
KENYA,IMPBIO,2033,9999.0
KENYA,IMPBIO,2034,9999.0
KENYA,IMPBIO,2035,9999.0
KENYA,IMPBIO,2036,9999.0
KENYA,IMPBIO,2037,9999.0
KENYA,IMPBIO,2038,9999.0
KENYA,IMPBIO,2039,9999.0
KENYA,IMPBIO,2040,9999.0
KENYA,IMPBIO,2041,9999.0
KENYA,IMPBIO,2042,9999.0
KENYA,IMPBIO,2043,9999.0
KENYA,IMPBIO,2044,9999.0
KENYA,IMPBIO,2045,9999.0
KENYA,IMPBIO,2046,9999.0
KENYA,IMPBIO,2047,9999.0
KENYA,IMPBIO,2048,9999.0
KENYA,IMPBIO,2049,9999.0
KENYA,IMPBIO,2050,9999.0
KENYA,IMPCOA,2019,9999.0
KENYA,IMPCOA,2020,9999.0
KENYA,IMPCOA,2021,9999.0
KENYA,IMPCOA,2022,9999.0
KENYA,IMPCOA,2023,9999.0
