r,s,y,NewStorageCapacity
KENYA,PHS001,2034,0.0008
KENYA,PHS001,2035,0.0011
KENYA,PHS001,2036,0.0011
KENYA,PHS001,2040,0.0
KENYA,PHS002,2035,0.0002
KENYA,PHS002,2037,0.0002
KENYA,PHS002,2038,0.0003
KENYA,PHS002,2040,0.0004
KENYA,BESS001,2020,0.1842
KENYA,BESS001,2022,0.1414
KENYA,BESS001,2024,0.3387
KENYA,BESS001,2025,0.3314
KENYA,BESS001,2028,0.0204
KENYA,BESS001,2029,0.293
KENYA,BESS001,2032,0.1284
KENYA,BESS001,2033,0.077
KENYA,BESS001,2037,0.0315
KENYA,BESS001,2038,0.0304
KENYA,BESS001,2039,0.1945
KENYA,BESS001,2040,0.4945
KENYA,BESS001,2041,0.2448
KENYA,BESS001,2045,1.4849
KENYA,BESS001,2046,0.0104
KENYA,BESS001,2047,0.8159
KENYA,BESS001,2049,1.2128
KENYA,BESS001,2050,2.6961
