r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,1,1,1,2025,-1.208
KENYA,BESS001,1,1,1,2028,-2.0127
KENYA,BESS001,1,1,1,2029,-1.3803
KENYA,BESS001,1,1,1,2030,-2.4642
KENYA,BESS001,1,1,1,2031,0.1404
KENYA,BESS001,1,1,1,2039,-0.5618
KENYA,BESS001,1,1,1,2042,-1.8074
KENYA,BESS001,1,1,1,2047,-2.6768
KENYA,BESS001,1,1,1,2048,-3.2805
KENYA,BESS001,1,1,2,2024,-0.006
KENYA,BESS001,1,1,2,2027,-0.8924
KENYA,BESS001,1,1,2,2029,-2.7221
KENYA,BESS001,1,1,2,2032,-2.7221
KENYA,BESS001,1,1,2,2033,-2.7221
KENYA,BESS001,1,1,2,2034,-2.5174
KENYA,BESS001,1,1,2,2038,-0.485
KENYA,BESS001,1,1,2,2039,-1.0914
KENYA,BESS001,1,1,2,2040,-1.8473
KENYA,BESS001,1,1,2,2041,-0.9136
KENYA,BESS001,1,1,2,2042,-0.5004
KENYA,BESS001,1,1,2,2043,-2.0278
KENYA,BESS001,1,1,2,2044,-2.0278
KENYA,BESS001,1,1,2,2045,-6.2558
KENYA,BESS001,1,1,2,2047,-7.8589
KENYA,BESS001,1,1,2,2048,-7.8589
KENYA,BESS001,1,1,2,2049,-9.8361
KENYA,BESS001,1,1,3,2024,-0.2048
KENYA,BESS001,1,1,3,2031,0.3971
KENYA,BESS001,1,1,3,2032,-1.4011
KENYA,BESS001,1,1,3,2033,-1.2154
KENYA,BESS001,1,1,3,2038,-0.6888
KENYA,BESS001,1,1,3,2040,-0.9508
KENYA,BESS001,1,1,3,2041,-1.4594
KENYA,BESS001,1,1,3,2043,-1.0437
KENYA,BESS001,1,1,3,2044,-0.0298
KENYA,BESS001,1,1,3,2046,-5.3407
KENYA,BESS001,1,1,3,2049,-4.044
KENYA,BESS001,1,1,3,2050,-11.6681
KENYA,BESS001,1,1,4,2024,0.2048
KENYA,BESS001,1,1,4,2025,0.7478
KENYA,BESS001,1,1,4,2026,0.6197
KENYA,BESS001,1,1,4,2027,1.4167
KENYA,BESS001,1,1,4,2028,1.6166
KENYA,BESS001,1,1,4,2029,2.6914
KENYA,BESS001,1,1,4,2030,2.2817
KENYA,BESS001,1,1,4,2031,-1.0414
KENYA,BESS001,1,1,4,2032,2.7221
KENYA,BESS001,1,1,4,2033,2.4476
KENYA,BESS001,1,1,4,2034,1.1038
KENYA,BESS001,1,1,4,2036,-0.1356
KENYA,BESS001,1,1,4,2037,-0.4945
KENYA,BESS001,1,1,4,2038,0.9903
KENYA,BESS001,1,1,4,2039,1.0914
KENYA,BESS001,1,1,4,2040,1.8473
KENYA,BESS001,1,1,4,2041,1.8188
KENYA,BESS001,1,1,4,2042,2.0278
KENYA,BESS001,1,1,4,2043,2.0278
KENYA,BESS001,1,1,4,2044,2.0278
KENYA,BESS001,1,1,4,2045,6.2558
KENYA,BESS001,1,1,4,2046,6.1202
KENYA,BESS001,1,1,4,2047,7.8589
KENYA,BESS001,1,1,4,2048,7.8589
KENYA,BESS001,1,1,4,2049,10.6808
KENYA,BESS001,1,1,4,2050,16.8981
KENYA,BESS001,1,1,5,2024,0.2048
KENYA,BESS001,1,1,5,2025,2.0759
KENYA,BESS001,1,1,5,2026,1.5875
KENYA,BESS001,1,1,5,2027,2.5099
KENYA,BESS001,1,1,5,2028,2.7173
KENYA,BESS001,1,1,5,2029,2.7221
KENYA,BESS001,1,1,5,2030,2.7221
KENYA,BESS001,1,1,5,2031,0.4166
KENYA,BESS001,1,1,5,2032,2.7221
KENYA,BESS001,1,1,5,2033,2.7221
KENYA,BESS001,1,1,5,2034,2.5174
KENYA,BESS001,1,1,5,2036,0.1356
KENYA,BESS001,1,1,5,2037,1.0914
KENYA,BESS001,1,1,5,2038,0.7729
KENYA,BESS001,1,1,5,2039,1.0914
KENYA,BESS001,1,1,5,2040,1.8473
KENYA,BESS001,1,1,5,2041,2.0278
KENYA,BESS001,1,1,5,2042,2.0278
KENYA,BESS001,1,1,5,2043,2.0278
KENYA,BESS001,1,1,5,2044,2.0278
KENYA,BESS001,1,1,5,2045,5.0228
KENYA,BESS001,1,1,5,2046,3.5495
KENYA,BESS001,1,1,5,2047,3.8138
KENYA,BESS001,1,1,5,2048,5.5984
KENYA,BESS001,1,1,5,2049,5.1348
KENYA,BESS001,1,1,5,2050,4.6578
KENYA,BESS001,1,1,6,2026,-1.9124
KENYA,BESS001,1,1,6,2027,-2.7221
KENYA,BESS001,1,1,6,2031,0.0522
KENYA,BESS001,1,1,6,2034,-0.6789
KENYA,BESS001,1,1,6,2036,0.0918
KENYA,BESS001,1,1,6,2037,-0.0693
KENYA,BESS001,1,1,6,2044,-2.0278
KENYA,BESS001,1,1,6,2045,-5.6057
KENYA,BESS001,1,1,6,2050,-2.6768
KENYA,BESS001,1,2,1,2025,1.0681
KENYA,BESS001,1,2,1,2026,2.318
KENYA,BESS001,1,2,1,2027,0.4871
KENYA,BESS001,1,2,1,2028,1.0627
KENYA,BESS001,1,2,1,2029,2.7221
KENYA,BESS001,1,2,1,2030,0.0982
KENYA,BESS001,1,2,1,2031,2.5641
KENYA,BESS001,1,2,1,2032,1.7618
KENYA,BESS001,1,2,1,2033,2.7221
KENYA,BESS001,1,2,1,2036,0.1356
KENYA,BESS001,1,2,1,2037,0.7223
KENYA,BESS001,1,2,1,2040,1.2225
KENYA,BESS001,1,2,1,2041,1.3419
KENYA,BESS001,1,2,1,2042,2.0278
KENYA,BESS001,1,2,1,2048,0.2539
KENYA,BESS001,1,2,1,2049,0.6414
KENYA,BESS001,1,2,1,2050,6.4889
KENYA,BESS001,1,2,2,2024,-0.1385
KENYA,BESS001,1,2,2,2025,-0.2653
KENYA,BESS001,1,2,2,2029,-1.5309
KENYA,BESS001,1,2,2,2031,-2.1938
KENYA,BESS001,1,2,2,2036,-0.1356
KENYA,BESS001,1,2,2,2037,-1.0914
KENYA,BESS001,1,2,2,2040,-1.8473
KENYA,BESS001,1,2,2,2041,-2.0278
KENYA,BESS001,1,2,2,2042,-2.0278
KENYA,BESS001,1,2,2,2043,-0.3458
KENYA,BESS001,1,2,2,2044,-0.0096
KENYA,BESS001,1,2,2,2045,-2.9292
KENYA,BESS001,1,2,2,2046,-4.1401
KENYA,BESS001,1,2,2,2047,-5.6606
KENYA,BESS001,1,2,2,2048,-7.8589
KENYA,BESS001,1,2,2,2049,-8.4849
KENYA,BESS001,1,2,2,2050,-8.2462
KENYA,BESS001,1,2,3,2025,-0.2601
KENYA,BESS001,1,2,3,2029,-1.131
KENYA,BESS001,1,2,3,2031,-2.1922
KENYA,BESS001,1,2,3,2032,0.0948
KENYA,BESS001,1,2,3,2036,-0.1356
KENYA,BESS001,1,2,3,2037,-1.0914
KENYA,BESS001,1,2,3,2038,-0.3692
KENYA,BESS001,1,2,3,2039,-0.3692
KENYA,BESS001,1,2,3,2040,-1.8473
