r,t,y,SalvageValue
KENYA,BESS_TECH,2045,55.3818
KENYA,BESS_TECH,2047,46.7331
KENYA,BESS_TECH,2049,57.7398
KENYA,BESS_TECH,2050,151.1127
KENYA,PWRBIO001,2023,0.5948
KENYA,PWRBIO001,2026,9.4057
KENYA,PWRBIO001,2028,9.7437
KENYA,PWRBIO001,2030,69.98
KENYA,PWRBIO001,2031,31.0937
KENYA,PWRBIO001,2032,17.8103
KENYA,PWRBIO001,2033,5.2074
KENYA,PWRBIO001,2034,10.8925
KENYA,PWRBIO001,2035,0.5666
KENYA,PWRBIO001,2036,17.4053
KENYA,PWRBIO001,2038,36.9156
KENYA,PWRBIO001,2042,80.3744
KENYA,PWRBIO001,2043,25.0119
KENYA,PWRBIO001,2044,20.7246
KENYA,PWRBIO001,2045,21.002
KENYA,PWRBIO001,2046,21.2567
KENYA,PWRBIO001,2047,21.4906
KENYA,PWRDIST,2019,707.3622
KENYA,PWRDIST,2020,79.566
KENYA,PWRDIST,2021,205.611
KENYA,PWRDIST,2022,157.0148
KENYA,PWRDIST,2023,138.1475
KENYA,PWRDIST,2024,168.9954
KENYA,PWRDIST,2025,187.7259
KENYA,PWRDIST,2026,165.536
KENYA,PWRDIST,2027,312.9195
KENYA,PWRDIST,2028,342.8232
KENYA,PWRDIST,2029,387.7033
KENYA,PWRDIST,2030,379.6832
KENYA,PWRDIST,2031,363.0386
KENYA,PWRDIST,2032,420.2481
KENYA,PWRDIST,2033,408.8064
KENYA,PWRDIST,2034,447.3602
KENYA,PWRDIST,2035,464.3672
KENYA,PWRDIST,2036,476.9032
KENYA,PWRDIST,2037,573.0282
KENYA,PWRDIST,2038,597.3233
KENYA,PWRDIST,2039,631.9697
KENYA,PWRDIST,2040,670.4289
KENYA,PWRDIST,2041,706.759
KENYA,PWRDIST,2042,731.8493
KENYA,PWRDIST,2043,780.873
KENYA,PWRDIST,2044,822.8789
KENYA,PWRDIST,2045,870.3079
KENYA,PWRDIST,2046,918.7671
KENYA,PWRDIST,2047,968.0571
KENYA,PWRDIST,2048,1023.8588
KENYA,PWRDIST,2049,1080.7706
KENYA,PWRDIST,2050,1138.5045
KENYA,PWRGEO013,2029,135.883
KENYA,PWRGEO013,2030,31.2655
KENYA,PWRGEO014,2029,136.1462
KENYA,PWRGEO015,2034,298.2685
KENYA,PWRGEO016,2036,346.0817
KENYA,PWRGEO017,2028,18.2328
KENYA,PWRGEO018,2039,168.7876
KENYA,PWRGEO019,2037,237.4509
KENYA,PWRGEO020,2040,272.0038
KENYA,PWRGEO021,2040,11.942
KENYA,PWRGEO021,2041,269.2245
KENYA,PWRGEO024,2031,135.47
KENYA,PWRGEO025,2041,281.591
KENYA,PWRGEO026,2040,271.9247
KENYA,PWRGEO028,2028,21.4106
KENYA,PWRGEO029,2038,249.9346
KENYA,PWRGEO030,2039,261.3981
KENYA,PWRGEO031,2040,271.9247
KENYA,PWRGEO034,2041,103.0276
KENYA,PWRGEO035,2031,49.5509
KENYA,PWRGEO042,2039,91.2119
KENYA,PWRGEO049,2050,44.7513
KENYA,PWRGEO050,2050,44.7513
KENYA,PWRGEO051,2050,44.7513
KENYA,PWRGEO101,2027,5.2146
KENYA,PWRGEO101,2028,10.8733
KENYA,PWRGEO101,2029,17.0148
KENYA,PWRGEO101,2030,23.681
KENYA,PWRGEO101,2031,30.9176
KENYA,PWRGEO101,2032,38.7744
KENYA,PWRGEO101,2033,47.3051
KENYA,PWRGEO101,2034,56.5686
KENYA,PWRGEO101,2035,66.6286
KENYA,PWRGEO101,2036,77.5543
KENYA,PWRGEO101,2037,89.4212
KENYA,PWRGEO101,2038,102.311
KENYA,PWRGEO101,2039,116.3129
KENYA,PWRGEO101,2040,131.5236
KENYA,PWRGEO101,2041,148.0483
KENYA,PWRGEO101,2042,166.0013
KENYA,PWRGEO101,2043,185.5069
KENYA,PWRGEO101,2044,206.7001
KENYA,PWRGEO101,2045,229.7279
KENYA,PWRGEO101,2046,178.3836
KENYA,PWRGEO102,2027,41.8531
KENYA,PWRGEO102,2028,19.3837
KENYA,PWRGEO102,2030,61.2495
KENYA,PWRGEO102,2032,137.9231
KENYA,PWRGEO102,2033,83.3542
KENYA,PWRGEO102,2034,91.6992
KENYA,PWRGEO102,2035,132.4828
KENYA,PWRGEO102,2036,141.865
KENYA,PWRGEO102,2037,148.5502
KENYA,PWRGEO102,2038,200.0215
KENYA,PWRGEO102,2039,195.4936
KENYA,PWRGEO102,2041,477.3771
KENYA,PWRGEO102,2042,486.8531
KENYA,PWRGEO102,2043,378.4884
KENYA,PWRGEO102,2044,436.472
KENYA,PWRGEO102,2045,495.858
KENYA,PWRGEO102,2046,556.443
KENYA,PWRGEO102,2047,618.0472
KENYA,PWRGEO102,2048,680.5122
KENYA,PWRGEO102,2049,796.8203
KENYA,PWRGEO102,2050,861.3172
KENYA,PWRHYD016,2023,16.8484
KENYA,PWRHYD016,2024,6.0346
KENYA,PWRHYD016,2025,0.7533
KENYA,PWRHYD016,2026,64.488
KENYA,PWRHYD016,2027,29.5052
KENYA,PWRHYD016,2028,8.5484
KENYA,PWRHYD016,2029,20.9174
KENYA,PWRHYD016,2030,105.7792
KENYA,PWRHYD016,2031,82.8507
KENYA,PWRHYD016,2032,54.6353
KENYA,PWRHYD016,2033,98.245
KENYA,PWRHYD016,2034,77.715
KENYA,PWRHYD016,2035,99.4636
KENYA,PWRHYD016,2036,88.6022
KENYA,PWRHYD016,2037,11.5583
KENYA,PWRHYD016,2038,12.6467
KENYA,PWRHYD016,2039,13.7432
KENYA,PWRHYD016,2040,15.5065
KENYA,PWRHYD016,2041,16.9529
KENYA,PWRHYD016,2042,18.7428
KENYA,PWRHYD016,2043,20.544
KENYA,PWRHYD016,2044,22.3549
KENYA,PWRHYD016,2045,24.8549
KENYA,PWRHYD016,2046,27.368
