r,t,y,TotalTechnologyAnnualActivity
KENYA,BESS_TECH,2024,0.1035
KENYA,BESS_TECH,2025,0.9406
KENYA,BESS_TECH,2026,1.0408
KENYA,BESS_TECH,2027,1.1135
KENYA,BESS_TECH,2028,1.145
KENYA,BESS_TECH,2029,1.5305
KENYA,BESS_TECH,2030,1.2009
KENYA,BESS_TECH,2031,1.3103
KENYA,BESS_TECH,2032,1.2582
KENYA,BESS_TECH,2033,1.3352
KENYA,BESS_TECH,2034,0.9855
KENYA,BESS_TECH,2036,0.0922
KENYA,BESS_TECH,2037,0.7229
KENYA,BESS_TECH,2038,0.5401
KENYA,BESS_TECH,2039,0.5443
KENYA,BESS_TECH,2040,1.2479
KENYA,BESS_TECH,2041,1.5218
KENYA,BESS_TECH,2042,1.3988
KENYA,BESS_TECH,2043,1.0514
KENYA,BESS_TECH,2044,1.0574
KENYA,BESS_TECH,2045,3.3327
KENYA,BESS_TECH,2046,3.2974
KENYA,BESS_TECH,2047,4.3265
KENYA,BESS_TECH,2048,4.4071
KENYA,BESS_TECH,2049,5.4874
KENYA,BESS_TECH,2050,7.6749
KENYA,DEMCOMELC,2019,6.2591
KENYA,DEMCOMELC,2020,6.3686
KENYA,DEMCOMELC,2021,6.6578
KENYA,DEMCOMELC,2022,6.8802
KENYA,DEMCOMELC,2023,7.0903
KENYA,DEMCOMELC,2024,7.3334
KENYA,DEMCOMELC,2025,7.5982
KENYA,DEMCOMELC,2026,7.8767
KENYA,DEMCOMELC,2027,8.3311
KENYA,DEMCOMELC,2028,8.8136
KENYA,DEMCOMELC,2029,9.3642
KENYA,DEMCOMELC,2030,9.9556
KENYA,DEMCOMELC,2031,10.5109
KENYA,DEMCOMELC,2032,11.1262
KENYA,DEMCOMELC,2033,11.7512
KENYA,DEMCOMELC,2034,12.4181
KENYA,DEMCOMELC,2035,13.1193
KENYA,DEMCOMELC,2036,13.8332
KENYA,DEMCOMELC,2037,14.635
KENYA,DEMCOMELC,2038,15.4715
KENYA,DEMCOMELC,2039,16.3588
KENYA,DEMCOMELC,2040,17.2992
KENYA,DEMCOMELC,2041,18.2913
KENYA,DEMCOMELC,2042,19.3223
KENYA,DEMCOMELC,2043,20.4209
KENYA,DEMCOMELC,2044,21.582
KENYA,DEMCOMELC,2045,22.8091
KENYA,DEMCOMELC,2046,24.1059
KENYA,DEMCOMELC,2047,25.4765
KENYA,DEMCOMELC,2048,26.9251
KENYA,DEMCOMELC,2049,28.456
KENYA,DEMCOMELC,2050,30.0739
KENYA,DEMINDELC,2019,21.5631
KENYA,DEMINDELC,2020,21.9401
KENYA,DEMINDELC,2021,22.9364
KENYA,DEMINDELC,2022,23.7027
KENYA,DEMINDELC,2023,24.4266
KENYA,DEMINDELC,2024,25.264
KENYA,DEMINDELC,2025,26.1763
KENYA,DEMINDELC,2026,27.1356
KENYA,DEMINDELC,2027,28.7012
KENYA,DEMINDELC,2028,30.3634
KENYA,DEMINDELC,2029,32.2602
KENYA,DEMINDELC,2030,34.2975
KENYA,DEMINDELC,2031,36.2108
KENYA,DEMINDELC,2032,38.3305
KENYA,DEMINDELC,2033,40.4834
KENYA,DEMINDELC,2034,42.781
KENYA,DEMINDELC,2035,45.1967
KENYA,DEMINDELC,2036,47.6561
KENYA,DEMINDELC,2037,50.4182
KENYA,DEMINDELC,2038,53.3002
KENYA,DEMINDELC,2039,56.3569
KENYA,DEMINDELC,2040,59.5965
KENYA,DEMINDELC,2041,63.0147
KENYA,DEMINDELC,2042,66.5662
KENYA,DEMINDELC,2043,70.3511
KENYA,DEMINDELC,2044,74.351
KENYA,DEMINDELC,2045,78.5785
KENYA,DEMINDELC,2046,83.0463
KENYA,DEMINDELC,2047,87.7681
KENYA,DEMINDELC,2048,92.7584
KENYA,DEMINDELC,2049,98.0324
KENYA,DEMINDELC,2050,103.6063
KENYA,DEMRESELC,2019,13.7907
KENYA,DEMRESELC,2020,14.0318
KENYA,DEMRESELC,2021,14.669
KENYA,DEMRESELC,2022,15.1591
KENYA,DEMRESELC,2023,15.6221
KENYA,DEMRESELC,2024,16.1577
KENYA,DEMRESELC,2025,16.7411
KENYA,DEMRESELC,2026,17.3547
KENYA,DEMRESELC,2027,18.356
KENYA,DEMRESELC,2028,19.419
KENYA,DEMRESELC,2029,20.6321
KENYA,DEMRESELC,2030,21.9351
KENYA,DEMRESELC,2031,23.1587
KENYA,DEMRESELC,2032,24.5144
KENYA,DEMRESELC,2033,25.8913
KENYA,DEMRESELC,2034,27.3607
KENYA,DEMRESELC,2035,28.9057
KENYA,DEMRESELC,2036,30.4786
KENYA,DEMRESELC,2037,32.2451
KENYA,DEMRESELC,2038,34.0883
KENYA,DEMRESELC,2039,36.0432
KENYA,DEMRESELC,2040,38.1152
KENYA,DEMRESELC,2041,40.3012
KENYA,DEMRESELC,2042,42.5727
KENYA,DEMRESELC,2043,44.9933
KENYA,DEMRESELC,2044,47.5515
KENYA,DEMRESELC,2045,50.2551
KENYA,DEMRESELC,2046,53.1125
KENYA,DEMRESELC,2047,56.1324
KENYA,DEMRESELC,2048,59.3239
KENYA,DEMRESELC,2049,62.697
KENYA,DEMRESELC,2050,66.2618
KENYA,IMPELC001,2022,4.0045
KENYA,IMPELC001,2023,3.9796
KENYA,IMPELC001,2024,4.9848
KENYA,IMPELC001,2025,4.4506
KENYA,IMPELC001,2026,3.6872
KENYA,IMPELC001,2027,4.7981
KENYA,IMPELC001,2028,4.1036
KENYA,IMPELC001,2029,2.9831
KENYA,IMPELC001,2030,3.4007
KENYA,IMPELC001,2031,2.7896
KENYA,IMPELC001,2032,3.5317
KENYA,IMPELC001,2033,4.9851
KENYA,IMPELC001,2034,3.575
KENYA,IMPELC001,2035,5.173
KENYA,IMPELC001,2036,3.4829
KENYA,IMPELC001,2037,3.2247
KENYA,IMPELC001,2038,5.4977
KENYA,IMPELC001,2039,4.2264
KENYA,IMPELC001,2040,3.2562
KENYA,IMPELC001,2041,3.4009
KENYA,IMPELC001,2042,3.5448
KENYA,IMPELC001,2043,5.0219
KENYA,IMPELC001,2044,4.535
KENYA,IMPELC001,2045,6.6671
KENYA,IMPELC001,2046,5.307
KENYA,IMPELC001,2047,4.895
KENYA,IMPELC001,2048,3.3707
KENYA,IMPELC001,2049,3.2845
KENYA,IMPELC001,2050,3.2981
KENYA,IMPHFOMOM,2019,13.3439
KENYA,IMPHFOMOM,2020,14.896
KENYA,IMPHFOMOM,2021,15.1152
KENYA,IMPHFOMOM,2022,4.8424
KENYA,IMPHFOMOM,2023,5.0852
KENYA,IMPHFOMOM,2024,7.7088
KENYA,IMPHFOMOM,2025,5.1296
KENYA,IMPHFOMOM,2026,0.9495
KENYA,IMPHFOMOM,2027,2.0262
KENYA,IMPHFOMOM,2028,1.9596
KENYA,IMPHFOMOM,2029,1.4787
KENYA,IMPHFOMOM,2030,1.8393
KENYA,IMPHFONAI,2019,1.337
KENYA,IMPHFONAI,2020,1.8011
KENYA,IMPHFONAI,2021,2.0691
KENYA,IMPHFONAI,2022,0.1829
KENYA,IMPHFONAI,2023,0.2443
KENYA,IMPHFONAI,2024,0.9295
KENYA,IMPHFONAI,2025,0.7381
KENYA,IMPHFONAI,2027,0.075
KENYA,IMPHFONAI,2028,0.0752
KENYA,IMPHFONAI,2029,0.0576
KENYA,IMPHFONAI,2030,0.4822
KENYA,IMPHFONAI,2031,2.2269
KENYA,IMPHFONAI,2032,2.9879
KENYA,IMPHFONAI,2033,4.4268
KENYA,IMPHFONAI,2034,2.3494
KENYA,IMPHFONAI,2035,1.2644
KENYA,IMPNGS,2031,0.0197
KENYA,IMPNGS,2032,0.1299
KENYA,IMPNGS,2033,0.4304
KENYA,IMPNGS,2034,1.6964
KENYA,IMPNGS,2035,4.2562
KENYA,IMPNGS,2036,4.0604
KENYA,IMPNGS,2037,4.0927
KENYA,IMPNGS,2038,6.3417
KENYA,IMPNGS,2039,5.362
KENYA,IMPNGS,2040,4.7186
KENYA,IMPNGS,2041,5.2741
KENYA,IMPNGS,2042,6.1678
KENYA,IMPNGS,2043,7.6784
KENYA,IMPNGS,2044,7.52
KENYA,IMPNGS,2045,9.5272
KENYA,IMPNGS,2046,8.5399
KENYA,IMPNGS,2047,8.2192
KENYA,IMPNGS,2048,7.231
KENYA,IMPNGS,2049,7.594
KENYA,IMPNGS,2050,7.5723
KENYA,MINBIO,2019,0.0902
KENYA,MINBIO,2020,0.0902
KENYA,MINBIO,2021,0.0902
KENYA,MINBIO,2022,0.0902
KENYA,MINBIO,2023,0.1533
KENYA,MINBIO,2024,0.1533
KENYA,MINBIO,2025,0.1533
KENYA,MINBIO,2026,0.6042
KENYA,MINBIO,2027,0.6042
KENYA,MINBIO,2028,0.9649
KENYA,MINBIO,2029,0.9649
KENYA,MINBIO,2030,3.1381
KENYA,MINBIO,2031,4.0398
KENYA,MINBIO,2032,4.5268
KENYA,MINBIO,2033,4.662
KENYA,MINBIO,2034,4.9326
KENYA,MINBIO,2035,4.9461
KENYA,MINBIO,2036,5.3474
KENYA,MINBIO,2037,5.3474
KENYA,MINBIO,2038,6.1499
KENYA,MINBIO,2039,6.1499
KENYA,MINBIO,2040,6.1499
KENYA,MINBIO,2041,6.1499
KENYA,MINBIO,2042,7.755
KENYA,MINBIO,2043,8.1563
KENYA,MINBIO,2044,8.5576
KENYA,MINBIO,2045,8.9589
KENYA,MINBIO,2046,9.3602
KENYA,MINBIO,2047,9.7614
KENYA,MINBIO,2048,9.7614
KENYA,MINBIO,2049,9.7614
KENYA,MINBIO,2050,9.7614
KENYA,MINGEO,2019,70.0437
KENYA,MINGEO,2020,70.0437
KENYA,MINGEO,2021,70.0437
KENYA,MINGEO,2022,77.4191
KENYA,MINGEO,2023,80.5179
