r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,1,1,1,2025,-0.0532
KENYA,BESS001,1,1,1,2028,-0.0838
KENYA,BESS001,1,1,1,2029,-0.0576
KENYA,BESS001,1,1,1,2030,-0.1088
KENYA,BESS001,1,1,1,2033,-0.0127
KENYA,BESS001,1,1,1,2039,-0.0271
KENYA,BESS001,1,1,1,2041,-0.0427
KENYA,BESS001,1,1,1,2042,-0.0127
KENYA,BESS001,1,1,1,2047,-0.1192
KENYA,BESS001,1,1,1,2048,-0.1418
KENYA,BESS001,1,1,1,2050,-0.0111
KENYA,BESS001,1,1,2,2024,-0.0001
KENYA,BESS001,1,1,2,2027,-0.0152
KENYA,BESS001,1,1,2,2029,-0.0599
KENYA,BESS001,1,1,2,2032,-0.0599
KENYA,BESS001,1,1,2,2033,-0.0599
KENYA,BESS001,1,1,2,2034,-0.0149
KENYA,BESS001,1,1,2,2039,-0.0263
KENYA,BESS001,1,1,2,2040,-0.0421
KENYA,BESS001,1,1,2,2041,-0.0219
KENYA,BESS001,1,1,2,2042,-0.0457
KENYA,BESS001,1,1,2,2043,-0.0457
KENYA,BESS001,1,1,2,2044,-0.0457
KENYA,BESS001,1,1,2,2045,-0.148
KENYA,BESS001,1,1,2,2047,-0.203
KENYA,BESS001,1,1,2,2048,-0.203
KENYA,BESS001,1,1,2,2049,-0.1764
KENYA,BESS001,1,1,2,2050,-0.0085
KENYA,BESS001,1,1,3,2024,-0.009
KENYA,BESS001,1,1,3,2031,0.0248
KENYA,BESS001,1,1,3,2032,-0.0616
KENYA,BESS001,1,1,3,2033,-0.0483
KENYA,BESS001,1,1,3,2038,-0.0357
KENYA,BESS001,1,1,3,2040,-0.0433
KENYA,BESS001,1,1,3,2041,-0.0212
KENYA,BESS001,1,1,3,2042,-0.0344
KENYA,BESS001,1,1,3,2043,-0.0471
KENYA,BESS001,1,1,3,2044,-0.0013
KENYA,BESS001,1,1,3,2046,-0.2724
KENYA,BESS001,1,1,3,2050,-0.0097
KENYA,BESS001,1,1,4,2024,0.006
KENYA,BESS001,1,1,4,2025,0.022
KENYA,BESS001,1,1,4,2026,0.0182
KENYA,BESS001,1,1,4,2027,0.0388
KENYA,BESS001,1,1,4,2028,0.0444
KENYA,BESS001,1,1,4,2029,0.076
KENYA,BESS001,1,1,4,2030,0.0674
KENYA,BESS001,1,1,4,2031,-0.0306
KENYA,BESS001,1,1,4,2032,0.08
KENYA,BESS001,1,1,4,2033,0.0794
KENYA,BESS001,1,1,4,2034,0.0325
KENYA,BESS001,1,1,4,2037,-0.0115
KENYA,BESS001,1,1,4,2038,0.0226
KENYA,BESS001,1,1,4,2039,0.0351
KENYA,BESS001,1,1,4,2040,0.0562
KENYA,BESS001,1,1,4,2041,0.0543
KENYA,BESS001,1,1,4,2042,0.0611
KENYA,BESS001,1,1,4,2043,0.0611
KENYA,BESS001,1,1,4,2044,0.0611
KENYA,BESS001,1,1,4,2045,0.1978
KENYA,BESS001,1,1,4,2046,0.2259
KENYA,BESS001,1,1,4,2047,0.2713
KENYA,BESS001,1,1,4,2048,0.2713
KENYA,BESS001,1,1,4,2049,0.2713
KENYA,BESS001,1,1,4,2050,0.3553
KENYA,BESS001,1,1,5,2024,0.003
KENYA,BESS001,1,1,5,2025,0.0305
KENYA,BESS001,1,1,5,2026,0.0233
KENYA,BESS001,1,1,5,2027,0.0355
KENYA,BESS001,1,1,5,2028,0.0384
KENYA,BESS001,1,1,5,2029,0.04
KENYA,BESS001,1,1,5,2030,0.04
KENYA,BESS001,1,1,5,2031,0.0061
KENYA,BESS001,1,1,5,2032,0.04
KENYA,BESS001,1,1,5,2033,0.04
KENYA,BESS001,1,1,5,2034,0.037
KENYA,BESS001,1,1,5,2037,0.0176
KENYA,BESS001,1,1,5,2038,0.0127
KENYA,BESS001,1,1,5,2039,0.0176
KENYA,BESS001,1,1,5,2040,0.0281
KENYA,BESS001,1,1,5,2041,0.0306
KENYA,BESS001,1,1,5,2042,0.0306
KENYA,BESS001,1,1,5,2043,0.0306
KENYA,BESS001,1,1,5,2044,0.0306
KENYA,BESS001,1,1,5,2045,0.0384
KENYA,BESS001,1,1,5,2046,0.0431
KENYA,BESS001,1,1,5,2047,0.047
KENYA,BESS001,1,1,5,2048,0.0693
KENYA,BESS001,1,1,5,2049,-0.097
KENYA,BESS001,1,1,5,2050,-0.0637
KENYA,BESS001,1,1,6,2026,-0.0421
KENYA,BESS001,1,1,6,2027,-0.0599
KENYA,BESS001,1,1,6,2034,-0.0554
KENYA,BESS001,1,1,6,2037,-0.0062
KENYA,BESS001,1,1,6,2044,-0.0457
KENYA,BESS001,1,1,6,2045,-0.0911
KENYA,BESS001,1,1,6,2050,-0.2658
KENYA,BESS001,1,2,1,2025,0.0193
KENYA,BESS001,1,2,1,2026,0.0345
KENYA,BESS001,1,2,1,2027,0.0097
KENYA,BESS001,1,2,1,2028,0.0253
KENYA,BESS001,1,2,1,2029,0.0253
KENYA,BESS001,1,2,1,2030,0.0015
KENYA,BESS001,1,2,1,2031,0.0479
KENYA,BESS001,1,2,1,2032,0.0345
KENYA,BESS001,1,2,1,2033,0.0247
KENYA,BESS001,1,2,1,2034,0.0211
KENYA,BESS001,1,2,1,2037,0.0139
KENYA,BESS001,1,2,1,2040,0.0223
KENYA,BESS001,1,2,1,2041,0.0242
KENYA,BESS001,1,2,1,2042,0.0366
KENYA,BESS001,1,2,1,2043,0.0124
KENYA,BESS001,1,2,1,2049,0.0806
KENYA,BESS001,1,2,1,2050,0.027
KENYA,BESS001,1,2,2,2024,-0.0012
KENYA,BESS001,1,2,2,2025,-0.0023
KENYA,BESS001,1,2,2,2026,0.0063
KENYA,BESS001,1,2,2,2031,-0.0193
KENYA,BESS001,1,2,2,2037,-0.0105
KENYA,BESS001,1,2,2,2040,-0.0168
KENYA,BESS001,1,2,2,2041,-0.0183
KENYA,BESS001,1,2,2,2042,-0.0012
KENYA,BESS001,1,2,2,2043,-0.0063
KENYA,BESS001,1,2,2,2044,-0.0037
KENYA,BESS001,1,2,2,2045,-0.0297
KENYA,BESS001,1,2,2,2046,-0.0305
KENYA,BESS001,1,2,2,2047,-0.0565
KENYA,BESS001,1,2,2,2049,-0.0689
KENYA,BESS001,1,2,2,2050,-0.0672
KENYA,BESS001,1,2,3,2025,-0.0046
KENYA,BESS001,1,2,3,2031,-0.0386
KENYA,BESS001,1,2,3,2037,-0.021
KENYA,BESS001,1,2,3,2038,-0.0071
KENYA,BESS001,1,2,3,2039,-0.0071
KENYA,BESS001,1,2,3,2040,-0.0336
KENYA,BESS001,1,2,3,2041,-0.0366
KENYA,BESS001,1,2,3,2042,-0.0366
KENYA,BESS001,1,2,3,2044,-0.0087
KENYA,BESS001,1,2,3,2045,-0.0104
KENYA,BESS001,1,2,3,2048,-0.03
KENYA,BESS001,1,2,3,2049,0.035
KENYA,BESS001,1,2,3,2050,0.0706
