r,t,f,y,ProductionByTechnologyAnnual
KENYA,BESS_TECH,ELC001,2024,0.0518
KENYA,BESS_TECH,ELC001,2025,0.4703
KENYA,BESS_TECH,ELC001,2026,0.5204
KENYA,BESS_TECH,ELC001,2027,0.5539
KENYA,BESS_TECH,ELC001,2028,0.5711
KENYA,BESS_TECH,ELC001,2029,0.6986
KENYA,BESS_TECH,ELC001,2030,0.6016
KENYA,BESS_TECH,ELC001,2031,0.6551
KENYA,BESS_TECH,ELC001,2032,0.6355
KENYA,BESS_TECH,ELC001,2033,0.6733
KENYA,BESS_TECH,ELC001,2034,0.5018
KENYA,BESS_TECH,ELC001,2037,0.4053
KENYA,BESS_TECH,ELC001,2038,0.2856
KENYA,BESS_TECH,ELC001,2039,0.2972
KENYA,BESS_TECH,ELC001,2040,0.6499
KENYA,BESS_TECH,ELC001,2041,0.7823
KENYA,BESS_TECH,ELC001,2042,0.662
KENYA,BESS_TECH,ELC001,2043,0.5482
KENYA,BESS_TECH,ELC001,2044,0.5307
KENYA,BESS_TECH,ELC001,2045,1.7173
KENYA,BESS_TECH,ELC001,2046,1.9711
KENYA,BESS_TECH,ELC001,2047,2.4183
KENYA,BESS_TECH,ELC001,2048,2.5997
KENYA,BESS_TECH,ELC001,2049,2.4032
KENYA,BESS_TECH,ELC001,2050,2.9301
KENYA,DEMCOMELC,COMELC,2019,6.2591
KENYA,DEMCOMELC,COMELC,2020,6.3686
KENYA,DEMCOMELC,COMELC,2021,6.6578
KENYA,DEMCOMELC,COMELC,2022,6.8802
KENYA,DEMCOMELC,COMELC,2023,7.0903
KENYA,DEMCOMELC,COMELC,2024,7.3334
KENYA,DEMCOMELC,COMELC,2025,7.5982
KENYA,DEMCOMELC,COMELC,2026,7.8767
KENYA,DEMCOMELC,COMELC,2027,8.3311
KENYA,DEMCOMELC,COMELC,2028,8.8136
KENYA,DEMCOMELC,COMELC,2029,9.3642
KENYA,DEMCOMELC,COMELC,2030,9.9556
KENYA,DEMCOMELC,COMELC,2031,10.5109
KENYA,DEMCOMELC,COMELC,2032,11.1262
KENYA,DEMCOMELC,COMELC,2033,11.7512
KENYA,DEMCOMELC,COMELC,2034,12.4181
KENYA,DEMCOMELC,COMELC,2035,13.1193
KENYA,DEMCOMELC,COMELC,2036,13.8332
KENYA,DEMCOMELC,COMELC,2037,14.635
KENYA,DEMCOMELC,COMELC,2038,15.4715
KENYA,DEMCOMELC,COMELC,2039,16.3588
KENYA,DEMCOMELC,COMELC,2040,17.2992
KENYA,DEMCOMELC,COMELC,2041,18.2913
KENYA,DEMCOMELC,COMELC,2042,19.3223
KENYA,DEMCOMELC,COMELC,2043,20.4209
KENYA,DEMCOMELC,COMELC,2044,21.582
KENYA,DEMCOMELC,COMELC,2045,22.8091
KENYA,DEMCOMELC,COMELC,2046,24.1059
KENYA,DEMCOMELC,COMELC,2047,25.4765
KENYA,DEMCOMELC,COMELC,2048,26.9251
KENYA,DEMCOMELC,COMELC,2049,28.456
