r,s,ls,ld,y,StorageLevelDayTypeStart
KENYA,BESS001,1,1,2020,0.0088
KENYA,BESS001,1,1,2021,0.0088
KENYA,BESS001,1,1,2022,0.1317
KENYA,BESS001,1,1,2023,0.1317
KENYA,BESS001,1,1,2024,0.2978
KENYA,BESS001,1,1,2025,0.4953
KENYA,BESS001,1,1,2026,0.4953
KENYA,BESS001,1,1,2027,0.4953
KENYA,BESS001,1,1,2028,0.5066
KENYA,BESS001,1,1,2029,0.5713
KENYA,BESS001,1,1,2030,0.5625
KENYA,BESS001,1,1,2031,0.5625
KENYA,BESS001,1,1,2032,0.5623
KENYA,BESS001,1,1,2033,0.6001
KENYA,BESS001,1,1,2034,0.4341
KENYA,BESS001,1,1,2035,0.2366
KENYA,BESS001,1,1,2036,0.2366
KENYA,BESS001,1,1,2037,0.3065
KENYA,BESS001,1,1,2038,0.2952
KENYA,BESS001,1,1,2039,0.3574
KENYA,BESS001,1,1,2040,0.499
KENYA,BESS001,1,1,2041,0.618
KENYA,BESS001,1,1,2042,0.4953
KENYA,BESS001,1,1,2043,0.4574
KENYA,BESS001,1,1,2044,0.4574
KENYA,BESS001,1,1,2045,1.263
KENYA,BESS001,1,1,2046,1.4515
KENYA,BESS001,1,1,2047,1.797
KENYA,BESS001,1,1,2048,1.9756
KENYA,BESS001,1,1,2049,1.8487
KENYA,BESS001,1,1,2050,2.358
KENYA,BESS001,1,2,2020,0.0088
KENYA,BESS001,1,2,2021,0.0088
KENYA,BESS001,1,2,2022,0.1317
KENYA,BESS001,1,2,2023,0.1317
KENYA,BESS001,1,2,2024,0.2978
KENYA,BESS001,1,2,2025,0.4953
KENYA,BESS001,1,2,2026,0.4953
KENYA,BESS001,1,2,2027,0.4953
KENYA,BESS001,1,2,2028,0.5066
KENYA,BESS001,1,2,2029,0.5713
KENYA,BESS001,1,2,2030,0.5625
KENYA,BESS001,1,2,2031,0.5625
KENYA,BESS001,1,2,2032,0.5623
KENYA,BESS001,1,2,2033,0.6001
KENYA,BESS001,1,2,2034,0.4341
KENYA,BESS001,1,2,2035,0.2366
KENYA,BESS001,1,2,2036,0.2366
KENYA,BESS001,1,2,2037,0.3065
KENYA,BESS001,1,2,2038,0.2952
KENYA,BESS001,1,2,2039,0.3574
KENYA,BESS001,1,2,2040,0.499
KENYA,BESS001,1,2,2041,0.618
KENYA,BESS001,1,2,2042,0.4953
KENYA,BESS001,1,2,2043,0.4574
KENYA,BESS001,1,2,2044,0.4574
KENYA,BESS001,1,2,2045,1.263
KENYA,BESS001,1,2,2046,1.4515
KENYA,BESS001,1,2,2047,1.797
KENYA,BESS001,1,2,2048,1.9756
KENYA,BESS001,1,2,2049,1.8487
KENYA,BESS001,1,2,2050,2.358
KENYA,BESS001,2,1,2020,0.0088
KENYA,BESS001,2,1,2021,0.0088
KENYA,BESS001,2,1,2022,0.1317
KENYA,BESS001,2,1,2023,0.1317
KENYA,BESS001,2,1,2024,0.3093
KENYA,BESS001,2,1,2025,0.5708
KENYA,BESS001,2,1,2026,0.5776
KENYA,BESS001,2,1,2027,0.6032
KENYA,BESS001,2,1,2028,0.6146
KENYA,BESS001,2,1,2029,0.7152
KENYA,BESS001,2,1,2030,0.6714
KENYA,BESS001,2,1,2031,0.6674
KENYA,BESS001,2,1,2032,0.7168
KENYA,BESS001,2,1,2033,0.7682
KENYA,BESS001,2,1,2034,0.5247
KENYA,BESS001,2,1,2035,0.2366
KENYA,BESS001,2,1,2036,0.2366
KENYA,BESS001,2,1,2037,0.3625
KENYA,BESS001,2,1,2038,0.3445
KENYA,BESS001,2,1,2039,0.4241
KENYA,BESS001,2,1,2040,0.6447
KENYA,BESS001,2,1,2041,0.7696
KENYA,BESS001,2,1,2042,0.6418
KENYA,BESS001,2,1,2043,0.5797
KENYA,BESS001,2,1,2044,0.5734
KENYA,BESS001,2,1,2045,1.5779
KENYA,BESS001,2,1,2046,1.794
KENYA,BESS001,2,1,2047,2.2174
KENYA,BESS001,2,1,2048,2.3886
KENYA,BESS001,2,1,2049,2.2922
KENYA,BESS001,2,1,2050,2.8523
KENYA,BESS001,2,2,2020,0.0088
KENYA,BESS001,2,2,2021,0.0088
KENYA,BESS001,2,2,2022,0.1317
KENYA,BESS001,2,2,2023,0.1317
KENYA,BESS001,2,2,2024,0.3093
KENYA,BESS001,2,2,2025,0.5708
KENYA,BESS001,2,2,2026,0.5776
KENYA,BESS001,2,2,2027,0.6032
KENYA,BESS001,2,2,2028,0.6146
KENYA,BESS001,2,2,2029,0.7152
KENYA,BESS001,2,2,2030,0.6714
KENYA,BESS001,2,2,2031,0.6674
KENYA,BESS001,2,2,2032,0.7168
KENYA,BESS001,2,2,2033,0.7682
KENYA,BESS001,2,2,2034,0.5247
KENYA,BESS001,2,2,2035,0.2366
KENYA,BESS001,2,2,2036,0.2366
KENYA,BESS001,2,2,2037,0.3625
KENYA,BESS001,2,2,2038,0.3445
KENYA,BESS001,2,2,2039,0.4241
KENYA,BESS001,2,2,2040,0.6447
KENYA,BESS001,2,2,2041,0.7696
KENYA,BESS001,2,2,2042,0.6418
KENYA,BESS001,2,2,2043,0.5797
KENYA,BESS001,2,2,2044,0.5734
KENYA,BESS001,2,2,2045,1.5779
KENYA,BESS001,2,2,2046,1.794
KENYA,BESS001,2,2,2047,2.2174
KENYA,BESS001,2,2,2048,2.3886
KENYA,BESS001,2,2,2049,2.2922
KENYA,BESS001,2,2,2050,2.8523
KENYA,BESS001,3,1,2020,0.0088
KENYA,BESS001,3,1,2021,0.0088
KENYA,BESS001,3,1,2022,0.1317
KENYA,BESS001,3,1,2023,0.1317
KENYA,BESS001,3,1,2024,0.3174
KENYA,BESS001,3,1,2025,0.688
KENYA,BESS001,3,1,2026,0.6685
KENYA,BESS001,3,1,2027,0.7223
KENYA,BESS001,3,1,2028,0.7313
KENYA,BESS001,3,1,2029,0.8116
KENYA,BESS001,3,1,2030,0.7726
KENYA,BESS001,3,1,2031,0.8539
KENYA,BESS001,3,1,2032,0.8417
KENYA,BESS001,3,1,2033,0.8959
KENYA,BESS001,3,1,2034,0.6186
KENYA,BESS001,3,1,2035,0.2366
KENYA,BESS001,3,1,2036,0.2366
KENYA,BESS001,3,1,2037,0.4439
KENYA,BESS001,3,1,2038,0.3925
KENYA,BESS001,3,1,2039,0.4716
KENYA,BESS001,3,1,2040,0.7757
KENYA,BESS001,3,1,2041,0.9328
