r,s,y,StorageUpperLimit
KENYA,BESS001,2020,0.0177
KENYA,BESS001,2021,0.0177
KENYA,BESS001,2022,0.2635
KENYA,BESS001,2023,0.2635
KENYA,BESS001,2024,0.5957
KENYA,BESS001,2025,0.9905
KENYA,BESS001,2026,0.9905
KENYA,BESS001,2027,0.9905
KENYA,BESS001,2028,1.0131
KENYA,BESS001,2029,1.1426
KENYA,BESS001,2030,1.1249
KENYA,BESS001,2031,1.1249
KENYA,BESS001,2032,1.1246
KENYA,BESS001,2033,1.2003
KENYA,BESS001,2034,0.8681
KENYA,BESS001,2035,0.4733
KENYA,BESS001,2036,0.4733
KENYA,BESS001,2037,0.6131
KENYA,BESS001,2038,0.5905
KENYA,BESS001,2039,0.7148
KENYA,BESS001,2040,0.998
KENYA,BESS001,2041,1.236
KENYA,BESS001,2042,0.9905
KENYA,BESS001,2043,0.9148
KENYA,BESS001,2044,0.9148
KENYA,BESS001,2045,2.5259
KENYA,BESS001,2046,2.903
KENYA,BESS001,2047,3.5941
KENYA,BESS001,2048,3.9511
KENYA,BESS001,2049,3.6973
KENYA,BESS001,2050,4.716
KENYA,PHS001,2034,0.0004
KENYA,PHS001,2035,0.0017
KENYA,PHS001,2036,0.0025
KENYA,PHS001,2037,0.0025
KENYA,PHS001,2038,0.0025
KENYA,PHS001,2039,0.0025
KENYA,PHS001,2040,0.0025
KENYA,PHS001,2041,0.0025
KENYA,PHS001,2042,0.0025
KENYA,PHS001,2043,0.0025
KENYA,PHS001,2044,0.0025
KENYA,PHS001,2045,0.0025
KENYA,PHS001,2046,0.0025
KENYA,PHS001,2047,0.0025
KENYA,PHS001,2048,0.0025
KENYA,PHS001,2049,0.0025
KENYA,PHS001,2050,0.0025
KENYA,PHS002,2035,0.0002
KENYA,PHS002,2036,0.0002
KENYA,PHS002,2037,0.0003
KENYA,PHS002,2038,0.0009
KENYA,PHS002,2039,0.0009
KENYA,PHS002,2040,0.0009
KENYA,PHS002,2041,0.0009
KENYA,PHS002,2042,0.0009
KENYA,PHS002,2043,0.0009
KENYA,PHS002,2044,0.0009
KENYA,PHS002,2045,0.0009
KENYA,PHS002,2046,0.0009
KENYA,PHS002,2047,0.0009
KENYA,PHS002,2048,0.0009
KENYA,PHS002,2049,0.0009
KENYA,PHS002,2050,0.0009
