r,t,TotalTechnologyModelPeriodActivity
KENYA,BESS_TECH,48.2686
KENYA,DEMCOMELC,466.5152
KENYA,DEMINDELC,1607.1704
KENYA,DEMRESELC,1027.871
KENYA,IMPELC001,124.0722
KENYA,IMPHFOMOM,74.5319
KENYA,IMPHFONAI,21.4262
KENYA,IMPNGS,112.7195
KENYA,MINBIO,142.7841
KENYA,MINGEO,6072.7597
KENYA,MINHYD,444.1993
KENYA,MINSOL,47.8472
KENYA,MINWND,667.6909
KENYA,PWRBIO001,49.9245
KENYA,PWRDIST,3238.1754
KENYA,PWRGEO001,2.2358
KENYA,PWRGEO002,91.8189
KENYA,PWRGEO003,30.1094
KENYA,PWRGEO004,45.6471
KENYA,PWRGEO005,22.43
KENYA,PWRGEO006,87.6453
KENYA,PWRGEO007,10.6367
KENYA,PWRGEO008,19.0196
KENYA,PWRGEO009,9.8377
KENYA,PWRGEO010,26.0849
KENYA,PWRGEO011,62.0821
KENYA,PWRGEO012,122.4649
KENYA,PWRGEO013,91.1919
KENYA,PWRGEO014,91.8189
KENYA,PWRGEO015,70.951
KENYA,PWRGEO016,62.6038
KENYA,PWRGEO017,17.1415
KENYA,PWRGEO018,21.4642
KENYA,PWRGEO019,41.7359
KENYA,PWRGEO020,32.7925
KENYA,PWRGEO021,32.7925
KENYA,PWRGEO024,59.6226
KENYA,PWRGEO025,30.0015
KENYA,PWRGEO026,29.8113
KENYA,PWRGEO027,26.0849
KENYA,PWRGEO028,23.9981
KENYA,PWRGEO029,38.7547
KENYA,PWRGEO030,35.7736
KENYA,PWRGEO031,32.7925
KENYA,PWRGEO033,14.9057
KENYA,PWRGEO034,10.434
KENYA,PWRGEO035,20.8679
KENYA,PWRGEO038,14.9057
KENYA,PWRGEO040,10.4936
KENYA,PWRGEO042,17.8868
KENYA,PWRGEO047,2.2358
KENYA,PWRGEO049,16.277
KENYA,PWRGEO050,16.277
KENYA,PWRGEO051,16.277
KENYA,PWRGEO101,169.3623
KENYA,PWRGEO102,465.4337
KENYA,PWRHFO002,0.6982
KENYA,PWRHFO003,2.7028
KENYA,PWRHFO004,12.0278
KENYA,PWRHFO005,3.0036
KENYA,PWRHFO006,13.5146
KENYA,PWRHFO007,3.252
KENYA,PWRHFO008,0.9992
KENYA,PWRHFO009,4.0445
KENYA,PWRHYD001,10.0907
KENYA,PWRHYD002,15.116
KENYA,PWRHYD003,42.0116
KENYA,PWRHYD004,84.3247
KENYA,PWRHYD005,18.8419
KENYA,PWRHYD006,96.3433
KENYA,PWRHYD007,55.9582
KENYA,PWRHYD008,29.4841
KENYA,PWRHYD009,9.4871
KENYA,PWRHYD016,82.5418
KENYA,PWRNGS002,24.3351
KENYA,PWRNGS003,9.6203
KENYA,PWRNGS004,13.6241
KENYA,PWRNGS005,0.2422
KENYA,PWRNGS006,0.2233
KENYA,PWRNGS009,0.4021
KENYA,PWRNGS010,0.2442
KENYA,PWRNGS011,0.2617
KENYA,PWRPHS001,8.9621
KENYA,PWRPHS002,2.6825
KENYA,PWRSOL001,5.8824
KENYA,PWRSOL002,4.9536
KENYA,PWRSOL003,2.4149
KENYA,PWRSOL004,3.2198
KENYA,PWRSOL005,3.2198
KENYA,PWRSOL006,0.1858
KENYA,PWRSOL008,4.9536
KENYA,PWRSOL009,4.9536
KENYA,PWRSOL010,4.9536
KENYA,PWRSOL011,0.0294
KENYA,PWRSOL012,4.9536
KENYA,PWRSOL013,0.805
KENYA,PWRSOL014,2.3684
KENYA,PWRSOL015,4.9536
KENYA,PWRTRN,3385.0883
KENYA,PWRWND001,0.5044
KENYA,PWRWND002,3.587
KENYA,PWRWND003,2.4177
KENYA,PWRWND005,14.4751
KENYA,PWRWND006,32.9499
KENYA,PWRWND010,14.4751
KENYA,PWRWND011,32.9499
KENYA,PWRWND012,4.1251
KENYA,PWRWND013,34.6841
KENYA,PWRWND015,12.6129
KENYA,PWRWND018,29.0211
KENYA,PWRWND026,8.2804
KENYA,PWRWND101,477.6081
