r,s,y,AccumulatedNewStorageCapacity
KENYA,BESS001,2020,0.0491
KENYA,BESS001,2021,0.0491
KENYA,BESS001,2022,0.2898
KENYA,BESS001,2023,0.2898
KENYA,BESS001,2024,0.628
KENYA,BESS001,2025,0.991
KENYA,BESS001,2026,0.991
KENYA,BESS001,2027,0.991
KENYA,BESS001,2028,1.1183
KENYA,BESS001,2029,1.174
KENYA,BESS001,2030,1.1249
KENYA,BESS001,2031,1.1249
KENYA,BESS001,2032,1.1234
KENYA,BESS001,2033,1.2037
KENYA,BESS001,2034,0.8655
KENYA,BESS001,2035,0.5025
KENYA,BESS001,2036,0.5025
KENYA,BESS001,2037,0.5955
KENYA,BESS001,2038,0.4682
KENYA,BESS001,2039,0.6577
KENYA,BESS001,2040,0.9842
KENYA,BESS001,2041,1.2153
KENYA,BESS001,2042,0.9761
KENYA,BESS001,2043,0.8958
KENYA,BESS001,2044,0.8958
KENYA,BESS001,2045,2.5268
KENYA,BESS001,2046,2.9022
KENYA,BESS001,2047,3.6372
KENYA,BESS001,2048,4.0117
KENYA,BESS001,2049,3.7664
KENYA,BESS001,2050,4.7527
KENYA,PHS001,2034,0.0004
KENYA,PHS001,2035,0.002
KENYA,PHS001,2036,0.0028
KENYA,PHS001,2037,0.0029
KENYA,PHS001,2038,0.0031
KENYA,PHS001,2039,0.0031
KENYA,PHS001,2040,0.0032
KENYA,PHS001,2041,0.0032
KENYA,PHS001,2042,0.0032
KENYA,PHS001,2043,0.0032
KENYA,PHS001,2044,0.0032
KENYA,PHS001,2045,0.0032
KENYA,PHS001,2046,0.0032
KENYA,PHS001,2047,0.0032
KENYA,PHS001,2048,0.0032
KENYA,PHS001,2049,0.0032
KENYA,PHS001,2050,0.0032
KENYA,PHS002,2038,0.0004
KENYA,PHS002,2039,0.0004
KENYA,PHS002,2040,0.0004
KENYA,PHS002,2041,0.0004
KENYA,PHS002,2042,0.0004
KENYA,PHS002,2043,0.0004
KENYA,PHS002,2044,0.0004
KENYA,PHS002,2045,0.0004
KENYA,PHS002,2046,0.0004
KENYA,PHS002,2047,0.0004
KENYA,PHS002,2048,0.0004
KENYA,PHS002,2049,0.0004
KENYA,PHS002,2050,0.0004
