r,e,y,AnnualEmissions
KENYA,CO2,2019,1.081
KENYA,CO2,2020,1.2289
KENYA,CO2,2021,1.2647
KENYA,CO2,2022,0.3736
KENYA,CO2,2023,0.3995
KENYA,CO2,2024,0.6419
KENYA,CO2,2025,0.4391
KENYA,CO2,2026,0.1046
KENYA,CO2,2027,0.1927
KENYA,CO2,2028,0.2089
KENYA,CO2,2029,0.1721
KENYA,CO2,2030,0.3521
KENYA,CO2,2031,0.3986
KENYA,CO2,2032,0.4953
KENYA,CO2,2033,0.628
KENYA,CO2,2034,0.5817
KENYA,CO2,2035,0.7077
KENYA,CO2,2036,0.6263
KENYA,CO2,2037,0.6256
KENYA,CO2,2038,0.8677
KENYA,CO2,2039,0.8038
KENYA,CO2,2040,0.7587
KENYA,CO2,2041,0.8022
KENYA,CO2,2042,0.9606
KENYA,CO2,2043,1.1328
KENYA,CO2,2044,1.15
KENYA,CO2,2045,1.3234
KENYA,CO2,2046,1.3244
KENYA,CO2,2047,1.3177
KENYA,CO2,2048,1.2492
KENYA,CO2,2049,1.1796
KENYA,CO2,2050,0.8037
