r,t,e,y,AnnualTechnologyEmission
KENYA,PWRBIO001,CO2,2019,0.0052
KENYA,PWRBIO001,CO2,2020,0.0052
KENYA,PWRBIO001,CO2,2021,0.0052
KENYA,PWRBIO001,CO2,2022,0.0052
KENYA,PWRBIO001,CO2,2023,0.0089
KENYA,PWRBIO001,CO2,2024,0.0089
KENYA,PWRBIO001,CO2,2025,0.0089
KENYA,PWRBIO001,CO2,2026,0.0351
KENYA,PWRBIO001,CO2,2027,0.0351
KENYA,PWRBIO001,CO2,2028,0.056
KENYA,PWRBIO001,CO2,2029,0.056
KENYA,PWRBIO001,CO2,2030,0.1821
KENYA,PWRBIO001,CO2,2031,0.2345
KENYA,PWRBIO001,CO2,2032,0.2627
KENYA,PWRBIO001,CO2,2033,0.2706
KENYA,PWRBIO001,CO2,2034,0.2863
KENYA,PWRBIO001,CO2,2035,0.2871
KENYA,PWRBIO001,CO2,2036,0.3104
KENYA,PWRBIO001,CO2,2037,0.3104
KENYA,PWRBIO001,CO2,2038,0.357
KENYA,PWRBIO001,CO2,2039,0.357
KENYA,PWRBIO001,CO2,2040,0.357
KENYA,PWRBIO001,CO2,2041,0.357
KENYA,PWRBIO001,CO2,2042,0.4501
KENYA,PWRBIO001,CO2,2043,0.4734
KENYA,PWRBIO001,CO2,2044,0.4967
KENYA,PWRBIO001,CO2,2045,0.52
KENYA,PWRBIO001,CO2,2046,0.5433
KENYA,PWRBIO001,CO2,2047,0.5666
KENYA,PWRBIO001,CO2,2048,0.5666
KENYA,PWRBIO001,CO2,2049,0.5666
KENYA,PWRBIO001,CO2,2050,0.302
KENYA,PWRHFO002,CO2,2020,0.0015
KENYA,PWRHFO002,CO2,2021,0.004
KENYA,PWRHFO002,CO2,2031,0.0086
KENYA,PWRHFO002,CO2,2032,0.0113
KENYA,PWRHFO002,CO2,2033,0.0383
KENYA,PWRHFO002,CO2,2034,0.0677
KENYA,PWRHFO003,CO2,2019,0.0993
KENYA,PWRHFO003,CO2,2020,0.1126
KENYA,PWRHFO003,CO2,2021,0.1023
KENYA,PWRHFO003,CO2,2022,0.0482
KENYA,PWRHFO003,CO2,2023,0.0529
KENYA,PWRHFO003,CO2,2024,0.0794
KENYA,PWRHFO004,CO2,2019,0.349
KENYA,PWRHFO004,CO2,2020,0.4371
KENYA,PWRHFO004,CO2,2021,0.4568
KENYA,PWRHFO004,CO2,2022,0.1404
KENYA,PWRHFO004,CO2,2023,0.1448
KENYA,PWRHFO004,CO2,2024,0.1773
KENYA,PWRHFO004,CO2,2025,0.1567
KENYA,PWRHFO004,CO2,2026,0.0102
KENYA,PWRHFO004,CO2,2027,0.0506
KENYA,PWRHFO004,CO2,2028,0.0469
KENYA,PWRHFO004,CO2,2029,0.0234
KENYA,PWRHFO004,CO2,2030,0.135
KENYA,PWRHFO005,CO2,2019,0.0947
KENYA,PWRHFO005,CO2,2020,0.1072
KENYA,PWRHFO005,CO2,2021,0.1139
KENYA,PWRHFO005,CO2,2022,0.0309
KENYA,PWRHFO005,CO2,2023,0.04
KENYA,PWRHFO005,CO2,2024,0.0774
KENYA,PWRHFO005,CO2,2025,0.0916
KENYA,PWRHFO006,CO2,2019,0.435
KENYA,PWRHFO006,CO2,2020,0.435
KENYA,PWRHFO006,CO2,2021,0.435
KENYA,PWRHFO006,CO2,2022,0.1354
KENYA,PWRHFO006,CO2,2023,0.135
KENYA,PWRHFO006,CO2,2024,0.2308
KENYA,PWRHFO006,CO2,2025,0.1279
KENYA,PWRHFO006,CO2,2026,0.0593
KENYA,PWRHFO006,CO2,2027,0.1012
KENYA,PWRHFO006,CO2,2028,0.1003
KENYA,PWRHFO006,CO2,2029,0.0883
KENYA,PWRHFO007,CO2,2019,0.0407
KENYA,PWRHFO007,CO2,2020,0.0623
KENYA,PWRHFO007,CO2,2021,0.071
KENYA,PWRHFO007,CO2,2022,0.0095
KENYA,PWRHFO007,CO2,2023,0.0075
KENYA,PWRHFO007,CO2,2024,0.0364
KENYA,PWRHFO007,CO2,2025,0.0258
KENYA,PWRHFO007,CO2,2027,0.0057
KENYA,PWRHFO007,CO2,2030,0.0187
KENYA,PWRHFO007,CO2,2031,0.0686
KENYA,PWRHFO007,CO2,2032,0.0946
KENYA,PWRHFO007,CO2,2033,0.104
KENYA,PWRHFO008,CO2,2019,0.0072
KENYA,PWRHFO008,CO2,2020,0.0131
KENYA,PWRHFO008,CO2,2021,0.0145
KENYA,PWRHFO008,CO2,2024,0.0048
KENYA,PWRHFO008,CO2,2025,0.0048
KENYA,PWRHFO008,CO2,2030,0.0021
KENYA,PWRHFO008,CO2,2031,0.0205
KENYA,PWRHFO008,CO2,2032,0.0323
KENYA,PWRHFO008,CO2,2033,0.0811
KENYA,PWRHFO009,CO2,2019,0.0499
KENYA,PWRHFO009,CO2,2020,0.0549
KENYA,PWRHFO009,CO2,2021,0.0619
KENYA,PWRHFO009,CO2,2022,0.0039
KENYA,PWRHFO009,CO2,2023,0.0104
KENYA,PWRHFO009,CO2,2024,0.0268
KENYA,PWRHFO009,CO2,2025,0.0234
KENYA,PWRHFO009,CO2,2028,0.0058
KENYA,PWRHFO009,CO2,2029,0.0045
KENYA,PWRHFO009,CO2,2030,0.0142
KENYA,PWRHFO009,CO2,2031,0.0652
KENYA,PWRHFO009,CO2,2032,0.0859
KENYA,PWRHFO009,CO2,2033,0.1063
KENYA,PWRHFO009,CO2,2034,0.1043
KENYA,PWRHFO009,CO2,2035,0.0929
KENYA,PWRNGS002,CO2,2034,0.0173
KENYA,PWRNGS002,CO2,2035,0.1674
KENYA,PWRNGS002,CO2,2036,0.1464
KENYA,PWRNGS002,CO2,2037,0.1506
KENYA,PWRNGS002,CO2,2038,0.3267
KENYA,PWRNGS002,CO2,2039,0.3103
KENYA,PWRNGS002,CO2,2040,0.2845
KENYA,PWRNGS002,CO2,2041,0.2976
KENYA,PWRNGS002,CO2,2042,0.31
KENYA,PWRNGS002,CO2,2043,0.336
KENYA,PWRNGS002,CO2,2044,0.3491
KENYA,PWRNGS002,CO2,2045,0.4066
KENYA,PWRNGS002,CO2,2046,0.3706
KENYA,PWRNGS002,CO2,2047,0.371
KENYA,PWRNGS002,CO2,2048,0.3594
KENYA,PWRNGS002,CO2,2049,0.2825
KENYA,PWRNGS002,CO2,2050,0.2666
KENYA,PWRNGS003,CO2,2041,0.0082
KENYA,PWRNGS003,CO2,2042,0.014
KENYA,PWRNGS003,CO2,2043,0.1575
KENYA,PWRNGS003,CO2,2044,0.1701
KENYA,PWRNGS003,CO2,2045,0.201
KENYA,PWRNGS003,CO2,2046,0.2221
KENYA,PWRNGS003,CO2,2047,0.199
KENYA,PWRNGS003,CO2,2048,0.1725
KENYA,PWRNGS003,CO2,2049,0.1587
KENYA,PWRNGS003,CO2,2050,0.1133
KENYA,PWRNGS004,CO2,2031,0.0012
KENYA,PWRNGS004,CO2,2032,0.0084
KENYA,PWRNGS004,CO2,2033,0.0277
KENYA,PWRNGS004,CO2,2034,0.0988
KENYA,PWRNGS004,CO2,2035,0.1546
KENYA,PWRNGS004,CO2,2036,0.1652
KENYA,PWRNGS004,CO2,2037,0.1588
