r,l,f,y,Demand
KENYA,TS01,COMELC,2019,0.2241
KENYA,TS01,COMELC,2020,0.228
KENYA,TS01,COMELC,2021,0.2383
KENYA,TS01,COMELC,2022,0.2463
KENYA,TS01,COMELC,2023,0.2538
KENYA,TS01,COMELC,2024,0.2625
KENYA,TS01,COMELC,2025,0.272
KENYA,TS01,COMELC,2026,0.282
KENYA,TS01,COMELC,2027,0.2983
KENYA,TS01,COMELC,2028,0.3155
KENYA,TS01,COMELC,2029,0.3352
KENYA,TS01,COMELC,2030,0.3564
KENYA,TS01,COMELC,2031,0.3763
KENYA,TS01,COMELC,2032,0.3983
KENYA,TS01,COMELC,2033,0.4207
KENYA,TS01,COMELC,2034,0.4446
KENYA,TS01,COMELC,2035,0.4697
KENYA,TS01,COMELC,2036,0.4952
KENYA,TS01,COMELC,2037,0.5239
KENYA,TS01,COMELC,2038,0.5539
KENYA,TS01,COMELC,2039,0.5856
KENYA,TS01,COMELC,2040,0.6193
KENYA,TS01,COMELC,2041,0.6548
KENYA,TS01,COMELC,2042,0.6917
KENYA,TS01,COMELC,2043,0.7311
KENYA,TS01,COMELC,2044,0.7726
KENYA,TS01,COMELC,2045,0.8166
KENYA,TS01,COMELC,2046,0.863
KENYA,TS01,COMELC,2047,0.9121
KENYA,TS01,COMELC,2048,0.9639
KENYA,TS01,COMELC,2049,1.0187
KENYA,TS01,COMELC,2050,1.0766
KENYA,TS01,INDELC,2019,0.772
KENYA,TS01,INDELC,2020,0.7855
KENYA,TS01,INDELC,2021,0.8211
KENYA,TS01,INDELC,2022,0.8486
KENYA,TS01,INDELC,2023,0.8745
KENYA,TS01,INDELC,2024,0.9045
KENYA,TS01,INDELC,2025,0.9371
KENYA,TS01,INDELC,2026,0.9715
KENYA,TS01,INDELC,2027,1.0275
KENYA,TS01,INDELC,2028,1.087
KENYA,TS01,INDELC,2029,1.1549
KENYA,TS01,INDELC,2030,1.2279
KENYA,TS01,INDELC,2031,1.2963
KENYA,TS01,INDELC,2032,1.3722
KENYA,TS01,INDELC,2033,1.4493
KENYA,TS01,INDELC,2034,1.5316
KENYA,TS01,INDELC,2035,1.618
KENYA,TS01,INDELC,2036,1.7061
KENYA,TS01,INDELC,2037,1.805
KENYA,TS01,INDELC,2038,1.9081
KENYA,TS01,INDELC,2039,2.0176
KENYA,TS01,INDELC,2040,2.1336
KENYA,TS01,INDELC,2041,2.2559
KENYA,TS01,INDELC,2042,2.3831
KENYA,TS01,INDELC,2043,2.5186
KENYA,TS01,INDELC,2044,2.6618
KENYA,TS01,INDELC,2045,2.8131
KENYA,TS01,INDELC,2046,2.9731
KENYA,TS01,INDELC,2047,3.1421
KENYA,TS01,INDELC,2048,3.3208
KENYA,TS01,INDELC,2049,3.5096
KENYA,TS01,INDELC,2050,3.7091
KENYA,TS01,RESELC,2019,0.4937
KENYA,TS01,RESELC,2020,0.5023
KENYA,TS01,RESELC,2021,0.5252
KENYA,TS01,RESELC,2022,0.5427
KENYA,TS01,RESELC,2023,0.5593
KENYA,TS01,RESELC,2024,0.5784
KENYA,TS01,RESELC,2025,0.5993
KENYA,TS01,RESELC,2026,0.6213
KENYA,TS01,RESELC,2027,0.6571
KENYA,TS01,RESELC,2028,0.6952
KENYA,TS01,RESELC,2029,0.7386
KENYA,TS01,RESELC,2030,0.7853
KENYA,TS01,RESELC,2031,0.8291
KENYA,TS01,RESELC,2032,0.8776
KENYA,TS01,RESELC,2033,0.9269
KENYA,TS01,RESELC,2034,0.9795
