r,l,t,m,y,RateOfActivity
KENYA,TS04,BESS_TECH,1,2024,0.2048
KENYA,TS05,BESS_TECH,1,2024,0.2048
KENYA,TS10,BESS_TECH,1,2024,0.2048
KENYA,TS17,BESS_TECH,1,2024,0.2048
KENYA,TS18,BESS_TECH,1,2024,0.1385
KENYA,TS19,BESS_TECH,1,2024,0.0693
KENYA,TS21,BESS_TECH,1,2024,0.2048
KENYA,TS23,BESS_TECH,1,2024,0.2048
KENYA,TS26,BESS_TECH,1,2024,0.2048
KENYA,TS29,BESS_TECH,1,2024,0.2048
KENYA,TS30,BESS_TECH,1,2024,0.2048
KENYA,TS31,BESS_TECH,1,2024,0.1447
KENYA,TS32,BESS_TECH,1,2024,0.2048
KENYA,TS36,BESS_TECH,1,2024,0.2048
KENYA,TS37,BESS_TECH,1,2024,0.0438
KENYA,TS41,BESS_TECH,1,2024,0.2048
KENYA,TS43,BESS_TECH,1,2024,0.0693
KENYA,TS47,BESS_TECH,1,2024,0.2048
KENYA,TS03,BESS_TECH,2,2024,0.2048
KENYA,TS06,BESS_TECH,2,2024,0.006
KENYA,TS08,BESS_TECH,2,2024,0.1385
KENYA,TS11,BESS_TECH,2,2024,0.2048
KENYA,TS16,BESS_TECH,2,2024,0.2048
KENYA,TS20,BESS_TECH,2,2024,0.2048
KENYA,TS22,BESS_TECH,2,2024,0.2048
KENYA,TS24,BESS_TECH,2,2024,0.2048
KENYA,TS27,BESS_TECH,2,2024,0.1355
KENYA,TS28,BESS_TECH,2,2024,0.2048
KENYA,TS33,BESS_TECH,2,2024,0.2048
KENYA,TS34,BESS_TECH,2,2024,0.2048
KENYA,TS35,BESS_TECH,2,2024,0.0183
KENYA,TS40,BESS_TECH,2,2024,0.1671
KENYA,TS46,BESS_TECH,2,2024,0.2048
KENYA,TS04,BESS_TECH,1,2025,0.7478
KENYA,TS05,BESS_TECH,1,2025,2.0759
KENYA,TS07,BESS_TECH,1,2025,1.0681
KENYA,TS10,BESS_TECH,1,2025,0.3186
KENYA,TS12,BESS_TECH,1,2025,0.0596
KENYA,TS13,BESS_TECH,1,2025,1.9607
KENYA,TS19,BESS_TECH,1,2025,2.7221
KENYA,TS21,BESS_TECH,1,2025,2.2148
KENYA,TS26,BESS_TECH,1,2025,0.3813
KENYA,TS29,BESS_TECH,1,2025,2.7221
KENYA,TS30,BESS_TECH,1,2025,2.7221
KENYA,TS31,BESS_TECH,1,2025,2.7221
KENYA,TS36,BESS_TECH,1,2025,2.7221
KENYA,TS41,BESS_TECH,1,2025,2.2294
KENYA,TS03,BESS_TECH,2,2025,1.208
KENYA,TS08,BESS_TECH,2,2025,0.2653
KENYA,TS09,BESS_TECH,2,2025,0.2601
KENYA,TS11,BESS_TECH,2,2025,2.7221
KENYA,TS14,BESS_TECH,2,2025,0.1169
KENYA,TS16,BESS_TECH,2,2025,2.6007
KENYA,TS17,BESS_TECH,2,2025,0.4226
KENYA,TS20,BESS_TECH,2,2025,2.7221
KENYA,TS22,BESS_TECH,2,2025,2.7221
KENYA,TS23,BESS_TECH,2,2025,1.1039
KENYA,TS24,BESS_TECH,2,2025,2.7221
KENYA,TS27,BESS_TECH,2,2025,1.5836
KENYA,TS28,BESS_TECH,2,2025,1.314
KENYA,TS32,BESS_TECH,2,2025,1.5668
KENYA,TS33,BESS_TECH,2,2025,2.7221
KENYA,TS34,BESS_TECH,2,2025,0.719
KENYA,TS35,BESS_TECH,2,2025,0.2699
KENYA,TS40,BESS_TECH,2,2025,1.1147
KENYA,TS04,BESS_TECH,1,2026,0.6197
KENYA,TS05,BESS_TECH,1,2026,1.5875
KENYA,TS07,BESS_TECH,1,2026,1.9585
KENYA,TS09,BESS_TECH,1,2026,0.1667
KENYA,TS12,BESS_TECH,1,2026,0.3856
KENYA,TS14,BESS_TECH,1,2026,2.4639
KENYA,TS15,BESS_TECH,1,2026,0.3171
KENYA,TS17,BESS_TECH,1,2026,0.7141
KENYA,TS18,BESS_TECH,1,2026,0.1018
KENYA,TS19,BESS_TECH,1,2026,2.1132
KENYA,TS23,BESS_TECH,1,2026,2.7221
KENYA,TS26,BESS_TECH,1,2026,2.7221
KENYA,TS29,BESS_TECH,1,2026,2.7221
KENYA,TS30,BESS_TECH,1,2026,2.7221
KENYA,TS32,BESS_TECH,1,2026,2.7221
KENYA,TS36,BESS_TECH,1,2026,2.7221
KENYA,TS41,BESS_TECH,1,2026,2.2013
KENYA,TS43,BESS_TECH,1,2026,1.2135
KENYA,TS47,BESS_TECH,1,2026,1.8566
KENYA,TS06,BESS_TECH,2,2026,1.9124
KENYA,TS10,BESS_TECH,2,2026,2.6772
KENYA,TS11,BESS_TECH,2,2026,1.4989
KENYA,TS16,BESS_TECH,2,2026,2.7221
KENYA,TS20,BESS_TECH,2,2026,2.7221
KENYA,TS22,BESS_TECH,2,2026,0.461
KENYA,TS24,BESS_TECH,2,2026,2.7221
KENYA,TS25,BESS_TECH,2,2026,0.8693
KENYA,TS27,BESS_TECH,2,2026,2.7221
KENYA,TS28,BESS_TECH,2,2026,0.076
KENYA,TS33,BESS_TECH,2,2026,0.392
KENYA,TS34,BESS_TECH,2,2026,2.7221
KENYA,TS35,BESS_TECH,2,2026,1.4447
KENYA,TS39,BESS_TECH,2,2026,0.4835
KENYA,TS40,BESS_TECH,2,2026,0.3859
KENYA,TS46,BESS_TECH,2,2026,2.7221
KENYA,TS04,BESS_TECH,1,2027,1.3276
KENYA,TS05,BESS_TECH,1,2027,2.4208
KENYA,TS09,BESS_TECH,1,2027,0.5473
KENYA,TS12,BESS_TECH,1,2027,2.7221
KENYA,TS13,BESS_TECH,1,2027,2.2382
KENYA,TS19,BESS_TECH,1,2027,2.7221
KENYA,TS21,BESS_TECH,1,2027,0.9443
KENYA,TS23,BESS_TECH,1,2027,2.1536
KENYA,TS26,BESS_TECH,1,2027,2.7221
KENYA,TS29,BESS_TECH,1,2027,2.7221
KENYA,TS30,BESS_TECH,1,2027,2.7221
KENYA,TS32,BESS_TECH,1,2027,1.59
KENYA,TS36,BESS_TECH,1,2027,2.7221
KENYA,TS41,BESS_TECH,1,2027,2.2669
KENYA,TS47,BESS_TECH,1,2027,2.7221
KENYA,TS48,BESS_TECH,1,2027,0.9961
KENYA,TS01,BESS_TECH,2,2027,0.3558
KENYA,TS06,BESS_TECH,2,2027,2.7221
KENYA,TS10,BESS_TECH,2,2027,1.46
KENYA,TS11,BESS_TECH,2,2027,2.7221
KENYA,TS16,BESS_TECH,2,2027,2.7221
KENYA,TS17,BESS_TECH,2,2027,1.1729
KENYA,TS20,BESS_TECH,2,2027,2.7221
KENYA,TS22,BESS_TECH,2,2027,2.4727
KENYA,TS24,BESS_TECH,2,2027,2.7221
KENYA,TS25,BESS_TECH,2,2027,0.0557
KENYA,TS27,BESS_TECH,2,2027,2.7221
KENYA,TS28,BESS_TECH,2,2027,1.2787
KENYA,TS31,BESS_TECH,2,2027,0.0596
KENYA,TS34,BESS_TECH,2,2027,2.7221
KENYA,TS35,BESS_TECH,2,2027,0.754
KENYA,TS38,BESS_TECH,2,2027,1.5335
KENYA,TS46,BESS_TECH,2,2027,2.0973
KENYA,TS04,BESS_TECH,1,2028,1.5199
KENYA,TS05,BESS_TECH,1,2028,2.6206
KENYA,TS07,BESS_TECH,1,2028,0.0654
KENYA,TS08,BESS_TECH,1,2028,2.7221
KENYA,TS13,BESS_TECH,1,2028,2.1824
KENYA,TS19,BESS_TECH,1,2028,2.7221
KENYA,TS21,BESS_TECH,1,2028,0.7917
KENYA,TS23,BESS_TECH,1,2028,2.4136
KENYA,TS26,BESS_TECH,1,2028,2.7221
KENYA,TS29,BESS_TECH,1,2028,2.7221
KENYA,TS30,BESS_TECH,1,2028,2.7221
KENYA,TS32,BESS_TECH,1,2028,2.7221
KENYA,TS36,BESS_TECH,1,2028,2.7221
KENYA,TS41,BESS_TECH,1,2028,2.4143
KENYA,TS47,BESS_TECH,1,2028,2.7221
KENYA,TS48,BESS_TECH,1,2028,1.4066
KENYA,TS03,BESS_TECH,2,2028,1.9145
KENYA,TS10,BESS_TECH,2,2028,1.7073
KENYA,TS11,BESS_TECH,2,2028,0.8028
KENYA,TS16,BESS_TECH,2,2028,2.7221
