r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS01,2027,0.3558
KENYA,BESS_TECH,TS01,2029,1.3148
KENYA,BESS_TECH,TS01,2030,2.471
KENYA,BESS_TECH,TS01,2031,0.0857
KENYA,BESS_TECH,TS01,2032,1.4011
KENYA,BESS_TECH,TS01,2033,1.2207
KENYA,BESS_TECH,TS01,2041,0.8966
KENYA,BESS_TECH,TS01,2045,0.8231
KENYA,BESS_TECH,TS01,2047,2.7384
KENYA,BESS_TECH,TS01,2048,1.7488
KENYA,BESS_TECH,TS01,2050,0.7237
KENYA,BESS_TECH,TS02,2029,2.7221
KENYA,BESS_TECH,TS02,2031,0.1527
KENYA,BESS_TECH,TS02,2032,2.7221
KENYA,BESS_TECH,TS02,2033,2.7221
KENYA,BESS_TECH,TS02,2034,1.3155
KENYA,BESS_TECH,TS02,2037,0.1284
KENYA,BESS_TECH,TS02,2038,0.3528
KENYA,BESS_TECH,TS02,2039,0.6172
KENYA,BESS_TECH,TS02,2040,1.8923
KENYA,BESS_TECH,TS02,2041,2.0437
KENYA,BESS_TECH,TS02,2042,2.0437
KENYA,BESS_TECH,TS02,2043,0.0601
KENYA,BESS_TECH,TS02,2044,2.0437
KENYA,BESS_TECH,TS02,2045,6.7335
KENYA,BESS_TECH,TS02,2047,9.4235
KENYA,BESS_TECH,TS02,2048,9.4235
KENYA,BESS_TECH,TS02,2049,0.461
KENYA,BESS_TECH,TS03,2024,0.2048
KENYA,BESS_TECH,TS03,2025,1.208
KENYA,BESS_TECH,TS03,2028,1.9145
KENYA,BESS_TECH,TS03,2031,0.281
KENYA,BESS_TECH,TS03,2033,0.1757
KENYA,BESS_TECH,TS03,2034,0.9404
KENYA,BESS_TECH,TS03,2038,0.6527
KENYA,BESS_TECH,TS03,2039,0.8893
KENYA,BESS_TECH,TS03,2040,0.974
KENYA,BESS_TECH,TS03,2042,1.0519
KENYA,BESS_TECH,TS03,2043,2.0437
KENYA,BESS_TECH,TS03,2044,0.0301
KENYA,BESS_TECH,TS03,2046,6.2015
KENYA,BESS_TECH,TS03,2048,1.5022
KENYA,BESS_TECH,TS04,2024,0.2048
KENYA,BESS_TECH,TS04,2025,0.7478
KENYA,BESS_TECH,TS04,2026,0.6197
KENYA,BESS_TECH,TS04,2027,1.3276
KENYA,BESS_TECH,TS04,2028,1.5199
KENYA,BESS_TECH,TS04,2029,2.5946
KENYA,BESS_TECH,TS04,2030,2.2917
KENYA,BESS_TECH,TS04,2031,1.0414
KENYA,BESS_TECH,TS04,2032,2.7221
KENYA,BESS_TECH,TS04,2033,2.7153
KENYA,BESS_TECH,TS04,2034,1.1038
KENYA,BESS_TECH,TS04,2037,0.4654
KENYA,BESS_TECH,TS04,2038,0.6353
KENYA,BESS_TECH,TS04,2039,1.1806
KENYA,BESS_TECH,TS04,2040,1.8923
KENYA,BESS_TECH,TS04,2041,1.8141
KENYA,BESS_TECH,TS04,2042,2.0437
KENYA,BESS_TECH,TS04,2043,2.0437
KENYA,BESS_TECH,TS04,2044,2.0437
KENYA,BESS_TECH,TS04,2045,6.7335
KENYA,BESS_TECH,TS04,2046,7.7099
KENYA,BESS_TECH,TS04,2047,9.4235
KENYA,BESS_TECH,TS04,2048,9.4235
KENYA,BESS_TECH,TS04,2049,9.4235
KENYA,BESS_TECH,TS04,2050,12.1771
KENYA,BESS_TECH,TS05,2024,0.2048
KENYA,BESS_TECH,TS05,2025,2.0759
KENYA,BESS_TECH,TS05,2026,1.5875
KENYA,BESS_TECH,TS05,2027,2.4208
KENYA,BESS_TECH,TS05,2028,2.6206
KENYA,BESS_TECH,TS05,2029,2.7221
KENYA,BESS_TECH,TS05,2030,2.7221
KENYA,BESS_TECH,TS05,2031,0.4166
KENYA,BESS_TECH,TS05,2032,2.7221
KENYA,BESS_TECH,TS05,2033,2.7221
KENYA,BESS_TECH,TS05,2034,2.5174
KENYA,BESS_TECH,TS05,2037,1.1205
KENYA,BESS_TECH,TS05,2038,1.1806
KENYA,BESS_TECH,TS05,2039,1.1806
KENYA,BESS_TECH,TS05,2040,1.8923
KENYA,BESS_TECH,TS05,2041,2.0437
KENYA,BESS_TECH,TS05,2042,2.0437
KENYA,BESS_TECH,TS05,2043,2.0437
KENYA,BESS_TECH,TS05,2044,2.0437
KENYA,BESS_TECH,TS05,2045,2.6161
KENYA,BESS_TECH,TS05,2046,2.9151
KENYA,BESS_TECH,TS05,2047,3.1794
KENYA,BESS_TECH,TS05,2048,4.6949
KENYA,BESS_TECH,TS05,2049,6.5826
KENYA,BESS_TECH,TS05,2050,4.2138
KENYA,BESS_TECH,TS06,2024,0.006
KENYA,BESS_TECH,TS06,2026,1.9124
KENYA,BESS_TECH,TS06,2027,2.7221
KENYA,BESS_TECH,TS06,2031,0.241
KENYA,BESS_TECH,TS06,2044,2.0437
KENYA,BESS_TECH,TS06,2045,2.5001
KENYA,BESS_TECH,TS06,2049,7.8355
KENYA,BESS_TECH,TS06,2050,12.1771
KENYA,BESS_TECH,TS07,2025,1.0681
KENYA,BESS_TECH,TS07,2026,1.9585
KENYA,BESS_TECH,TS07,2028,0.0654
KENYA,BESS_TECH,TS07,2029,0.2145
KENYA,BESS_TECH,TS07,2031,2.5641
KENYA,BESS_TECH,TS07,2032,1.9481
KENYA,BESS_TECH,TS07,2033,2.1553
KENYA,BESS_TECH,TS07,2034,0.8923
KENYA,BESS_TECH,TS07,2037,0.7813
KENYA,BESS_TECH,TS07,2040,1.2523
KENYA,BESS_TECH,TS07,2041,2.0437
KENYA,BESS_TECH,TS07,2042,2.0437
KENYA,BESS_TECH,TS07,2043,0.9443
KENYA,BESS_TECH,TS07,2049,3.7494
KENYA,BESS_TECH,TS07,2050,0.8876
KENYA,BESS_TECH,TS08,2024,0.1385
KENYA,BESS_TECH,TS08,2025,0.2653
KENYA,BESS_TECH,TS08,2028,2.7221
KENYA,BESS_TECH,TS08,2031,2.1938
