r,s,y,StorageLevelYearStart
KENYA,BESS001,2020,0.0245
KENYA,BESS001,2021,0.0245
KENYA,BESS001,2022,0.1449
KENYA,BESS001,2023,0.1449
KENYA,BESS001,2024,0.314
KENYA,BESS001,2025,0.4955
KENYA,BESS001,2026,0.4955
KENYA,BESS001,2027,0.4955
KENYA,BESS001,2028,0.5591
KENYA,BESS001,2029,0.587
KENYA,BESS001,2030,0.5625
KENYA,BESS001,2031,0.5625
KENYA,BESS001,2032,0.5617
KENYA,BESS001,2033,0.6019
KENYA,BESS001,2034,0.4327
KENYA,BESS001,2035,0.2513
KENYA,BESS001,2036,0.2513
KENYA,BESS001,2037,0.2977
KENYA,BESS001,2038,0.2341
KENYA,BESS001,2039,0.3289
KENYA,BESS001,2040,0.4921
KENYA,BESS001,2041,0.6076
KENYA,BESS001,2042,0.4881
KENYA,BESS001,2043,0.4479
KENYA,BESS001,2044,0.4479
KENYA,BESS001,2045,1.2634
KENYA,BESS001,2046,1.4511
KENYA,BESS001,2047,1.8186
KENYA,BESS001,2048,2.0058
KENYA,BESS001,2049,1.8832
KENYA,BESS001,2050,2.3764
KENYA,PHS001,2034,0.0002
KENYA,PHS001,2035,0.001
KENYA,PHS001,2036,0.0014
KENYA,PHS001,2037,0.0015
KENYA,PHS001,2038,0.0015
KENYA,PHS001,2039,0.0015
KENYA,PHS001,2040,0.0016
KENYA,PHS001,2041,0.0016
KENYA,PHS001,2042,0.0016
KENYA,PHS001,2043,0.0016
KENYA,PHS001,2044,0.0016
KENYA,PHS001,2045,0.0016
KENYA,PHS001,2046,0.0016
KENYA,PHS001,2047,0.0016
KENYA,PHS001,2048,0.0016
KENYA,PHS001,2049,0.0016
KENYA,PHS001,2050,0.0016
KENYA,PHS002,2038,0.0002
KENYA,PHS002,2039,0.0002
KENYA,PHS002,2040,0.0002
KENYA,PHS002,2041,0.0002
KENYA,PHS002,2042,0.0002
KENYA,PHS002,2043,0.0002
KENYA,PHS002,2044,0.0002
KENYA,PHS002,2045,0.0002
KENYA,PHS002,2046,0.0002
KENYA,PHS002,2047,0.0002
KENYA,PHS002,2048,0.0002
KENYA,PHS002,2049,0.0002
KENYA,PHS002,2050,0.0002
