r,e,y,AnnualEmissions
KENYA,CO2,2019,0.9485
KENYA,CO2,2020,1.0599
KENYA,CO2,2021,1.0566
KENYA,CO2,2022,0.2944
KENYA,CO2,2023,0.306
KENYA,CO2,2024,0.4389
KENYA,CO2,2025,0.336
KENYA,CO2,2026,0.1326
KENYA,CO2,2027,0.3225
KENYA,CO2,2028,0.4427
KENYA,CO2,2029,0.449
KENYA,CO2,2030,0.8006
KENYA,CO2,2031,0.9413
KENYA,CO2,2032,1.52
KENYA,CO2,2033,2.2671
KENYA,CO2,2034,2.7222
KENYA,CO2,2035,3.8822
KENYA,CO2,2036,2.8043
KENYA,CO2,2037,3.5179
KENYA,CO2,2038,5.2637
KENYA,CO2,2039,4.3326
KENYA,CO2,2040,3.6208
KENYA,CO2,2041,6.3279
KENYA,CO2,2042,5.979
KENYA,CO2,2043,6.9459
KENYA,CO2,2044,7.1682
KENYA,CO2,2045,7.6959
KENYA,CO2,2046,6.9094
KENYA,CO2,2047,7.4507
KENYA,CO2,2048,8.1154
KENYA,CO2,2049,8.9321
KENYA,CO2,2050,9.6561
