r,t,y,CapitalInvestment
KENYA,BESS_TECH,2028,88.2569
KENYA,BESS_TECH,2029,48.7217
KENYA,BESS_TECH,2030,114.1594
KENYA,BESS_TECH,2041,104.025
KENYA,BESS_TECH,2042,1.4534
KENYA,BESS_TECH,2043,243.5994
KENYA,BESS_TECH,2044,151.754
KENYA,BESS_TECH,2045,239.9515
KENYA,BESS_TECH,2046,128.4847
KENYA,BESS_TECH,2047,403.1927
KENYA,BESS_TECH,2048,26.6718
KENYA,BESS_TECH,2049,114.9881
KENYA,BESS_TECH,2050,180.6016
KENYA,PWRBIO001,2023,3.5
KENYA,PWRBIO001,2026,25.0
KENYA,PWRBIO001,2028,20.0
KENYA,PWRBIO001,2030,120.5
KENYA,PWRBIO001,2031,50.0
KENYA,PWRBIO001,2032,27.0
KENYA,PWRBIO001,2033,7.5
KENYA,PWRBIO001,2034,15.0
KENYA,PWRBIO001,2035,0.75
KENYA,PWRBIO001,2036,22.25
KENYA,PWRBIO001,2037,22.25
KENYA,PWRBIO001,2038,22.25
KENYA,PWRBIO001,2039,22.25
KENYA,PWRBIO001,2040,22.25
KENYA,PWRBIO001,2041,22.25
KENYA,PWRBIO001,2042,22.25
KENYA,PWRBIO001,2043,27.25
KENYA,PWRBIO001,2044,22.25
KENYA,PWRBIO001,2045,22.25
KENYA,PWRBIO001,2046,22.25
KENYA,PWRBIO001,2047,22.25
KENYA,PWRBIO001,2048,22.25
KENYA,PWRBIO001,2049,22.25
KENYA,PWRBIO001,2050,22.25
KENYA,PWRDIST,2019,734.3144
KENYA,PWRDIST,2020,82.3234
KENYA,PWRDIST,2021,212.0898
KENYA,PWRDIST,2022,161.5115
KENYA,PWRDIST,2023,141.7416
KENYA,PWRDIST,2024,172.9869
KENYA,PWRDIST,2025,191.7485
KENYA,PWRDIST,2026,477.2698
KENYA,PWRDIST,2027,541.8762
KENYA,PWRDIST,2028,601.4486
KENYA,PWRDIST,2029,650.9964
KENYA,PWRDIST,2030,672.1895
KENYA,PWRDIST,2031,747.0611
KENYA,PWRDIST,2032,831.4389
KENYA,PWRDIST,2033,890.0664
KENYA,PWRDIST,2034,981.7868
KENYA,PWRDIST,2035,1065.6845
KENYA,PWRDIST,2036,1168.5991
KENYA,PWRDIST,2037,1309.9174
KENYA,PWRDIST,2038,1427.5917
KENYA,PWRDIST,2039,1553.9065
KENYA,PWRDIST,2040,1695.3138
KENYA,PWRDIST,2041,1847.617
KENYA,PWRDIST,2042,1833.7405
KENYA,PWRDIST,2043,1948.5147
KENYA,PWRDIST,2044,2102.1681
KENYA,PWRDIST,2045,2273.9333
KENYA,PWRDIST,2046,2456.6281
KENYA,PWRDIST,2047,2650.3068
KENYA,PWRDIST,2048,2867.0303
KENYA,PWRDIST,2049,3097.3872
KENYA,PWRDIST,2050,3341.4867
KENYA,PWRGEO010,2023,120.365
KENYA,PWRGEO011,2022,280.3045
KENYA,PWRGEO013,2029,626.0002
KENYA,PWRGEO014,2029,531.6696
KENYA,PWRGEO015,2034,531.6696
KENYA,PWRGEO016,2036,531.6696
KENYA,PWRGEO017,2028,102.5
KENYA,PWRGEO018,2039,222.06
KENYA,PWRGEO019,2037,343.9
KENYA,PWRGEO020,2040,344.0
KENYA,PWRGEO021,2040,343.9
KENYA,PWRGEO024,2031,344.0
KENYA,PWRGEO025,2040,343.9
KENYA,PWRGEO026,2040,343.9
KENYA,PWRGEO027,2025,120.365
KENYA,PWRGEO028,2028,120.365
KENYA,PWRGEO029,2038,343.9
KENYA,PWRGEO030,2039,343.9
KENYA,PWRGEO031,2040,343.9
KENYA,PWRGEO033,2025,22.0
KENYA,PWRGEO034,2040,125.825
KENYA,PWRGEO035,2031,125.825
KENYA,PWRGEO038,2026,22.0
KENYA,PWRGEO042,2039,120.0
KENYA,PWRGEO049,2025,45.2941
KENYA,PWRGEO049,2050,45.2941
KENYA,PWRGEO050,2025,45.2941
KENYA,PWRGEO050,2050,45.2941
KENYA,PWRGEO051,2025,45.2941
KENYA,PWRGEO051,2050,45.2941
KENYA,PWRGEO101,2026,54.4852
KENYA,PWRGEO101,2027,59.2254
KENYA,PWRGEO101,2028,64.378
KENYA,PWRGEO101,2029,69.9789
KENYA,PWRGEO101,2030,76.0671
KENYA,PWRGEO101,2031,82.6849
KENYA,PWRGEO101,2032,89.8785
KENYA,PWRGEO101,2033,97.6979
KENYA,PWRGEO101,2034,106.1976
KENYA,PWRGEO101,2035,115.4368
KENYA,PWRGEO101,2036,125.4798
KENYA,PWRGEO101,2037,136.3966
KENYA,PWRGEO101,2038,148.2631
KENYA,PWRGEO101,2039,161.162
KENYA,PWRGEO101,2040,175.1831
KENYA,PWRGEO101,2041,190.424
KENYA,PWRGEO101,2042,206.9909
KENYA,PWRGEO101,2043,224.9991
KENYA,PWRGEO101,2044,244.574
KENYA,PWRGEO101,2045,265.852
KENYA,PWRGEO101,2046,288.9811
KENYA,PWRGEO101,2047,314.1224
KENYA,PWRGEO101,2048,341.4511
KENYA,PWRGEO101,2049,371.1574
KENYA,PWRGEO101,2050,403.448
KENYA,PWRGEO102,2026,595.6829
KENYA,PWRGEO102,2027,330.5655
KENYA,PWRGEO102,2028,108.9704
KENYA,PWRGEO102,2029,108.9704
KENYA,PWRGEO102,2030,108.9704
KENYA,PWRGEO102,2031,245.1834
KENYA,PWRGEO102,2032,179.8012
KENYA,PWRGEO102,2033,179.8012
KENYA,PWRGEO102,2034,179.8012
KENYA,PWRGEO102,2035,239.7349
KENYA,PWRGEO102,2036,239.7349
KENYA,PWRGEO102,2037,299.6686
KENYA,PWRGEO102,2038,239.7349
KENYA,PWRGEO102,2039,359.6023
KENYA,PWRGEO102,2040,359.6023
KENYA,PWRGEO102,2041,359.6023
KENYA,PWRGEO102,2042,479.4698
KENYA,PWRGEO102,2043,479.4698
KENYA,PWRGEO102,2044,539.4035
KENYA,PWRGEO102,2045,599.3372
KENYA,PWRGEO102,2046,659.2709
KENYA,PWRGEO102,2047,719.2046
KENYA,PWRGEO102,2048,779.1384
KENYA,PWRGEO102,2049,899.0058
KENYA,PWRGEO102,2050,958.9395
KENYA,PWRHYD010,2037,43.0351
KENYA,PWRHYD010,2038,266.7221
KENYA,PWRHYD010,2043,199.7614
KENYA,PWRHYD010,2044,251.9621
KENYA,PWRHYD010,2045,325.3975
KENYA,PWRHYD010,2046,154.0377
KENYA,PWRHYD011,2035,114.6727
KENYA,PWRHYD011,2037,213.8174
KENYA,PWRHYD015,2033,542.2883
KENYA,PWRHYD016,2023,25.4351
KENYA,PWRHYD016,2024,8.7106
KENYA,PWRHYD016,2025,1.0453
KENYA,PWRHYD016,2026,86.4096
KENYA,PWRHYD016,2027,38.3269
KENYA,PWRHYD016,2028,10.8012
KENYA,PWRHYD016,2029,25.7835
KENYA,PWRHYD016,2030,127.5239
KENYA,PWRHYD016,2031,97.9077
KENYA,PWRHYD016,2032,63.4135
KENYA,PWRHYD016,2033,112.1932
KENYA,PWRHYD016,2034,87.4549
KENYA,PWRHYD016,2035,110.451
KENYA,PWRHYD016,2036,97.2109
KENYA,PWRHYD016,2037,12.5433
KENYA,PWRHYD016,2038,13.5886
KENYA,PWRHYD016,2039,14.6339
KENYA,PWRHYD016,2040,16.376
KENYA,PWRHYD016,2041,17.7697
KENYA,PWRHYD016,2042,19.5119
KENYA,PWRHYD016,2043,21.254
KENYA,PWRHYD016,2044,22.9961
KENYA,PWRHYD016,2045,25.4351
KENYA,PWRHYD016,2046,27.8741
KENYA,PWRHYD016,2047,30.3131
KENYA,PWRHYD016,2048,33.1005
KENYA,PWRHYD016,2049,36.2363
KENYA,PWRHYD016,2050,39.7206
KENYA,PWRHYD101,2019,276.5382
KENYA,PWRHYD101,2020,74.9313
KENYA,PWRHYD101,2021,81.9374
KENYA,PWRHYD101,2022,89.5985
KENYA,PWRHYD101,2023,97.976
KENYA,PWRHYD101,2024,107.1367
KENYA,PWRHYD101,2025,117.154
KENYA,PWRHYD101,2026,128.1079
KENYA,PWRHYD101,2027,140.086
KENYA,PWRHYD101,2028,153.184
KENYA,PWRHYD101,2029,167.5067
KENYA,PWRHYD101,2030,183.1686
KENYA,PWRHYD101,2031,200.2949
KENYA,PWRHYD101,2032,219.0224
KENYA,PWRHYD101,2033,239.501
KENYA,PWRHYD101,2034,261.8944
KENYA,PWRHYD101,2035,286.3815
KENYA,PWRHYD101,2036,313.1582
KENYA,PWRHYD101,2037,342.4385
KENYA,PWRHYD101,2038,374.4564
KENYA,PWRHYD101,2039,409.4681
KENYA,PWRHYD101,2040,447.7534
KENYA,PWRHYD101,2041,489.6183
KENYA,PWRHYD101,2042,535.3977
KENYA,PWRHYD101,2043,585.4573
KENYA,PWRHYD101,2044,640.1976
KENYA,PWRHYD101,2045,700.0561
KENYA,PWRHYD101,2046,765.5113
KENYA,PWRHYD101,2047,837.0866
KENYA,PWRHYD101,2048,915.3542
KENYA,PWRNGS002,2031,172.6836
KENYA,PWRNGS002,2032,333.3152
KENYA,PWRNGS003,2041,505.9988
KENYA,PWRNGS004,2027,158.7066
KENYA,PWRNGS004,2028,12.7214
KENYA,PWRNGS004,2047,158.7066
KENYA,PWRNGS004,2048,12.7214
KENYA,PWRNGS005,2032,8.2627
KENYA,PWRNGS005,2034,60.3085
KENYA,PWRNGS006,2034,68.5712
KENYA,PWRNGS009,2030,119.9996
KENYA,PWRNGS009,2050,30.5604
KENYA,PWRNGS010,2031,0.0964
KENYA,PWRNGS010,2035,119.9032
KENYA,PWRNGS011,2034,119.9996
KENYA,PWRNGS018,2031,55.4902
KENYA,PWRNGS018,2033,50.2981
KENYA,PWRNGS018,2034,39.8714
KENYA,PWRNGS018,2035,189.7391
KENYA,PWRNGS018,2036,4.7001
KENYA,PWRNGS018,2037,117.1853
KENYA,PWRNGS018,2038,76.6283
KENYA,PWRNGS018,2039,38.5859
KENYA,PWRNGS018,2040,155.3849
KENYA,PWRNGS018,2041,122.0567
KENYA,PWRNGS018,2042,142.4567
KENYA,PWRNGS018,2043,166.3709
