r,t,y,DiscountedSalvageValue
KENYA,BESS_TECH,2042,0.0135
KENYA,BESS_TECH,2043,4.3489
KENYA,BESS_TECH,2044,3.9001
KENYA,BESS_TECH,2045,7.8959
KENYA,BESS_TECH,2046,5.0782
KENYA,BESS_TECH,2047,18.3856
KENYA,BESS_TECH,2048,1.3651
KENYA,BESS_TECH,2049,6.4743
KENYA,BESS_TECH,2050,11.0183
KENYA,PWRBIO001,2023,0.0389
KENYA,PWRBIO001,2026,0.6145
KENYA,PWRBIO001,2028,0.6365
KENYA,PWRBIO001,2030,4.5717
KENYA,PWRBIO001,2031,2.0313
KENYA,PWRBIO001,2032,1.1635
KENYA,PWRBIO001,2033,0.3402
KENYA,PWRBIO001,2034,0.7116
KENYA,PWRBIO001,2035,0.037
KENYA,PWRBIO001,2036,1.1371
KENYA,PWRBIO001,2037,1.1729
KENYA,PWRBIO001,2038,1.2058
KENYA,PWRBIO001,2039,1.2361
KENYA,PWRBIO001,2040,1.2638
KENYA,PWRBIO001,2041,1.2893
KENYA,PWRBIO001,2042,1.3127
KENYA,PWRBIO001,2043,1.634
KENYA,PWRBIO001,2044,1.3539
KENYA,PWRBIO001,2045,1.372
KENYA,PWRBIO001,2046,1.3887
KENYA,PWRBIO001,2047,1.404
KENYA,PWRBIO001,2048,1.418
KENYA,PWRBIO001,2049,1.4309
KENYA,PWRBIO001,2050,1.4427
KENYA,PWRDIST,2019,46.2115
KENYA,PWRDIST,2020,5.198
KENYA,PWRDIST,2021,13.4324
KENYA,PWRDIST,2022,10.2577
KENYA,PWRDIST,2023,9.0251
KENYA,PWRDIST,2024,11.0403
KENYA,PWRDIST,2025,12.264
KENYA,PWRDIST,2026,30.5856
KENYA,PWRDIST,2027,34.7884
KENYA,PWRDIST,2028,38.6767
KENYA,PWRDIST,2029,41.9263
KENYA,PWRDIST,2030,43.3512
KENYA,PWRDIST,2031,48.2412
KENYA,PWRDIST,2032,53.7526
KENYA,PWRDIST,2033,57.6044
KENYA,PWRDIST,2034,63.6029
KENYA,PWRDIST,2035,69.1002
KENYA,PWRDIST,2036,75.8359
KENYA,PWRDIST,2037,85.0712
KENYA,PWRDIST,2038,92.778
KENYA,PWRDIST,2039,101.0515
KENYA,PWRDIST,2040,110.3119
KENYA,PWRDIST,2041,120.2868
KENYA,PWRDIST,2042,119.4423
KENYA,PWRDIST,2043,126.9757
KENYA,PWRDIST,2044,137.0455
KENYA,PWRDIST,2045,148.2999
KENYA,PWRDIST,2046,160.2709
KENYA,PWRDIST,2047,172.9621
KENYA,PWRDIST,2048,187.161
KENYA,PWRDIST,2049,202.2536
KENYA,PWRDIST,2050,218.2471
KENYA,PWRGEO013,2029,10.4724
KENYA,PWRGEO014,2029,8.8943
KENYA,PWRGEO015,2034,19.4857
KENYA,PWRGEO016,2036,22.6093
KENYA,PWRGEO017,2028,1.1911
KENYA,PWRGEO018,2039,11.0268
KENYA,PWRGEO019,2037,15.5125
KENYA,PWRGEO020,2040,17.7698
KENYA,PWRGEO021,2040,17.7646
KENYA,PWRGEO024,2031,8.8502
KENYA,PWRGEO025,2040,17.7646
KENYA,PWRGEO026,2040,17.7646
KENYA,PWRGEO028,2028,1.3987
KENYA,PWRGEO029,2038,16.328
KENYA,PWRGEO030,2039,17.0769
KENYA,PWRGEO031,2040,17.7646
KENYA,PWRGEO034,2040,6.4997
KENYA,PWRGEO035,2031,3.2371
KENYA,PWRGEO042,2039,5.9588
KENYA,PWRGEO049,2050,2.9236
KENYA,PWRGEO050,2050,2.9236
KENYA,PWRGEO051,2050,2.9236
KENYA,PWRGEO101,2027,0.3588
KENYA,PWRGEO101,2028,0.7481
KENYA,PWRGEO101,2029,1.1707
KENYA,PWRGEO101,2030,1.6293
KENYA,PWRGEO101,2031,2.1273
KENYA,PWRGEO101,2032,2.6678
KENYA,PWRGEO101,2033,3.2548
KENYA,PWRGEO101,2034,3.8921
KENYA,PWRGEO101,2035,4.5843
KENYA,PWRGEO101,2036,5.336
KENYA,PWRGEO101,2037,6.1525
KENYA,PWRGEO101,2038,7.0394
KENYA,PWRGEO101,2039,8.0028
KENYA,PWRGEO101,2040,9.0493
KENYA,PWRGEO101,2041,10.1863
KENYA,PWRGEO101,2042,11.4215
KENYA,PWRGEO101,2043,12.7636
KENYA,PWRGEO101,2044,14.2218
KENYA,PWRGEO101,2045,15.8062
KENYA,PWRGEO101,2046,17.5278
KENYA,PWRGEO101,2047,19.3985
KENYA,PWRGEO101,2048,21.4314
KENYA,PWRGEO101,2049,23.6405
KENYA,PWRGEO101,2050,26.0411
KENYA,PWRGEO102,2027,2.0026
KENYA,PWRGEO102,2028,1.2663
KENYA,PWRGEO102,2029,1.823
KENYA,PWRGEO102,2030,2.3341
KENYA,PWRGEO102,2031,6.3079
KENYA,PWRGEO102,2032,5.337
KENYA,PWRGEO102,2033,5.99
KENYA,PWRGEO102,2034,6.5897
KENYA,PWRGEO102,2035,9.5205
KENYA,PWRGEO102,2036,10.1947
KENYA,PWRGEO102,2037,13.5173
KENYA,PWRGEO102,2038,11.3824
KENYA,PWRGEO102,2039,17.8567
KENYA,PWRGEO102,2040,18.5758
KENYA,PWRGEO102,2041,19.2361
KENYA,PWRGEO102,2042,26.4566
KENYA,PWRGEO102,2043,27.199
KENYA,PWRGEO102,2044,31.3658
KENYA,PWRGEO102,2045,35.6335
KENYA,PWRGEO102,2046,39.9872
KENYA,PWRGEO102,2047,44.4142
KENYA,PWRGEO102,2048,48.9031
KENYA,PWRGEO102,2049,57.2613
KENYA,PWRGEO102,2050,61.8962
KENYA,PWRHYD010,2037,2.5907
KENYA,PWRHYD010,2038,16.2169
KENYA,PWRHYD010,2043,12.6143
KENYA,PWRHYD010,2044,16.0015
KENYA,PWRHYD010,2045,20.773
KENYA,PWRHYD010,2046,9.8805
