r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,1,1,1,2031,-0.6148
KENYA,BESS001,1,1,1,2033,-1.9777
KENYA,BESS001,1,1,1,2034,2.8798
KENYA,BESS001,1,1,1,2035,3.4611
KENYA,BESS001,1,1,1,2036,2.9036
KENYA,BESS001,1,1,1,2039,0.9072
KENYA,BESS001,1,1,1,2043,-7.0803
KENYA,BESS001,1,1,1,2044,-6.2314
KENYA,BESS001,1,1,1,2045,-6.828
KENYA,BESS001,1,1,1,2046,-32.639
KENYA,BESS001,1,1,1,2047,-48.8655
KENYA,BESS001,1,1,1,2048,-49.9637
KENYA,BESS001,1,1,1,2049,-54.8071
KENYA,BESS001,1,1,1,2050,-62.5899
KENYA,BESS001,1,1,2,2031,-0.1469
KENYA,BESS001,1,1,2,2037,0.1978
KENYA,BESS001,1,1,2,2038,-3.785
KENYA,BESS001,1,1,2,2041,1.3256
KENYA,BESS001,1,1,2,2042,0.1089
KENYA,BESS001,1,1,2,2045,16.7725
KENYA,BESS001,1,1,2,2046,31.1311
KENYA,BESS001,1,1,2,2047,30.8919
KENYA,BESS001,1,1,2,2048,29.7739
KENYA,BESS001,1,1,2,2049,35.8079
KENYA,BESS001,1,1,2,2050,62.5899
KENYA,BESS001,1,1,3,2029,0.3401
KENYA,BESS001,1,1,3,2032,-1.902
KENYA,BESS001,1,1,3,2036,3.9197
KENYA,BESS001,1,1,3,2037,6.7244
KENYA,BESS001,1,1,3,2038,-2.5929
KENYA,BESS001,1,1,3,2041,1.2167
KENYA,BESS001,1,1,3,2042,3.7037
KENYA,BESS001,1,1,3,2046,32.639
KENYA,BESS001,1,1,3,2047,48.8655
KENYA,BESS001,1,1,3,2048,49.9637
KENYA,BESS001,1,1,3,2049,54.8071
KENYA,BESS001,1,1,3,2050,62.5899
KENYA,BESS001,1,1,4,2028,-0.7117
KENYA,BESS001,1,1,4,2029,-0.9071
KENYA,BESS001,1,1,4,2030,1.2097
KENYA,BESS001,1,1,4,2031,0.0308
KENYA,BESS001,1,1,4,2032,1.23
KENYA,BESS001,1,1,4,2033,1.9968
KENYA,BESS001,1,1,4,2034,-6.7244
KENYA,BESS001,1,1,4,2035,-6.7244
KENYA,BESS001,1,1,4,2036,-6.7244
KENYA,BESS001,1,1,4,2037,-6.7244
KENYA,BESS001,1,1,4,2038,4.4204
KENYA,BESS001,1,1,4,2039,-0.8514
KENYA,BESS001,1,1,4,2041,-3.6515
KENYA,BESS001,1,1,4,2042,-3.7037
KENYA,BESS001,1,1,4,2043,9.022
KENYA,BESS001,1,1,4,2044,7.629
KENYA,BESS001,1,1,4,2045,3.329
KENYA,BESS001,1,1,4,2046,4.9887
KENYA,BESS001,1,1,4,2047,13.2849
KENYA,BESS001,1,1,4,2048,12.0484
KENYA,BESS001,1,1,4,2049,18.2396
KENYA,BESS001,1,1,4,2050,2.4966
KENYA,BESS001,1,1,5,2028,0.7612
KENYA,BESS001,1,1,5,2029,0.8087
KENYA,BESS001,1,1,5,2030,2.9104
KENYA,BESS001,1,1,5,2031,1.9732
KENYA,BESS001,1,1,5,2032,3.1633
KENYA,BESS001,1,1,5,2033,3.7905
KENYA,BESS001,1,1,5,2034,-5.0059
KENYA,BESS001,1,1,5,2035,-6.7244
KENYA,BESS001,1,1,5,2036,-6.7244
KENYA,BESS001,1,1,5,2037,-6.7244
KENYA,BESS001,1,1,5,2038,4.4204
KENYA,BESS001,1,1,5,2039,-0.9792
KENYA,BESS001,1,1,5,2041,-3.6515
KENYA,BESS001,1,1,5,2042,-3.7037
KENYA,BESS001,1,1,5,2043,7.2961
KENYA,BESS001,1,1,5,2044,3.1653
KENYA,BESS001,1,1,5,2045,-4.8192
KENYA,BESS001,1,1,5,2046,-7.7484
KENYA,BESS001,1,1,5,2048,5.7489
KENYA,BESS001,1,1,5,2049,-8.3933
KENYA,BESS001,1,1,5,2050,-4.9932
KENYA,BESS001,1,1,6,2028,0.448
KENYA,BESS001,1,1,6,2030,-3.6055
KENYA,BESS001,1,1,6,2033,-1.3104
KENYA,BESS001,1,1,6,2034,6.7244
KENYA,BESS001,1,1,6,2035,6.7244
KENYA,BESS001,1,1,6,2041,3.6515
KENYA,BESS001,1,1,6,2043,-2.9813
KENYA,BESS001,1,1,6,2045,-4.3603
KENYA,BESS001,1,1,6,2046,-32.639
KENYA,BESS001,1,1,6,2047,-48.8655
KENYA,BESS001,1,1,6,2048,-49.9637
KENYA,BESS001,1,1,6,2049,-54.8071
KENYA,BESS001,1,1,6,2050,-62.5899
KENYA,BESS001,1,2,1,2028,2.304
KENYA,BESS001,1,2,1,2030,2.2624
KENYA,BESS001,1,2,1,2031,4.8291
KENYA,BESS001,1,2,1,2032,1.3624
KENYA,BESS001,1,2,1,2033,2.8682
KENYA,BESS001,1,2,1,2035,4.8414
KENYA,BESS001,1,2,1,2036,1.9373
KENYA,BESS001,1,2,1,2037,2.7675
KENYA,BESS001,1,2,1,2038,1.5131
KENYA,BESS001,1,2,1,2039,1.6934
KENYA,BESS001,1,2,1,2042,-1.2527
KENYA,BESS001,1,2,1,2043,-9.4385
KENYA,BESS001,1,2,1,2044,-15.7471
KENYA,BESS001,1,2,1,2045,-22.7535
KENYA,BESS001,1,2,1,2046,-26.954
KENYA,BESS001,1,2,1,2047,-40.6497
KENYA,BESS001,1,2,1,2048,-49.6237
KENYA,BESS001,1,2,1,2049,-54.8071
KENYA,BESS001,1,2,1,2050,-54.5115
KENYA,BESS001,1,2,2,2030,-0.9983
KENYA,BESS001,1,2,2,2031,-1.6724
KENYA,BESS001,1,2,2,2035,-3.6672
KENYA,BESS001,1,2,2,2037,-2.0871
KENYA,BESS001,1,2,2,2038,4.4204
KENYA,BESS001,1,2,2,2043,0.5403
KENYA,BESS001,1,2,2,2044,18.3572
KENYA,BESS001,1,2,2,2045,27.5842
KENYA,BESS001,1,2,2,2046,32.639
KENYA,BESS001,1,2,2,2047,48.8655
KENYA,BESS001,1,2,2,2048,49.9637
KENYA,BESS001,1,2,2,2049,54.8071
KENYA,BESS001,1,2,2,2050,62.5899
KENYA,BESS001,1,2,3,2029,1.7732
KENYA,BESS001,1,2,3,2030,-0.253
KENYA,BESS001,1,2,3,2031,-0.7461
KENYA,BESS001,1,2,3,2035,-0.7916
KENYA,BESS001,1,2,3,2037,0.5505
KENYA,BESS001,1,2,3,2043,12.6531
KENYA,BESS001,1,2,3,2044,18.3572
KENYA,BESS001,1,2,3,2045,27.5842
KENYA,BESS001,1,2,3,2046,32.639
KENYA,BESS001,1,2,3,2047,48.8655
KENYA,BESS001,1,2,3,2048,49.9637
KENYA,BESS001,1,2,3,2049,54.8071
KENYA,BESS001,1,2,3,2050,62.5899
KENYA,BESS001,1,2,4,2028,-2.304
KENYA,BESS001,1,2,4,2029,-3.6053
KENYA,BESS001,1,2,4,2030,-1.3981
KENYA,BESS001,1,2,4,2031,-3.3072
KENYA,BESS001,1,2,4,2032,-2.965
KENYA,BESS001,1,2,4,2033,-0.8778
KENYA,BESS001,1,2,4,2034,-0.2454
KENYA,BESS001,1,2,4,2035,-0.3164
KENYA,BESS001,1,2,4,2036,0.4983
KENYA,BESS001,1,2,4,2038,-4.4204
KENYA,BESS001,1,2,4,2039,-0.9437
KENYA,BESS001,1,2,4,2041,3.6515
KENYA,BESS001,1,2,4,2042,3.7037
KENYA,BESS001,1,2,4,2043,0.729
KENYA,BESS001,1,2,4,2044,-3.2633
KENYA,BESS001,1,2,4,2045,-10.4696
KENYA,BESS001,1,2,4,2046,-11.9908
KENYA,BESS001,1,2,4,2047,-13.5054
KENYA,BESS001,1,2,4,2048,-12.4069
KENYA,BESS001,1,2,4,2049,-10.5525
KENYA,BESS001,1,2,4,2050,-5.7969
KENYA,BESS001,1,2,5,2028,-2.304
KENYA,BESS001,1,2,5,2029,-3.3616
KENYA,BESS001,1,2,5,2030,-1.6691
KENYA,BESS001,1,2,5,2031,-2.9849
KENYA,BESS001,1,2,5,2032,-2.2466
KENYA,BESS001,1,2,5,2033,-6.7244
KENYA,BESS001,1,2,5,2034,-6.7244
KENYA,BESS001,1,2,5,2035,-6.7244
KENYA,BESS001,1,2,5,2036,-6.7244
KENYA,BESS001,1,2,5,2037,-6.7244
KENYA,BESS001,1,2,5,2038,-2.1673
KENYA,BESS001,1,2,5,2039,-3.1192
KENYA,BESS001,1,2,5,2041,-3.6515
KENYA,BESS001,1,2,5,2042,-3.7037
KENYA,BESS001,1,2,5,2043,-6.9826
KENYA,BESS001,1,2,5,2044,-12.3637
KENYA,BESS001,1,2,5,2045,-9.0763
KENYA,BESS001,1,2,5,2046,-7.1852
KENYA,BESS001,1,2,5,2047,-30.748
KENYA,BESS001,1,2,5,2048,-12.768
KENYA,BESS001,1,2,5,2049,-13.4075
KENYA,BESS001,1,2,5,2050,-12.2913
KENYA,BESS001,1,2,6,2028,0.0678
KENYA,BESS001,1,2,6,2029,3.6053
KENYA,BESS001,1,2,6,2032,2.8063
KENYA,BESS001,1,2,6,2034,4.8809
KENYA,BESS001,1,2,6,2035,0.5444
KENYA,BESS001,1,2,6,2041,-2.4702
KENYA,BESS001,1,2,6,2043,-3.2324
KENYA,BESS001,1,2,6,2044,-10.7987
KENYA,BESS001,1,2,6,2045,-16.9411
KENYA,BESS001,1,2,6,2046,-22.9255
KENYA,BESS001,1,2,6,2047,-26.2249
KENYA,BESS001,1,2,6,2048,-25.2208
KENYA,BESS001,1,2,6,2049,-31.4604
KENYA,BESS001,1,2,6,2050,-62.5892
KENYA,BESS001,2,1,1,2028,1.1781
KENYA,BESS001,2,1,1,2031,1.7241
KENYA,BESS001,2,1,1,2032,0.6448
KENYA,BESS001,2,1,1,2033,0.6324
KENYA,BESS001,2,1,1,2036,3.4611
KENYA,BESS001,2,1,1,2037,3.4932
KENYA,BESS001,2,1,1,2039,1.2442
KENYA,BESS001,2,1,1,2046,-27.7815
KENYA,BESS001,2,1,1,2047,-42.9154
KENYA,BESS001,2,1,1,2048,-41.0948
KENYA,BESS001,2,1,1,2049,-48.8461
KENYA,BESS001,2,1,1,2050,-55.0339
KENYA,BESS001,2,1,2,2035,0.2713
KENYA,BESS001,2,1,2,2041,2.5233
KENYA,BESS001,2,1,2,2043,8.3173
KENYA,BESS001,2,1,2,2044,11.7764
KENYA,BESS001,2,1,2,2045,5.7502
KENYA,BESS001,2,1,2,2046,32.639
KENYA,BESS001,2,1,2,2047,47.3216
KENYA,BESS001,2,1,2,2048,49.9637
KENYA,BESS001,2,1,2,2049,54.8071
KENYA,BESS001,2,1,2,2050,62.5899
KENYA,BESS001,2,1,3,2029,0.1583
KENYA,BESS001,2,1,3,2033,1.6264
KENYA,BESS001,2,1,3,2034,4.7717
KENYA,BESS001,2,1,3,2035,3.3255
KENYA,BESS001,2,1,3,2042,1.306
KENYA,BESS001,2,1,3,2043,5.1051
KENYA,BESS001,2,1,3,2045,10.9061
KENYA,BESS001,2,1,3,2046,32.639
KENYA,BESS001,2,1,3,2047,48.8655
KENYA,BESS001,2,1,3,2048,49.9637
KENYA,BESS001,2,1,3,2049,54.8071
KENYA,BESS001,2,1,3,2050,62.5899
KENYA,BESS001,2,1,4,2028,-2.304
KENYA,BESS001,2,1,4,2029,-3.6053
KENYA,BESS001,2,1,4,2030,-2.6941
KENYA,BESS001,2,1,4,2031,-4.2347
KENYA,BESS001,2,1,4,2032,-3.3893
KENYA,BESS001,2,1,4,2033,-3.1175
KENYA,BESS001,2,1,4,2034,-6.7244
KENYA,BESS001,2,1,4,2035,-6.7244
KENYA,BESS001,2,1,4,2036,-6.7244
KENYA,BESS001,2,1,4,2037,-6.7244
KENYA,BESS001,2,1,4,2038,-3.2451
KENYA,BESS001,2,1,4,2039,-0.2797
KENYA,BESS001,2,1,4,2041,-0.0393
KENYA,BESS001,2,1,4,2042,-0.0788
KENYA,BESS001,2,1,4,2043,-7.3677
KENYA,BESS001,2,1,4,2044,-11.9566
KENYA,BESS001,2,1,4,2045,-16.8798
KENYA,BESS001,2,1,4,2046,-4.3423
KENYA,BESS001,2,1,4,2047,-6.8213
KENYA,BESS001,2,1,4,2048,-7.3626
KENYA,BESS001,2,1,4,2049,-8.5138
KENYA,BESS001,2,1,4,2050,-7.7559
KENYA,BESS001,2,1,5,2028,1.1248
KENYA,BESS001,2,1,5,2029,1.413
KENYA,BESS001,2,1,5,2030,4.1635
KENYA,BESS001,2,1,5,2031,3.3721
KENYA,BESS001,2,1,5,2032,4.8722
KENYA,BESS001,2,1,5,2033,-0.443
KENYA,BESS001,2,1,5,2034,-6.7244
KENYA,BESS001,2,1,5,2035,-6.7244
KENYA,BESS001,2,1,5,2036,-6.7244
KENYA,BESS001,2,1,5,2037,-6.7244
KENYA,BESS001,2,1,5,2038,4.4204
KENYA,BESS001,2,1,5,2039,-3.1192
KENYA,BESS001,2,1,5,2041,-3.6515
KENYA,BESS001,2,1,5,2042,-3.7037
KENYA,BESS001,2,1,5,2043,-12.6531
KENYA,BESS001,2,1,5,2044,6.5047
KENYA,BESS001,2,1,5,2045,-2.3541
KENYA,BESS001,2,1,5,2046,-5.6767
KENYA,BESS001,2,1,5,2047,-10.2586
KENYA,BESS001,2,1,5,2048,-11.496
KENYA,BESS001,2,1,5,2049,-11.5886
KENYA,BESS001,2,1,5,2050,-14.851
KENYA,BESS001,2,1,6,2029,3.6053
KENYA,BESS001,2,1,6,2030,0.8285
KENYA,BESS001,2,1,6,2034,4.1031
KENYA,BESS001,2,1,6,2035,6.7244
KENYA,BESS001,2,1,6,2036,6.7244
KENYA,BESS001,2,1,6,2037,6.6602
KENYA,BESS001,2,1,6,2038,1.4002
KENYA,BESS001,2,1,6,2045,-3.1326
KENYA,BESS001,2,1,6,2046,-32.639
KENYA,BESS001,2,1,6,2047,-43.0535
KENYA,BESS001,2,1,6,2048,-49.9637
KENYA,BESS001,2,1,6,2049,-47.3712
KENYA,BESS001,2,1,6,2050,-57.1623
KENYA,BESS001,2,2,1,2028,1.0996
KENYA,BESS001,2,2,1,2029,3.6053
KENYA,BESS001,2,2,1,2030,3.8122
KENYA,BESS001,2,2,1,2031,4.7849
KENYA,BESS001,2,2,1,2032,2.6623
KENYA,BESS001,2,2,1,2033,6.7244
KENYA,BESS001,2,2,1,2034,6.7244
KENYA,BESS001,2,2,1,2035,6.7244
KENYA,BESS001,2,2,1,2036,6.7244
KENYA,BESS001,2,2,1,2037,6.7244
KENYA,BESS001,2,2,1,2038,-0.065
KENYA,BESS001,2,2,1,2039,3.1192
KENYA,BESS001,2,2,1,2041,3.6515
KENYA,BESS001,2,2,1,2042,3.7037
KENYA,BESS001,2,2,1,2043,12.6531
KENYA,BESS001,2,2,1,2046,-1.4963
KENYA,BESS001,2,2,1,2047,1.1272
KENYA,BESS001,2,2,1,2048,0.828
KENYA,BESS001,2,2,1,2049,-3.4444
KENYA,BESS001,2,2,1,2050,-9.9195
KENYA,BESS001,2,2,2,2028,-2.304
KENYA,BESS001,2,2,2,2029,-3.6053
KENYA,BESS001,2,2,2,2030,-6.7244
KENYA,BESS001,2,2,2,2031,-6.7244
KENYA,BESS001,2,2,2,2032,-6.7244
KENYA,BESS001,2,2,2,2033,-6.7244
KENYA,BESS001,2,2,2,2034,-6.7244
KENYA,BESS001,2,2,2,2035,-6.7244
KENYA,BESS001,2,2,2,2036,-6.7244
KENYA,BESS001,2,2,2,2037,-6.7244
KENYA,BESS001,2,2,2,2038,-4.4204
KENYA,BESS001,2,2,2,2039,-3.1192
KENYA,BESS001,2,2,2,2041,-3.6515
KENYA,BESS001,2,2,2,2042,-3.7037
KENYA,BESS001,2,2,2,2043,-12.6531
KENYA,BESS001,2,2,2,2044,-18.3572
KENYA,BESS001,2,2,2,2045,-27.5842
KENYA,BESS001,2,2,2,2046,-32.639
KENYA,BESS001,2,2,2,2047,-48.8655
KENYA,BESS001,2,2,2,2048,-49.9637
KENYA,BESS001,2,2,2,2049,-54.8071
KENYA,BESS001,2,2,2,2050,-55.4878
KENYA,BESS001,2,2,3,2028,2.304
KENYA,BESS001,2,2,3,2029,1.7587
KENYA,BESS001,2,2,3,2032,0.0671
KENYA,BESS001,2,2,3,2033,0.0733
KENYA,BESS001,2,2,3,2034,5.3504
KENYA,BESS001,2,2,3,2035,6.7244
KENYA,BESS001,2,2,3,2036,6.7244
KENYA,BESS001,2,2,3,2037,6.7244
KENYA,BESS001,2,2,3,2039,3.1192
KENYA,BESS001,2,2,3,2041,3.6515
KENYA,BESS001,2,2,3,2042,3.7037
KENYA,BESS001,2,2,3,2043,12.6531
KENYA,BESS001,2,2,3,2044,9.126
KENYA,BESS001,2,2,3,2045,24.5568
KENYA,BESS001,2,2,3,2046,32.639
KENYA,BESS001,2,2,3,2047,48.8655
KENYA,BESS001,2,2,3,2048,49.9637
KENYA,BESS001,2,2,3,2049,54.8071
KENYA,BESS001,2,2,3,2050,62.5899
KENYA,BESS001,2,2,4,2028,-2.304
KENYA,BESS001,2,2,4,2029,-3.6053
KENYA,BESS001,2,2,4,2030,0.9428
KENYA,BESS001,2,2,4,2031,-0.495
KENYA,BESS001,2,2,4,2032,2.5434
KENYA,BESS001,2,2,4,2033,-2.8719
KENYA,BESS001,2,2,4,2034,-6.7244
KENYA,BESS001,2,2,4,2035,-6.7244
KENYA,BESS001,2,2,4,2036,-6.7244
KENYA,BESS001,2,2,4,2037,-6.7244
KENYA,BESS001,2,2,4,2038,4.4204
KENYA,BESS001,2,2,4,2039,-3.0513
KENYA,BESS001,2,2,4,2041,-3.5721
KENYA,BESS001,2,2,4,2042,-3.7037
KENYA,BESS001,2,2,4,2043,-12.378
KENYA,BESS001,2,2,4,2044,4.4676
KENYA,BESS001,2,2,4,2045,-2.7131
KENYA,BESS001,2,2,4,2046,-3.9271
KENYA,BESS001,2,2,4,2047,-6.2163
KENYA,BESS001,2,2,4,2048,-5.9094
KENYA,BESS001,2,2,4,2049,0.7046
KENYA,BESS001,2,2,4,2050,4.735
KENYA,BESS001,2,2,5,2028,1.3571
KENYA,BESS001,2,2,5,2029,2.0109
KENYA,BESS001,2,2,5,2030,6.7244
KENYA,BESS001,2,2,5,2031,6.7244
KENYA,BESS001,2,2,5,2032,6.7244
KENYA,BESS001,2,2,5,2033,5.5272
KENYA,BESS001,2,2,5,2034,-2.3696
KENYA,BESS001,2,2,5,2035,-6.4321
KENYA,BESS001,2,2,5,2036,-6.4321
KENYA,BESS001,2,2,5,2037,-6.4321
KENYA,BESS001,2,2,5,2038,4.4204
KENYA,BESS001,2,2,5,2039,-3.1192
KENYA,BESS001,2,2,5,2041,-3.6515
KENYA,BESS001,2,2,5,2042,-3.5427
KENYA,BESS001,2,2,5,2043,-12.6531
KENYA,BESS001,2,2,5,2044,18.3572
KENYA,BESS001,2,2,5,2045,14.377
KENYA,BESS001,2,2,5,2046,12.278
KENYA,BESS001,2,2,5,2047,9.1001
KENYA,BESS001,2,2,5,2048,9.3708
KENYA,BESS001,2,2,5,2049,8.7743
KENYA,BESS001,2,2,5,2050,9.3583
KENYA,BESS001,2,2,6,2028,-2.304
KENYA,BESS001,2,2,6,2029,-3.6053
KENYA,BESS001,2,2,6,2030,-6.7244
KENYA,BESS001,2,2,6,2031,-6.7244
KENYA,BESS001,2,2,6,2032,-6.7244
KENYA,BESS001,2,2,6,2033,-6.7244
KENYA,BESS001,2,2,6,2034,-6.7244
KENYA,BESS001,2,2,6,2035,-6.7244
KENYA,BESS001,2,2,6,2036,-6.7244
KENYA,BESS001,2,2,6,2037,-6.7244
KENYA,BESS001,2,2,6,2038,-4.4204
KENYA,BESS001,2,2,6,2039,-3.1192
KENYA,BESS001,2,2,6,2041,-3.6515
KENYA,BESS001,2,2,6,2042,-3.7037
KENYA,BESS001,2,2,6,2043,-12.6531
KENYA,BESS001,2,2,6,2044,-18.3572
KENYA,BESS001,2,2,6,2045,-27.5842
KENYA,BESS001,2,2,6,2046,-32.639
KENYA,BESS001,2,2,6,2047,-48.8655
KENYA,BESS001,2,2,6,2048,-49.9637
KENYA,BESS001,2,2,6,2049,-54.8071
KENYA,BESS001,2,2,6,2050,-62.5899
KENYA,BESS001,3,1,1,2028,-0.7793
KENYA,BESS001,3,1,1,2029,-3.6053
KENYA,BESS001,3,1,1,2032,-0.5799
KENYA,BESS001,3,1,1,2033,-2.2291
KENYA,BESS001,3,1,1,2034,-2.1389
KENYA,BESS001,3,1,1,2036,-1.7253
KENYA,BESS001,3,1,1,2037,-6.7244
KENYA,BESS001,3,1,1,2038,-0.5321
KENYA,BESS001,3,1,1,2039,-2.2125
KENYA,BESS001,3,1,1,2041,-3.0288
KENYA,BESS001,3,1,1,2042,-3.7037
KENYA,BESS001,3,1,1,2043,-12.6531
KENYA,BESS001,3,1,1,2044,-18.3572
KENYA,BESS001,3,1,1,2045,-27.5842
KENYA,BESS001,3,1,1,2046,-32.639
KENYA,BESS001,3,1,1,2047,-37.7198
KENYA,BESS001,3,1,1,2048,-41.7639
KENYA,BESS001,3,1,1,2049,-46.5297
KENYA,BESS001,3,1,1,2050,-51.4599
KENYA,BESS001,3,1,2,2028,2.304
KENYA,BESS001,3,1,2,2029,3.6053
KENYA,BESS001,3,1,2,2030,1.9518
KENYA,BESS001,3,1,2,2031,1.3606
KENYA,BESS001,3,1,2,2032,6.7244
KENYA,BESS001,3,1,2,2033,6.7244
KENYA,BESS001,3,1,2,2034,6.7244
KENYA,BESS001,3,1,2,2035,1.3349
KENYA,BESS001,3,1,2,2036,6.1176
KENYA,BESS001,3,1,2,2037,3.4464
KENYA,BESS001,3,1,2,2039,3.1192
KENYA,BESS001,3,1,2,2041,3.6515
KENYA,BESS001,3,1,2,2042,3.7037
KENYA,BESS001,3,1,2,2043,12.6531
KENYA,BESS001,3,1,2,2044,18.3572
KENYA,BESS001,3,1,2,2045,27.5842
KENYA,BESS001,3,1,2,2046,32.639
KENYA,BESS001,3,1,2,2047,48.8655
KENYA,BESS001,3,1,2,2048,48.7188
KENYA,BESS001,3,1,2,2049,50.2108
KENYA,BESS001,3,1,2,2050,44.7388
KENYA,BESS001,3,1,3,2028,-2.304
KENYA,BESS001,3,1,3,2029,-1.6546
KENYA,BESS001,3,1,3,2030,-5.4074
KENYA,BESS001,3,1,3,2031,-5.0909
KENYA,BESS001,3,1,3,2032,-6.7244
KENYA,BESS001,3,1,3,2033,-5.5664
KENYA,BESS001,3,1,3,2034,-6.7244
KENYA,BESS001,3,1,3,2035,-5.6355
KENYA,BESS001,3,1,3,2036,-6.7244
KENYA,BESS001,3,1,3,2037,-1.2658
KENYA,BESS001,3,1,3,2039,-3.1192
KENYA,BESS001,3,1,3,2041,-3.6515
KENYA,BESS001,3,1,3,2042,-3.4506
KENYA,BESS001,3,1,3,2043,-1.7638
KENYA,BESS001,3,1,3,2044,-0.9659
KENYA,BESS001,3,1,3,2045,-5.4106
KENYA,BESS001,3,1,3,2046,-0.9895
KENYA,BESS001,3,1,3,2048,15.0575
KENYA,BESS001,3,1,3,2049,18.2235
KENYA,BESS001,3,1,3,2050,27.8321
KENYA,BESS001,3,1,4,2029,0.6433
KENYA,BESS001,3,1,4,2030,-1.7815
KENYA,BESS001,3,1,4,2031,-1.8125
KENYA,BESS001,3,1,4,2032,-2.505
KENYA,BESS001,3,1,4,2033,-1.7788
KENYA,BESS001,3,1,4,2034,1.0796
KENYA,BESS001,3,1,4,2037,0.9319
KENYA,BESS001,3,1,4,2038,-1.4237
KENYA,BESS001,3,1,4,2039,1.7111
KENYA,BESS001,3,1,4,2041,2.6515
KENYA,BESS001,3,1,4,2042,3.2491
KENYA,BESS001,3,1,4,2043,-3.7191
KENYA,BESS001,3,1,4,2044,-7.3116
KENYA,BESS001,3,1,4,2045,4.6281
KENYA,BESS001,3,1,4,2046,3.4683
KENYA,BESS001,3,1,4,2047,1.9204
KENYA,BESS001,3,1,4,2048,3.5058
KENYA,BESS001,3,1,4,2049,5.006
KENYA,BESS001,3,1,4,2050,9.0159
KENYA,BESS001,3,1,5,2028,2.304
KENYA,BESS001,3,1,5,2029,3.6053
KENYA,BESS001,3,1,5,2030,6.7244
KENYA,BESS001,3,1,5,2031,6.7244
KENYA,BESS001,3,1,5,2032,6.7244
KENYA,BESS001,3,1,5,2033,6.7244
KENYA,BESS001,3,1,5,2034,4.1646
KENYA,BESS001,3,1,5,2035,4.7479
KENYA,BESS001,3,1,5,2036,5.998
KENYA,BESS001,3,1,5,2037,6.7244
KENYA,BESS001,3,1,5,2038,4.4204
KENYA,BESS001,3,1,5,2039,3.1192
KENYA,BESS001,3,1,5,2041,3.6515
KENYA,BESS001,3,1,5,2042,3.7037
KENYA,BESS001,3,1,5,2043,12.6531
KENYA,BESS001,3,1,5,2044,17.4788
KENYA,BESS001,3,1,5,2045,27.5842
KENYA,BESS001,3,1,5,2046,29.734
KENYA,BESS001,3,1,5,2047,28.9893
KENYA,BESS001,3,1,5,2048,32.4694
KENYA,BESS001,3,1,5,2049,36.0829
KENYA,BESS001,3,1,5,2050,42.0908
KENYA,BESS001,3,1,6,2028,2.304
KENYA,BESS001,3,1,6,2029,3.6053
KENYA,BESS001,3,1,6,2030,6.7244
KENYA,BESS001,3,1,6,2031,6.7244
KENYA,BESS001,3,1,6,2032,6.7244
KENYA,BESS001,3,1,6,2033,6.7244
KENYA,BESS001,3,1,6,2034,6.7244
KENYA,BESS001,3,1,6,2035,6.7244
