r,s,ls,ld,y,StorageLevelDayTypeFinish
KENYA,BESS001,1,1,2028,0.0003
KENYA,BESS001,1,1,2029,0.0004
KENYA,BESS001,1,1,2030,0.0012
KENYA,BESS001,1,1,2031,0.0005
KENYA,BESS001,1,1,2032,0.0013
KENYA,BESS001,1,1,2033,0.0018
KENYA,BESS001,1,1,2034,0.0023
KENYA,BESS001,1,1,2035,0.0023
KENYA,BESS001,1,1,2036,0.0027
KENYA,BESS001,1,1,2037,0.0046
KENYA,BESS001,1,1,2038,0.0031
KENYA,BESS001,1,1,2041,0.0025
KENYA,BESS001,1,1,2042,0.0026
KENYA,BESS001,1,1,2043,0.0058
KENYA,BESS001,1,1,2044,0.0042
KENYA,BESS001,1,1,2045,0.0072
KENYA,BESS001,1,1,2046,0.0351
KENYA,BESS001,1,1,2047,0.0498
KENYA,BESS001,1,1,2048,0.051
KENYA,BESS001,1,1,2049,0.0578
KENYA,BESS001,1,1,2050,0.065
KENYA,BESS001,1,2,2028,0.0
KENYA,BESS001,1,2,2029,0.0024
KENYA,BESS001,1,2,2032,0.001
KENYA,BESS001,1,2,2034,0.0017
KENYA,BESS001,1,2,2035,0.0002
KENYA,BESS001,1,2,2036,0.0002
KENYA,BESS001,1,2,2037,0.0004
KENYA,BESS001,1,2,2038,0.0015
KENYA,BESS001,1,2,2041,0.0017
KENYA,BESS001,1,2,2042,0.0017
KENYA,BESS001,1,2,2043,0.0091
KENYA,BESS001,1,2,2044,0.0187
KENYA,BESS001,1,2,2045,0.0281
KENYA,BESS001,1,2,2046,0.0333
KENYA,BESS001,1,2,2047,0.0498
KENYA,BESS001,1,2,2048,0.051
KENYA,BESS001,1,2,2049,0.0559
KENYA,BESS001,1,2,2050,0.0638
KENYA,BESS001,2,1,2028,0.0003
KENYA,BESS001,2,1,2029,0.0017
KENYA,BESS001,2,1,2030,0.0012
KENYA,BESS001,2,1,2031,0.0008
KENYA,BESS001,2,1,2032,0.0011
KENYA,BESS001,2,1,2033,0.0011
KENYA,BESS001,2,1,2034,0.0046
KENYA,BESS001,2,1,2035,0.0046
KENYA,BESS001,2,1,2036,0.0023
KENYA,BESS001,2,1,2037,0.0023
KENYA,BESS001,2,1,2038,0.0015
KENYA,BESS001,2,1,2041,0.0009
KENYA,BESS001,2,1,2042,0.0009
KENYA,BESS001,2,1,2043,0.0063
KENYA,BESS001,2,1,2044,0.0055
KENYA,BESS001,2,1,2045,0.0094
KENYA,BESS001,2,1,2046,0.0333
KENYA,BESS001,2,1,2047,0.0493
KENYA,BESS001,2,1,2048,0.051
KENYA,BESS001,2,1,2049,0.0559
KENYA,BESS001,2,1,2050,0.0638
KENYA,BESS001,2,2,2028,0.0019
KENYA,BESS001,2,2,2029,0.0017
KENYA,BESS001,2,2,2030,0.002
KENYA,BESS001,2,2,2031,0.0015
KENYA,BESS001,2,2,2032,0.0028
KENYA,BESS001,2,2,2033,0.0013
KENYA,BESS001,2,2,2034,0.0036
KENYA,BESS001,2,2,2035,0.0046
KENYA,BESS001,2,2,2036,0.0046
KENYA,BESS001,2,2,2037,0.0046
KENYA,BESS001,2,2,2038,0.0031
KENYA,BESS001,2,2,2039,0.0021
KENYA,BESS001,2,2,2041,0.0025
KENYA,BESS001,2,2,2042,0.0025
KENYA,BESS001,2,2,2043,0.0086
KENYA,BESS001,2,2,2044,0.0125
KENYA,BESS001,2,2,2045,0.02
KENYA,BESS001,2,2,2046,0.025
KENYA,BESS001,2,2,2047,0.0353
KENYA,BESS001,2,2,2048,0.0361
KENYA,BESS001,2,2,2049,0.0396
KENYA,BESS001,2,2,2050,0.0469
KENYA,BESS001,3,1,2028,0.0021
KENYA,BESS001,3,1,2029,0.0036
KENYA,BESS001,3,1,2030,0.0045
KENYA,BESS001,3,1,2031,0.0043
KENYA,BESS001,3,1,2032,0.0061
KENYA,BESS001,3,1,2033,0.0061
KENYA,BESS001,3,1,2034,0.006
KENYA,BESS001,3,1,2035,0.0038
KENYA,BESS001,3,1,2036,0.0057
KENYA,BESS001,3,1,2037,0.0054
KENYA,BESS001,3,1,2038,0.001
KENYA,BESS001,3,1,2039,0.0036
KENYA,BESS001,3,1,2041,0.0045
KENYA,BESS001,3,1,2042,0.0049
KENYA,BESS001,3,1,2043,0.0115
KENYA,BESS001,3,1,2044,0.0165
KENYA,BESS001,3,1,2045,0.0224
KENYA,BESS001,3,1,2046,0.0229
KENYA,BESS001,3,1,2047,0.0256
KENYA,BESS001,3,1,2048,0.0359
KENYA,BESS001,3,1,2049,0.0401
KENYA,BESS001,3,1,2050,0.048
KENYA,BESS001,3,2,2028,0.0012
KENYA,BESS001,3,2,2029,0.0017
KENYA,BESS001,3,2,2030,0.0025
KENYA,BESS001,3,2,2031,0.0023
KENYA,BESS001,3,2,2032,0.0046
KENYA,BESS001,3,2,2033,0.0045
KENYA,BESS001,3,2,2034,0.0023
KENYA,BESS001,3,2,2035,0.0038
KENYA,BESS001,3,2,2036,0.0023
KENYA,BESS001,3,2,2037,0.0038
KENYA,BESS001,3,2,2038,0.0025
KENYA,BESS001,3,2,2039,0.0011
KENYA,BESS001,3,2,2041,0.0012
KENYA,BESS001,3,2,2042,0.0013
KENYA,BESS001,3,2,2043,0.0087
KENYA,BESS001,3,2,2044,0.0151
KENYA,BESS001,3,2,2045,0.0284
KENYA,BESS001,3,2,2046,0.0393
