r,s,ls,y,StorageLevelSeasonStart
KENYA,BESS001,1,2028,0.4064
KENYA,BESS001,1,2029,0.6296
KENYA,BESS001,1,2030,0.9006
KENYA,BESS001,1,2031,0.9006
KENYA,BESS001,1,2032,0.9968
KENYA,BESS001,1,2033,1.0282
KENYA,BESS001,1,2034,1.4016
KENYA,BESS001,1,2035,1.4016
KENYA,BESS001,1,2036,1.451
KENYA,BESS001,1,2037,1.4942
KENYA,BESS001,1,2038,1.0878
KENYA,BESS001,1,2039,0.8646
KENYA,BESS001,1,2040,0.5936
KENYA,BESS001,1,2041,0.839
KENYA,BESS001,1,2042,0.8943
KENYA,BESS001,1,2043,2.5
KENYA,BESS001,1,2044,3.2033
KENYA,BESS001,1,2045,4.9385
KENYA,BESS001,1,2046,8.4333
KENYA,BESS001,1,2047,11.4844
KENYA,BESS001,1,2048,12.6046
KENYA,BESS001,1,2049,13.7831
KENYA,BESS001,1,2050,15.8683
KENYA,BESS001,2,2028,0.4686
KENYA,BESS001,2,2029,0.7194
KENYA,BESS001,2,2030,1.0188
KENYA,BESS001,2,2031,1.0155
KENYA,BESS001,2,2032,1.1281
KENYA,BESS001,2,2033,1.1931
KENYA,BESS001,2,2034,1.7192
KENYA,BESS001,2,2035,1.7918
KENYA,BESS001,2,2036,1.7911
KENYA,BESS001,2,2037,1.8528
KENYA,BESS001,2,2038,1.3483
KENYA,BESS001,2,2039,0.9343
KENYA,BESS001,2,2040,0.5936
KENYA,BESS001,2,2041,1.0448
KENYA,BESS001,2,2042,1.103
KENYA,BESS001,2,2043,3.1085
KENYA,BESS001,2,2044,3.9587
KENYA,BESS001,2,2045,6.1336
KENYA,BESS001,2,2046,11.5627
KENYA,BESS001,2,2047,15.9947
KENYA,BESS001,2,2048,17.2158
KENYA,BESS001,2,2049,18.9656
KENYA,BESS001,2,2050,21.725
KENYA,BESS001,3,2028,0.5609
KENYA,BESS001,3,2029,0.8638
KENYA,BESS001,3,2030,1.1526
KENYA,BESS001,3,2031,1.1844
KENYA,BESS001,3,2032,1.2758
KENYA,BESS001,3,2033,1.3634
KENYA,BESS001,3,2034,2.0662
KENYA,BESS001,3,2035,2.1552
KENYA,BESS001,3,2036,2.1545
KENYA,BESS001,3,2037,2.2162
KENYA,BESS001,3,2038,1.4664
KENYA,BESS001,3,2039,1.0456
KENYA,BESS001,3,2040,0.5936
KENYA,BESS001,3,2041,1.1693
KENYA,BESS001,3,2042,1.2301
KENYA,BESS001,3,2043,3.6857
KENYA,BESS001,3,2044,4.417
KENYA,BESS001,3,2045,6.894
KENYA,BESS001,3,2046,13.4592
KENYA,BESS001,3,2047,18.7873
KENYA,BESS001,3,2048,20.0911
KENYA,BESS001,3,2049,22.1084
KENYA,BESS001,3,2050,25.3429
KENYA,BESS001,4,2028,0.8119
KENYA,BESS001,4,2029,1.2577
KENYA,BESS001,4,2030,1.7326
KENYA,BESS001,4,2031,1.7999
KENYA,BESS001,4,2032,1.9913
KENYA,BESS001,4,2033,2.0546
KENYA,BESS001,4,2034,2.799
KENYA,BESS001,4,2035,2.7844
KENYA,BESS001,4,2036,2.8973
KENYA,BESS001,4,2037,2.9845
KENYA,BESS001,4,2038,1.6434
KENYA,BESS001,4,2039,1.4734
KENYA,BESS001,4,2040,0.5936
KENYA,BESS001,4,2041,1.6771
KENYA,BESS001,4,2042,1.7877
KENYA,BESS001,4,2043,4.9956
KENYA,BESS001,4,2044,6.387
KENYA,BESS001,4,2045,9.8483
KENYA,BESS001,4,2046,16.8311
KENYA,BESS001,4,2047,22.9176
KENYA,BESS001,4,2048,25.1571
KENYA,BESS001,4,2049,27.5095
KENYA,BESS001,4,2050,31.6719
KENYA,PHS001,1,2037,0.0003
KENYA,PHS001,1,2038,0.0007
KENYA,PHS001,1,2039,0.0007
KENYA,PHS001,1,2040,0.0007
KENYA,PHS001,1,2041,0.0012
KENYA,PHS001,1,2042,0.0012
KENYA,PHS001,1,2043,0.0016
KENYA,PHS001,1,2044,0.0032
KENYA,PHS001,1,2045,0.0129
KENYA,PHS001,1,2046,0.0148
KENYA,PHS001,1,2047,0.0161
KENYA,PHS001,1,2048,0.0161
KENYA,PHS001,1,2049,0.0161
KENYA,PHS001,1,2050,0.0161
KENYA,PHS001,2,2037,0.0003
KENYA,PHS001,2,2038,0.0007
KENYA,PHS001,2,2039,0.0007
KENYA,PHS001,2,2040,0.0007
KENYA,PHS001,2,2041,0.0012
KENYA,PHS001,2,2042,0.0012
KENYA,PHS001,2,2043,0.0016
KENYA,PHS001,2,2044,0.0032
KENYA,PHS001,2,2045,0.0129
KENYA,PHS001,2,2046,0.0148
KENYA,PHS001,2,2047,0.0161
KENYA,PHS001,2,2048,0.0161
KENYA,PHS001,2,2049,0.0161
KENYA,PHS001,2,2050,0.0161
KENYA,PHS001,3,2037,0.0003
KENYA,PHS001,3,2038,0.0007
KENYA,PHS001,3,2039,0.0007
KENYA,PHS001,3,2040,0.0007
KENYA,PHS001,3,2041,0.0012
KENYA,PHS001,3,2042,0.0012
KENYA,PHS001,3,2043,0.0016
KENYA,PHS001,3,2044,0.0032
