r,s,y,StorageUpperLimit
KENYA,BESS001,2028,0.8129
KENYA,BESS001,2029,1.2592
KENYA,BESS001,2030,1.8012
KENYA,BESS001,2031,1.8012
KENYA,BESS001,2032,1.9936
KENYA,BESS001,2033,2.0564
KENYA,BESS001,2034,2.8032
KENYA,BESS001,2035,2.8032
KENYA,BESS001,2036,2.9019
KENYA,BESS001,2037,2.9884
KENYA,BESS001,2038,2.1756
KENYA,BESS001,2039,1.7292
KENYA,BESS001,2040,1.1872
KENYA,BESS001,2041,1.678
KENYA,BESS001,2042,1.7886
KENYA,BESS001,2043,5.0
KENYA,BESS001,2044,6.4066
KENYA,BESS001,2045,9.877
KENYA,BESS001,2046,16.8667
KENYA,BESS001,2047,22.9688
KENYA,BESS001,2048,25.2093
KENYA,BESS001,2049,27.5662
KENYA,BESS001,2050,31.7366
KENYA,PHS001,2037,0.0006
KENYA,PHS001,2038,0.0015
KENYA,PHS001,2039,0.0015
KENYA,PHS001,2040,0.0015
KENYA,PHS001,2041,0.0023
KENYA,PHS001,2042,0.0023
KENYA,PHS001,2043,0.0032
KENYA,PHS001,2044,0.0064
KENYA,PHS001,2045,0.0257
KENYA,PHS001,2046,0.0295
KENYA,PHS001,2047,0.0322
KENYA,PHS001,2048,0.0322
KENYA,PHS001,2049,0.0322
KENYA,PHS001,2050,0.0322
KENYA,PHS002,2038,0.0024
KENYA,PHS002,2039,0.0024
KENYA,PHS002,2040,0.0024
KENYA,PHS002,2041,0.0029
KENYA,PHS002,2042,0.0029
KENYA,PHS002,2043,0.0052
KENYA,PHS002,2044,0.008
KENYA,PHS002,2045,0.0247
KENYA,PHS002,2046,0.0292
KENYA,PHS002,2047,0.0318
KENYA,PHS002,2048,0.0318
KENYA,PHS002,2049,0.0318
KENYA,PHS002,2050,0.0318
