r,t,y,TotalTechnologyAnnualActivity
KENYA,BESS_TECH,2028,0.9932
KENYA,BESS_TECH,2029,1.4736
KENYA,BESS_TECH,2030,2.0191
KENYA,BESS_TECH,2031,1.9619
KENYA,BESS_TECH,2032,2.2516
KENYA,BESS_TECH,2033,2.4487
KENYA,BESS_TECH,2034,3.4378
KENYA,BESS_TECH,2035,3.4514
KENYA,BESS_TECH,2036,3.6073
KENYA,BESS_TECH,2037,3.5786
KENYA,BESS_TECH,2038,1.4821
KENYA,BESS_TECH,2039,1.3865
KENYA,BESS_TECH,2041,1.8833
KENYA,BESS_TECH,2042,1.9944
KENYA,BESS_TECH,2043,5.807
KENYA,BESS_TECH,2044,8.3318
KENYA,BESS_TECH,2045,13.9894
KENYA,BESS_TECH,2046,23.2696
KENYA,BESS_TECH,2047,32.2807
KENYA,BESS_TECH,2048,34.7056
KENYA,BESS_TECH,2049,37.9228
KENYA,BESS_TECH,2050,43.5426
KENYA,DEMCOMELC,2019,6.2591
KENYA,DEMCOMELC,2020,6.3686
KENYA,DEMCOMELC,2021,6.6578
KENYA,DEMCOMELC,2022,6.8802
KENYA,DEMCOMELC,2023,7.0903
KENYA,DEMCOMELC,2024,7.3334
KENYA,DEMCOMELC,2025,7.5982
KENYA,DEMCOMELC,2026,8.2896
KENYA,DEMCOMELC,2027,9.0439
KENYA,DEMCOMELC,2028,9.8669
KENYA,DEMCOMELC,2029,10.7647
KENYA,DEMCOMELC,2030,11.7442
KENYA,DEMCOMELC,2031,12.8129
KENYA,DEMCOMELC,2032,13.9788
KENYA,DEMCOMELC,2033,15.2508
KENYA,DEMCOMELC,2034,16.6385
KENYA,DEMCOMELC,2035,18.1525
KENYA,DEMCOMELC,2036,19.8043
KENYA,DEMCOMELC,2037,21.6064
KENYA,DEMCOMELC,2038,23.5724
KENYA,DEMCOMELC,2039,25.7174
KENYA,DEMCOMELC,2040,28.0576
KENYA,DEMCOMELC,2041,30.6106
KENYA,DEMCOMELC,2042,33.1545
KENYA,DEMCOMELC,2043,35.858
KENYA,DEMCOMELC,2044,38.7819
KENYA,DEMCOMELC,2045,41.9442
KENYA,DEMCOMELC,2046,45.3644
KENYA,DEMCOMELC,2047,49.0635
KENYA,DEMCOMELC,2048,53.0642
KENYA,DEMCOMELC,2049,57.3912
KENYA,DEMCOMELC,2050,62.0709
KENYA,DEMINDELC,2019,21.5631
KENYA,DEMINDELC,2020,21.9401
KENYA,DEMINDELC,2021,22.9364
KENYA,DEMINDELC,2022,23.7027
KENYA,DEMINDELC,2023,24.4266
KENYA,DEMINDELC,2024,25.264
KENYA,DEMINDELC,2025,26.1763
KENYA,DEMINDELC,2026,28.5582
KENYA,DEMINDELC,2027,31.1568
KENYA,DEMINDELC,2028,33.9919
KENYA,DEMINDELC,2029,37.085
KENYA,DEMINDELC,2030,40.4595
KENYA,DEMINDELC,2031,44.1411
KENYA,DEMINDELC,2032,48.1577
KENYA,DEMINDELC,2033,52.5398
KENYA,DEMINDELC,2034,57.3206
KENYA,DEMINDELC,2035,62.5364
KENYA,DEMINDELC,2036,68.2269
KENYA,DEMINDELC,2037,74.4352
KENYA,DEMINDELC,2038,81.2084
KENYA,DEMINDELC,2039,88.5979
KENYA,DEMINDELC,2040,96.6598
KENYA,DEMINDELC,2041,105.4553
KENYA,DEMINDELC,2042,114.2192
KENYA,DEMINDELC,2043,123.5328
KENYA,DEMINDELC,2044,133.6058
KENYA,DEMINDELC,2045,144.5002
KENYA,DEMINDELC,2046,156.283
KENYA,DEMINDELC,2047,169.0265
KENYA,DEMINDELC,2048,182.8092
KENYA,DEMINDELC,2049,197.7157
KENYA,DEMINDELC,2050,213.8377
KENYA,DEMRESELC,2019,13.7907
KENYA,DEMRESELC,2020,14.0318
KENYA,DEMRESELC,2021,14.669
KENYA,DEMRESELC,2022,15.1591
KENYA,DEMRESELC,2023,15.6221
KENYA,DEMRESELC,2024,16.1577
KENYA,DEMRESELC,2025,16.7411
KENYA,DEMRESELC,2026,18.2645
KENYA,DEMRESELC,2027,19.9264
KENYA,DEMRESELC,2028,21.7396
KENYA,DEMRESELC,2029,23.7178
KENYA,DEMRESELC,2030,25.876
KENYA,DEMRESELC,2031,28.2306
KENYA,DEMRESELC,2032,30.7994
KENYA,DEMRESELC,2033,33.602
KENYA,DEMRESELC,2034,36.6596
KENYA,DEMRESELC,2035,39.9954
KENYA,DEMRESELC,2036,43.6348
KENYA,DEMRESELC,2037,47.6053
KENYA,DEMRESELC,2038,51.9371
KENYA,DEMRESELC,2039,56.6631
KENYA,DEMRESELC,2040,61.8191
KENYA,DEMRESELC,2041,67.4443
KENYA,DEMRESELC,2042,73.0493
KENYA,DEMRESELC,2043,79.0058
KENYA,DEMRESELC,2044,85.4481
KENYA,DEMRESELC,2045,92.4156
KENYA,DEMRESELC,2046,99.9513
KENYA,DEMRESELC,2047,108.1015
KENYA,DEMRESELC,2048,116.9162
KENYA,DEMRESELC,2049,126.4497
KENYA,DEMRESELC,2050,136.7606
KENYA,IMPELC001,2022,3.0326
KENYA,IMPELC001,2023,2.8227
KENYA,IMPELC001,2024,4.1813
KENYA,IMPELC001,2025,2.7385
KENYA,IMPELC001,2026,3.1012
KENYA,IMPELC001,2027,6.0536
KENYA,IMPELC001,2028,6.7827
KENYA,IMPELC001,2029,6.1763
KENYA,IMPELC001,2030,8.4977
KENYA,IMPELC001,2031,8.6638
KENYA,IMPELC001,2032,9.9697
KENYA,IMPELC001,2033,9.9697
KENYA,IMPELC001,2034,9.9697
KENYA,IMPELC001,2035,9.9697
KENYA,IMPELC001,2036,9.9697
KENYA,IMPELC001,2037,9.9697
KENYA,IMPELC001,2038,9.9697
KENYA,IMPELC001,2039,9.9697
KENYA,IMPELC001,2040,9.9697
KENYA,IMPELC001,2041,9.9697
KENYA,IMPELC001,2042,9.9697
KENYA,IMPELC001,2043,9.9697
KENYA,IMPELC001,2044,9.9697
KENYA,IMPELC001,2045,9.9697
KENYA,IMPELC001,2046,9.9697
KENYA,IMPELC001,2047,6.272
KENYA,IMPELC001,2048,6.6554
KENYA,IMPELC001,2049,7.0568
KENYA,IMPELC001,2050,6.5154
KENYA,IMPHFOMOM,2019,11.8582
KENYA,IMPHFOMOM,2020,13.065
KENYA,IMPHFOMOM,2021,12.9044
KENYA,IMPHFOMOM,2022,3.8815
KENYA,IMPHFOMOM,2023,3.9694
KENYA,IMPHFOMOM,2024,5.5272
KENYA,IMPHFOMOM,2025,4.1141
KENYA,IMPHFOMOM,2026,1.2423
KENYA,IMPHFOMOM,2027,2.9939
KENYA,IMPHFOMOM,2028,3.7194
KENYA,IMPHFOMOM,2029,3.739
KENYA,IMPHFOMOM,2030,2.2908
KENYA,IMPHFONAI,2019,1.0164
KENYA,IMPHFONAI,2020,1.3285
KENYA,IMPHFONAI,2021,1.4446
KENYA,IMPHFONAI,2022,0.0643
KENYA,IMPHFONAI,2023,0.0841
KENYA,IMPHFONAI,2024,0.3392
KENYA,IMPHFONAI,2025,0.3477
KENYA,IMPHFONAI,2026,0.0899
KENYA,IMPHFONAI,2027,0.9284
KENYA,IMPHFONAI,2028,1.5577
KENYA,IMPHFONAI,2029,1.625
KENYA,IMPHFONAI,2030,5.7023
KENYA,IMPHFONAI,2031,5.8897
KENYA,IMPHFONAI,2032,8.5187
KENYA,IMPHFONAI,2033,14.3729
KENYA,IMPHFONAI,2034,2.8769
KENYA,IMPHFONAI,2035,5.3694
KENYA,IMPNGS,2030,0.5364
KENYA,IMPNGS,2031,3.4762
KENYA,IMPNGS,2032,7.1553
KENYA,IMPNGS,2033,11.9717
KENYA,IMPNGS,2034,29.1017
KENYA,IMPNGS,2035,43.7823
KENYA,IMPNGS,2036,35.3788
KENYA,IMPNGS,2037,45.3691
KENYA,IMPNGS,2038,74.2748
KENYA,IMPNGS,2039,57.9055
KENYA,IMPNGS,2040,49.6438
KENYA,IMPNGS,2041,81.7807
KENYA,IMPNGS,2042,79.3436
KENYA,IMPNGS,2043,94.0132
KENYA,IMPNGS,2044,100.117
KENYA,IMPNGS,2045,109.3335
KENYA,IMPNGS,2046,104.874
KENYA,IMPNGS,2047,115.5566
KENYA,IMPNGS,2048,127.8208
KENYA,IMPNGS,2049,141.871
KENYA,IMPNGS,2050,155.0404
KENYA,IMPURN,2036,28.4269
KENYA,IMPURN,2037,28.4269
KENYA,IMPURN,2038,28.4269
KENYA,IMPURN,2039,56.8538
KENYA,IMPURN,2040,56.8538
KENYA,IMPURN,2041,56.8538
KENYA,IMPURN,2042,85.2808
KENYA,IMPURN,2043,85.2808
KENYA,IMPURN,2044,85.2808
KENYA,IMPURN,2045,85.2808
KENYA,IMPURN,2046,85.2808
KENYA,IMPURN,2047,85.2808
KENYA,IMPURN,2048,85.2808
KENYA,IMPURN,2049,85.2808
KENYA,IMPURN,2050,85.2808
KENYA,MINBIO,2019,0.0902
KENYA,MINBIO,2020,0.0902
KENYA,MINBIO,2021,0.0902
KENYA,MINBIO,2022,0.0902
KENYA,MINBIO,2023,0.1533
KENYA,MINBIO,2024,0.1533
KENYA,MINBIO,2025,0.1533
KENYA,MINBIO,2026,0.6042
KENYA,MINBIO,2027,0.6042
KENYA,MINBIO,2028,0.9649
KENYA,MINBIO,2029,0.9649
KENYA,MINBIO,2030,3.1381
KENYA,MINBIO,2031,4.0398
KENYA,MINBIO,2032,4.5268
KENYA,MINBIO,2033,4.662
KENYA,MINBIO,2034,4.9326
KENYA,MINBIO,2035,4.9461
KENYA,MINBIO,2036,5.3474
KENYA,MINBIO,2037,5.7487
KENYA,MINBIO,2038,6.1499
KENYA,MINBIO,2039,6.5512
KENYA,MINBIO,2040,6.9525
KENYA,MINBIO,2041,7.3538
KENYA,MINBIO,2042,7.755
KENYA,MINBIO,2043,8.1563
KENYA,MINBIO,2044,8.5576
KENYA,MINBIO,2045,8.9589
KENYA,MINBIO,2046,9.3602
KENYA,MINBIO,2047,9.7614
KENYA,MINBIO,2048,10.1627
KENYA,MINBIO,2049,10.564
