r,l,f,y,Demand
KENYA,TS01,COMELC,2019,0.2241
KENYA,TS01,COMELC,2020,0.228
KENYA,TS01,COMELC,2021,0.2383
KENYA,TS01,COMELC,2022,0.2463
KENYA,TS01,COMELC,2023,0.2538
KENYA,TS01,COMELC,2024,0.2625
KENYA,TS01,COMELC,2025,0.272
KENYA,TS01,COMELC,2026,0.2968
KENYA,TS01,COMELC,2027,0.3238
KENYA,TS01,COMELC,2028,0.3532
KENYA,TS01,COMELC,2029,0.3854
KENYA,TS01,COMELC,2030,0.4204
KENYA,TS01,COMELC,2031,0.4587
KENYA,TS01,COMELC,2032,0.5004
KENYA,TS01,COMELC,2033,0.546
KENYA,TS01,COMELC,2034,0.5957
KENYA,TS01,COMELC,2035,0.6499
KENYA,TS01,COMELC,2036,0.709
KENYA,TS01,COMELC,2037,0.7735
KENYA,TS01,COMELC,2038,0.8439
KENYA,TS01,COMELC,2039,0.9207
KENYA,TS01,COMELC,2040,1.0045
KENYA,TS01,COMELC,2041,1.0959
KENYA,TS01,COMELC,2042,1.1869
KENYA,TS01,COMELC,2043,1.2837
KENYA,TS01,COMELC,2044,1.3884
KENYA,TS01,COMELC,2045,1.5016
KENYA,TS01,COMELC,2046,1.624
KENYA,TS01,COMELC,2047,1.7565
KENYA,TS01,COMELC,2048,1.8997
KENYA,TS01,COMELC,2049,2.0546
KENYA,TS01,COMELC,2050,2.2221
KENYA,TS01,INDELC,2019,0.772
KENYA,TS01,INDELC,2020,0.7855
KENYA,TS01,INDELC,2021,0.8211
KENYA,TS01,INDELC,2022,0.8486
KENYA,TS01,INDELC,2023,0.8745
KENYA,TS01,INDELC,2024,0.9045
KENYA,TS01,INDELC,2025,0.9371
KENYA,TS01,INDELC,2026,1.0224
KENYA,TS01,INDELC,2027,1.1154
KENYA,TS01,INDELC,2028,1.2169
KENYA,TS01,INDELC,2029,1.3276
KENYA,TS01,INDELC,2030,1.4485
KENYA,TS01,INDELC,2031,1.5803
KENYA,TS01,INDELC,2032,1.724
KENYA,TS01,INDELC,2033,1.8809
KENYA,TS01,INDELC,2034,2.0521
KENYA,TS01,INDELC,2035,2.2388
KENYA,TS01,INDELC,2036,2.4425
KENYA,TS01,INDELC,2037,2.6648
KENYA,TS01,INDELC,2038,2.9073
KENYA,TS01,INDELC,2039,3.1718
KENYA,TS01,INDELC,2040,3.4604
KENYA,TS01,INDELC,2041,3.7753
KENYA,TS01,INDELC,2042,4.089
KENYA,TS01,INDELC,2043,4.4225
KENYA,TS01,INDELC,2044,4.7831
KENYA,TS01,INDELC,2045,5.1731
KENYA,TS01,INDELC,2046,5.5949
KENYA,TS01,INDELC,2047,6.0511
KENYA,TS01,INDELC,2048,6.5446
KENYA,TS01,INDELC,2049,7.0782
KENYA,TS01,INDELC,2050,7.6554
KENYA,TS01,RESELC,2019,0.4937
KENYA,TS01,RESELC,2020,0.5023
KENYA,TS01,RESELC,2021,0.5252
KENYA,TS01,RESELC,2022,0.5427
KENYA,TS01,RESELC,2023,0.5593
KENYA,TS01,RESELC,2024,0.5784
KENYA,TS01,RESELC,2025,0.5993
KENYA,TS01,RESELC,2026,0.6539
KENYA,TS01,RESELC,2027,0.7134
KENYA,TS01,RESELC,2028,0.7783
KENYA,TS01,RESELC,2029,0.8491
KENYA,TS01,RESELC,2030,0.9264
KENYA,TS01,RESELC,2031,1.0107
KENYA,TS01,RESELC,2032,1.1026
KENYA,TS01,RESELC,2033,1.203
KENYA,TS01,RESELC,2034,1.3124
