r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,1,1,1,2028,0.0181
KENYA,BESS001,1,1,1,2029,0.024
KENYA,BESS001,1,1,1,2033,-0.0535
KENYA,BESS001,1,1,1,2034,0.1666
KENYA,BESS001,1,1,1,2035,0.1661
KENYA,BESS001,1,1,1,2036,0.1661
KENYA,BESS001,1,1,1,2037,0.1015
KENYA,BESS001,1,1,1,2039,0.0295
KENYA,BESS001,1,1,1,2043,-0.2195
KENYA,BESS001,1,1,1,2044,-0.2597
KENYA,BESS001,1,1,1,2045,-0.316
KENYA,BESS001,1,1,1,2046,-1.0207
KENYA,BESS001,1,1,1,2047,-2.4138
KENYA,BESS001,1,1,1,2048,-3.1186
KENYA,BESS001,1,1,1,2049,-3.1186
KENYA,BESS001,1,1,1,2050,-3.1811
KENYA,BESS001,1,1,2,2031,-0.0612
KENYA,BESS001,1,1,2,2032,-0.0719
KENYA,BESS001,1,1,2,2038,-0.0017
KENYA,BESS001,1,1,2,2041,0.0244
KENYA,BESS001,1,1,2,2045,0.111
KENYA,BESS001,1,1,2,2046,0.5933
KENYA,BESS001,1,1,2,2047,0.7879
KENYA,BESS001,1,1,2,2048,0.9607
KENYA,BESS001,1,1,2,2049,1.0303
KENYA,BESS001,1,1,2,2050,1.5906
KENYA,BESS001,1,1,3,2037,0.2261
KENYA,BESS001,1,1,3,2038,-0.1989
KENYA,BESS001,1,1,3,2041,0.0655
KENYA,BESS001,1,1,3,2042,0.1836
KENYA,BESS001,1,1,3,2043,-0.0828
KENYA,BESS001,1,1,3,2045,0.2972
KENYA,BESS001,1,1,3,2046,1.0218
KENYA,BESS001,1,1,3,2047,2.4138
KENYA,BESS001,1,1,3,2048,3.1186
KENYA,BESS001,1,1,3,2049,3.1186
KENYA,BESS001,1,1,3,2050,3.1811
KENYA,BESS001,1,1,4,2028,-0.0264
KENYA,BESS001,1,1,4,2029,-0.0326
KENYA,BESS001,1,1,4,2030,0.0291
KENYA,BESS001,1,1,4,2031,0.0213
KENYA,BESS001,1,1,4,2032,0.0284
KENYA,BESS001,1,1,4,2033,0.0502
KENYA,BESS001,1,1,4,2034,-0.2146
KENYA,BESS001,1,1,4,2035,-0.2157
KENYA,BESS001,1,1,4,2036,-0.2157
KENYA,BESS001,1,1,4,2037,-0.2157
KENYA,BESS001,1,1,4,2038,0.1317
KENYA,BESS001,1,1,4,2039,-0.0254
KENYA,BESS001,1,1,4,2041,-0.1167
KENYA,BESS001,1,1,4,2042,-0.1227
KENYA,BESS001,1,1,4,2043,0.2566
KENYA,BESS001,1,1,4,2044,0.2148
KENYA,BESS001,1,1,4,2045,0.0875
KENYA,BESS001,1,1,4,2046,0.123
KENYA,BESS001,1,1,4,2047,0.3064
KENYA,BESS001,1,1,4,2048,0.5912
KENYA,BESS001,1,1,4,2049,0.6078
KENYA,BESS001,1,1,4,2050,0.0691
KENYA,BESS001,1,1,5,2028,0.0085
KENYA,BESS001,1,1,5,2029,0.0089
KENYA,BESS001,1,1,5,2030,0.0395
KENYA,BESS001,1,1,5,2031,0.0392
KENYA,BESS001,1,1,5,2032,0.0426
KENYA,BESS001,1,1,5,2033,0.0515
KENYA,BESS001,1,1,5,2034,-0.0782
KENYA,BESS001,1,1,5,2035,-0.1078
KENYA,BESS001,1,1,5,2036,-0.1078
KENYA,BESS001,1,1,5,2037,-0.1078
KENYA,BESS001,1,1,5,2038,0.0665
KENYA,BESS001,1,1,5,2039,-0.0036
KENYA,BESS001,1,1,5,2041,-0.0583
KENYA,BESS001,1,1,5,2042,-0.0614
