r,l,t,m,y,RateOfActivity
KENYA,TS01,BESS_TECH,1,2028,0.4115
KENYA,TS05,BESS_TECH,1,2028,0.5764
KENYA,TS07,BESS_TECH,1,2028,2.8158
KENYA,TS09,BESS_TECH,1,2028,0.0414
KENYA,TS13,BESS_TECH,1,2028,1.4364
KENYA,TS17,BESS_TECH,1,2028,0.8757
KENYA,TS18,BESS_TECH,1,2028,0.3445
KENYA,TS19,BESS_TECH,1,2028,1.5301
KENYA,TS21,BESS_TECH,1,2028,2.8158
KENYA,TS23,BESS_TECH,1,2028,1.1079
KENYA,TS26,BESS_TECH,1,2028,2.8158
KENYA,TS28,BESS_TECH,1,2028,0.6027
KENYA,TS29,BESS_TECH,1,2028,2.8158
KENYA,TS30,BESS_TECH,1,2028,2.8158
KENYA,TS31,BESS_TECH,1,2028,1.6005
KENYA,TS32,BESS_TECH,1,2028,1.0253
KENYA,TS36,BESS_TECH,1,2028,2.8158
KENYA,TS40,BESS_TECH,1,2028,0.7042
KENYA,TS41,BESS_TECH,1,2028,2.8158
KENYA,TS45,BESS_TECH,1,2028,0.6354
KENYA,TS47,BESS_TECH,1,2028,2.8158
KENYA,TS48,BESS_TECH,1,2028,0.6237
KENYA,TS04,BESS_TECH,2,2028,0.8965
KENYA,TS10,BESS_TECH,2,2028,2.8158
KENYA,TS11,BESS_TECH,2,2028,2.8158
KENYA,TS16,BESS_TECH,2,2028,2.8158
KENYA,TS20,BESS_TECH,2,2028,2.8158
KENYA,TS22,BESS_TECH,2,2028,2.8158
KENYA,TS24,BESS_TECH,2,2028,2.8158
KENYA,TS25,BESS_TECH,2,2028,1.779
KENYA,TS27,BESS_TECH,2,2028,2.3969
KENYA,TS33,BESS_TECH,2,2028,1.0511
KENYA,TS34,BESS_TECH,2,2028,2.8158
KENYA,TS35,BESS_TECH,2,2028,1.6707
KENYA,TS38,BESS_TECH,2,2028,1.3547
KENYA,TS42,BESS_TECH,2,2028,1.5029
KENYA,TS46,BESS_TECH,2,2028,2.8082
KENYA,TS01,BESS_TECH,1,2029,0.5452
KENYA,TS05,BESS_TECH,1,2029,0.6066
KENYA,TS09,BESS_TECH,1,2029,1.808
KENYA,TS12,BESS_TECH,1,2029,4.1649
KENYA,TS13,BESS_TECH,1,2029,2.4317
KENYA,TS17,BESS_TECH,1,2029,1.1405
KENYA,TS19,BESS_TECH,1,2029,4.1649
KENYA,TS21,BESS_TECH,1,2029,1.6539
KENYA,TS23,BESS_TECH,1,2029,1.7385
KENYA,TS26,BESS_TECH,1,2029,4.1649
KENYA,TS28,BESS_TECH,1,2029,1.1119
KENYA,TS29,BESS_TECH,1,2029,4.1649
KENYA,TS30,BESS_TECH,1,2029,4.1649
KENYA,TS31,BESS_TECH,1,2029,1.489
KENYA,TS32,BESS_TECH,1,2029,1.1898
KENYA,TS36,BESS_TECH,1,2029,4.1649
KENYA,TS40,BESS_TECH,1,2029,0.2124
KENYA,TS41,BESS_TECH,1,2029,4.1649
KENYA,TS43,BESS_TECH,1,2029,1.1579
KENYA,TS47,BESS_TECH,1,2029,3.7369
KENYA,TS04,BESS_TECH,2,2029,1.1092
KENYA,TS10,BESS_TECH,2,2029,3.9692
KENYA,TS11,BESS_TECH,2,2029,3.5637
KENYA,TS16,BESS_TECH,2,2029,4.1649
KENYA,TS20,BESS_TECH,2,2029,4.1649
KENYA,TS22,BESS_TECH,2,2029,3.3142
KENYA,TS24,BESS_TECH,2,2029,4.1649
KENYA,TS25,BESS_TECH,2,2029,4.1649
KENYA,TS27,BESS_TECH,2,2029,2.1609
KENYA,TS33,BESS_TECH,2,2029,0.717
KENYA,TS34,BESS_TECH,2,2029,4.1649
KENYA,TS35,BESS_TECH,2,2029,1.868
KENYA,TS38,BESS_TECH,2,2029,3.1048
KENYA,TS46,BESS_TECH,2,2029,3.5801
KENYA,TS04,BESS_TECH,1,2030,0.9887
KENYA,TS05,BESS_TECH,1,2030,2.6895
KENYA,TS07,BESS_TECH,1,2030,1.9084
KENYA,TS12,BESS_TECH,1,2030,1.8195
KENYA,TS13,BESS_TECH,1,2030,0.5776
KENYA,TS17,BESS_TECH,1,2030,3.8656
KENYA,TS18,BESS_TECH,1,2030,0.2778
KENYA,TS21,BESS_TECH,1,2030,3.5523
KENYA,TS22,BESS_TECH,1,2030,1.9257
KENYA,TS23,BESS_TECH,1,2030,7.3364
KENYA,TS26,BESS_TECH,1,2030,1.6567
KENYA,TS29,BESS_TECH,1,2030,7.2387
KENYA,TS30,BESS_TECH,1,2030,7.3364
KENYA,TS31,BESS_TECH,1,2030,4.6904
KENYA,TS35,BESS_TECH,1,2030,0.4522
KENYA,TS36,BESS_TECH,1,2030,7.3364
KENYA,TS37,BESS_TECH,1,2030,0.1763
KENYA,TS41,BESS_TECH,1,2030,3.7231
KENYA,TS42,BESS_TECH,1,2030,0.0444
KENYA,TS43,BESS_TECH,1,2030,1.1751
KENYA,TS47,BESS_TECH,1,2030,0.3534
KENYA,TS48,BESS_TECH,1,2030,7.3364
KENYA,TS06,BESS_TECH,2,2030,3.157
