r,t,m,y,TotalAnnualTechnologyActivityByMode
KENYA,BESS_TECH,1,2028,0.6188
KENYA,BESS_TECH,1,2029,0.8482
KENYA,BESS_TECH,1,2030,1.0344
KENYA,BESS_TECH,1,2031,1.041
KENYA,BESS_TECH,1,2032,1.1679
KENYA,BESS_TECH,1,2033,1.2733
KENYA,BESS_TECH,1,2034,1.8605
KENYA,BESS_TECH,1,2035,1.9035
KENYA,BESS_TECH,1,2036,1.9622
KENYA,BESS_TECH,1,2037,1.928
KENYA,BESS_TECH,1,2038,0.8658
KENYA,BESS_TECH,1,2039,0.689
KENYA,BESS_TECH,1,2041,0.9795
KENYA,BESS_TECH,1,2042,1.0601
KENYA,BESS_TECH,1,2043,3.0178
KENYA,BESS_TECH,1,2044,4.3026
KENYA,BESS_TECH,1,2045,7.1314
KENYA,BESS_TECH,1,2046,11.5095
KENYA,BESS_TECH,1,2047,17.8023
KENYA,BESS_TECH,1,2048,24.9929
KENYA,BESS_TECH,1,2049,24.0123
KENYA,BESS_TECH,1,2050,24.6968
KENYA,BESS_TECH,2,2028,0.6188
KENYA,BESS_TECH,2,2029,0.8482
KENYA,BESS_TECH,2,2030,1.0344
KENYA,BESS_TECH,2,2031,1.041
KENYA,BESS_TECH,2,2032,1.1679
KENYA,BESS_TECH,2,2033,1.2733
KENYA,BESS_TECH,2,2034,1.8605
KENYA,BESS_TECH,2,2035,1.9035
KENYA,BESS_TECH,2,2036,1.9622
KENYA,BESS_TECH,2,2037,1.928
KENYA,BESS_TECH,2,2038,0.8658
KENYA,BESS_TECH,2,2039,0.689
KENYA,BESS_TECH,2,2041,0.9795
KENYA,BESS_TECH,2,2042,1.0601
KENYA,BESS_TECH,2,2043,3.0178
KENYA,BESS_TECH,2,2044,4.3026
KENYA,BESS_TECH,2,2045,7.1314
KENYA,BESS_TECH,2,2046,11.5095
KENYA,BESS_TECH,2,2047,17.8023
KENYA,BESS_TECH,2,2048,24.9929
KENYA,BESS_TECH,2,2049,24.0123
KENYA,BESS_TECH,2,2050,24.6968
KENYA,DEMCOMELC,1,2019,6.2591
KENYA,DEMCOMELC,1,2020,6.3686
KENYA,DEMCOMELC,1,2021,6.6578
KENYA,DEMCOMELC,1,2022,6.8802
KENYA,DEMCOMELC,1,2023,7.0903
KENYA,DEMCOMELC,1,2024,7.3334
KENYA,DEMCOMELC,1,2025,7.5982
KENYA,DEMCOMELC,1,2026,8.2896
KENYA,DEMCOMELC,1,2027,9.0439
KENYA,DEMCOMELC,1,2028,9.8669
KENYA,DEMCOMELC,1,2029,10.7647
KENYA,DEMCOMELC,1,2030,11.7442
KENYA,DEMCOMELC,1,2031,12.8129
KENYA,DEMCOMELC,1,2032,13.9788
KENYA,DEMCOMELC,1,2033,15.2508
KENYA,DEMCOMELC,1,2034,16.6385
KENYA,DEMCOMELC,1,2035,18.1525
KENYA,DEMCOMELC,1,2036,19.8043
KENYA,DEMCOMELC,1,2037,21.6064
KENYA,DEMCOMELC,1,2038,23.5724
KENYA,DEMCOMELC,1,2039,25.7174
KENYA,DEMCOMELC,1,2040,28.0576
KENYA,DEMCOMELC,1,2041,30.6106
KENYA,DEMCOMELC,1,2042,33.1545
KENYA,DEMCOMELC,1,2043,35.858
KENYA,DEMCOMELC,1,2044,38.7819
KENYA,DEMCOMELC,1,2045,41.9442
KENYA,DEMCOMELC,1,2046,45.3644
KENYA,DEMCOMELC,1,2047,49.0635
KENYA,DEMCOMELC,1,2048,53.0642
KENYA,DEMCOMELC,1,2049,57.3912
KENYA,DEMCOMELC,1,2050,62.0709
KENYA,DEMINDELC,1,2019,21.5631
KENYA,DEMINDELC,1,2020,21.9401
KENYA,DEMINDELC,1,2021,22.9364
KENYA,DEMINDELC,1,2022,23.7027
KENYA,DEMINDELC,1,2023,24.4266
KENYA,DEMINDELC,1,2024,25.264
KENYA,DEMINDELC,1,2025,26.1763
KENYA,DEMINDELC,1,2026,28.5582
KENYA,DEMINDELC,1,2027,31.1568
KENYA,DEMINDELC,1,2028,33.9919
KENYA,DEMINDELC,1,2029,37.085
KENYA,DEMINDELC,1,2030,40.4595
KENYA,DEMINDELC,1,2031,44.1411
KENYA,DEMINDELC,1,2032,48.1577
KENYA,DEMINDELC,1,2033,52.5398
KENYA,DEMINDELC,1,2034,57.3206
KENYA,DEMINDELC,1,2035,62.5364
KENYA,DEMINDELC,1,2036,68.2269
KENYA,DEMINDELC,1,2037,74.4352
KENYA,DEMINDELC,1,2038,81.2084
KENYA,DEMINDELC,1,2039,88.5979
KENYA,DEMINDELC,1,2040,96.6598
KENYA,DEMINDELC,1,2041,105.4553
KENYA,DEMINDELC,1,2042,114.2192
