r,t,y,TotalCapacityAnnual
KENYA,BESS_TECH,2028,0.0893
KENYA,BESS_TECH,2029,0.1321
KENYA,BESS_TECH,2030,0.2326
KENYA,BESS_TECH,2031,0.2326
KENYA,BESS_TECH,2032,0.2326
KENYA,BESS_TECH,2033,0.2326
KENYA,BESS_TECH,2034,0.2326
KENYA,BESS_TECH,2035,0.2326
KENYA,BESS_TECH,2036,0.2326
KENYA,BESS_TECH,2037,0.2326
KENYA,BESS_TECH,2038,0.1433
KENYA,BESS_TECH,2039,0.1006
KENYA,BESS_TECH,2041,0.1258
KENYA,BESS_TECH,2042,0.1324
KENYA,BESS_TECH,2043,0.4175
KENYA,BESS_TECH,2044,0.5999
KENYA,BESS_TECH,2045,0.8942
KENYA,BESS_TECH,2046,1.1029
KENYA,BESS_TECH,2047,1.7396
KENYA,BESS_TECH,2048,2.2475
KENYA,BESS_TECH,2049,2.2475
KENYA,BESS_TECH,2050,2.2926
KENYA,DEMCOMELC,2019,0.2629
KENYA,DEMCOMELC,2020,0.2629
KENYA,DEMCOMELC,2021,0.2749
KENYA,DEMCOMELC,2022,0.3137
KENYA,DEMCOMELC,2023,0.3137
KENYA,DEMCOMELC,2024,0.3137
KENYA,DEMCOMELC,2025,0.3137
KENYA,DEMCOMELC,2026,0.6869
KENYA,DEMCOMELC,2027,0.6869
KENYA,DEMCOMELC,2028,0.6869
KENYA,DEMCOMELC,2029,0.6869
KENYA,DEMCOMELC,2030,0.6869
KENYA,DEMCOMELC,2031,0.6869
KENYA,DEMCOMELC,2032,0.6869
KENYA,DEMCOMELC,2033,0.6869
KENYA,DEMCOMELC,2034,0.6869
KENYA,DEMCOMELC,2035,2.5624
KENYA,DEMCOMELC,2036,2.5624
KENYA,DEMCOMELC,2037,2.5624
KENYA,DEMCOMELC,2038,2.5624
KENYA,DEMCOMELC,2039,2.5624
KENYA,DEMCOMELC,2040,2.5624
KENYA,DEMCOMELC,2041,2.5624
KENYA,DEMCOMELC,2042,2.5624
KENYA,DEMCOMELC,2043,2.5624
KENYA,DEMCOMELC,2044,2.5624
KENYA,DEMCOMELC,2045,2.5624
KENYA,DEMCOMELC,2046,2.5624
KENYA,DEMCOMELC,2047,2.5624
