r,s,y,AccumulatedNewStorageCapacity
KENYA,BESS001,2028,1.045
KENYA,BESS001,2029,1.4755
KENYA,BESS001,2030,1.9171
KENYA,BESS001,2031,1.9171
KENYA,BESS001,2032,2.1345
KENYA,BESS001,2033,2.198
KENYA,BESS001,2034,3.0754
KENYA,BESS001,2035,3.1622
KENYA,BESS001,2036,3.1869
KENYA,BESS001,2037,3.2715
KENYA,BESS001,2038,2.2265
KENYA,BESS001,2039,1.7959
KENYA,BESS001,2040,1.7941
KENYA,BESS001,2041,1.7941
KENYA,BESS001,2042,1.9468
KENYA,BESS001,2043,5.1983
KENYA,BESS001,2044,6.5476
KENYA,BESS001,2045,9.8569
KENYA,BESS001,2046,16.382
KENYA,BESS001,2047,25.2101
KENYA,BESS001,2048,36.9988
KENYA,BESS001,2049,36.9988
KENYA,BESS001,2050,36.5591
KENYA,PHS001,2037,0.0007
KENYA,PHS001,2038,0.0027
KENYA,PHS001,2039,0.0027
KENYA,PHS001,2040,0.0027
KENYA,PHS001,2041,0.0027
KENYA,PHS001,2042,0.0027
KENYA,PHS001,2043,0.0034
KENYA,PHS001,2044,0.0106
KENYA,PHS001,2045,0.0257
KENYA,PHS001,2046,0.0306
KENYA,PHS001,2047,0.0322
KENYA,PHS001,2048,0.0322
KENYA,PHS001,2049,0.0322
KENYA,PHS001,2050,0.0322
KENYA,PHS002,2038,0.0012
KENYA,PHS002,2039,0.0012
KENYA,PHS002,2040,0.0012
KENYA,PHS002,2041,0.0029
KENYA,PHS002,2042,0.0029
KENYA,PHS002,2043,0.0063
KENYA,PHS002,2044,0.0064
KENYA,PHS002,2045,0.0277
KENYA,PHS002,2046,0.0322
KENYA,PHS002,2047,0.0322
KENYA,PHS002,2048,0.0322
KENYA,PHS002,2049,0.0322
KENYA,PHS002,2050,0.0322
