r,s,ls,ld,lh,y,NetChargeWithinDay
KENYA,BESS001,1,1,1,2031,-0.0008
KENYA,BESS001,1,1,1,2033,-0.0006
KENYA,BESS001,1,1,1,2034,0.0021
KENYA,BESS001,1,1,1,2035,0.0026
KENYA,BESS001,1,1,1,2036,0.0023
KENYA,BESS001,1,1,1,2039,0.0005
KENYA,BESS001,1,1,1,2043,-0.0056
KENYA,BESS001,1,1,1,2044,-0.003
KENYA,BESS001,1,1,1,2045,-0.0049
KENYA,BESS001,1,1,1,2046,-0.0176
KENYA,BESS001,1,1,1,2047,-0.0373
KENYA,BESS001,1,1,1,2048,-0.0486
KENYA,BESS001,1,1,1,2049,-0.0486
KENYA,BESS001,1,1,1,2050,-0.0492
KENYA,BESS001,1,1,2,2028,0.0
KENYA,BESS001,1,1,2,2031,-0.0002
KENYA,BESS001,1,1,2,2038,-0.0015
KENYA,BESS001,1,1,2,2041,0.0004
KENYA,BESS001,1,1,2,2042,0.0
KENYA,BESS001,1,1,2,2045,0.0063
KENYA,BESS001,1,1,2,2046,0.0013
KENYA,BESS001,1,1,2,2047,0.0122
KENYA,BESS001,1,1,2,2048,0.0151
KENYA,BESS001,1,1,2,2049,0.0161
KENYA,BESS001,1,1,2,2050,0.0246
KENYA,BESS001,1,1,3,2029,0.0003
KENYA,BESS001,1,1,3,2032,-0.0011
KENYA,BESS001,1,1,3,2036,0.0028
KENYA,BESS001,1,1,3,2037,0.005
KENYA,BESS001,1,1,3,2038,-0.0016
KENYA,BESS001,1,1,3,2041,0.001
KENYA,BESS001,1,1,3,2042,0.0028
KENYA,BESS001,1,1,3,2046,0.0237
KENYA,BESS001,1,1,3,2047,0.0373
KENYA,BESS001,1,1,3,2048,0.0486
KENYA,BESS001,1,1,3,2049,0.0486
KENYA,BESS001,1,1,3,2050,0.0492
KENYA,BESS001,1,1,4,2028,-0.0004
KENYA,BESS001,1,1,4,2029,-0.0005
KENYA,BESS001,1,1,4,2030,0.0005
KENYA,BESS001,1,1,4,2031,0.0003
KENYA,BESS001,1,1,4,2032,0.0004
KENYA,BESS001,1,1,4,2033,0.0008
KENYA,BESS001,1,1,4,2034,-0.0034
KENYA,BESS001,1,1,4,2035,-0.0034
KENYA,BESS001,1,1,4,2036,-0.0034
KENYA,BESS001,1,1,4,2037,-0.0034
KENYA,BESS001,1,1,4,2038,0.0021
KENYA,BESS001,1,1,4,2039,-0.0004
KENYA,BESS001,1,1,4,2041,-0.0018
KENYA,BESS001,1,1,4,2042,-0.0019
KENYA,BESS001,1,1,4,2043,0.004
KENYA,BESS001,1,1,4,2044,0.0034
KENYA,BESS001,1,1,4,2045,0.0014
KENYA,BESS001,1,1,4,2046,0.0026
KENYA,BESS001,1,1,4,2047,0.0065
KENYA,BESS001,1,1,4,2048,0.0077
KENYA,BESS001,1,1,4,2049,0.0094
KENYA,BESS001,1,1,4,2050,0.0011
KENYA,BESS001,1,1,5,2028,0.0001
KENYA,BESS001,1,1,5,2029,0.0001
KENYA,BESS001,1,1,5,2030,0.0006
KENYA,BESS001,1,1,5,2031,0.0006
KENYA,BESS001,1,1,5,2032,0.0007
KENYA,BESS001,1,1,5,2033,0.0008
KENYA,BESS001,1,1,5,2034,-0.0012
KENYA,BESS001,1,1,5,2035,-0.0017
KENYA,BESS001,1,1,5,2036,-0.0017
KENYA,BESS001,1,1,5,2037,-0.0017
KENYA,BESS001,1,1,5,2038,0.001
KENYA,BESS001,1,1,5,2039,-0.0001
KENYA,BESS001,1,1,5,2041,-0.0009
KENYA,BESS001,1,1,5,2042,-0.001
KENYA,BESS001,1,1,5,2043,0.0016
KENYA,BESS001,1,1,5,2044,0.0007
